民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value2,是（欄位說明僅存於新北市統計年報）,2523.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value3,是（欄位說明僅存於新北市統計年報）,56.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value4,是（欄位說明僅存於新北市統計年報）,29022.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value5,是（欄位說明僅存於新北市統計年報）,581.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value6,是（欄位說明僅存於新北市統計年報）,97.8286157425
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value7,是（欄位說明僅存於新北市統計年報）,2.1713842575
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value8,是（欄位說明僅存於新北市統計年報）,98.0373610783
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2012,item value9,是（欄位說明僅存於新北市統計年報）,1.9626389217
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue2,是（欄位說明僅存於新北市統計年報）,173.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue3,是（欄位說明僅存於新北市統計年報）,79.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue4,是（欄位說明僅存於新北市統計年報）,0.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue5,是（欄位說明僅存於新北市統計年報）,3.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue6,是（欄位說明僅存於新北市統計年報）,9.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue7,是（欄位說明僅存於新北市統計年報）,1.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue8,是（欄位說明僅存於新北市統計年報）,35.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue9,是（欄位說明僅存於新北市統計年報）,8.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue10,是（欄位說明僅存於新北市統計年報）,101.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue11,是（欄位說明僅存於新北市統計年報）,31.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue12,是（欄位說明僅存於新北市統計年報）,28.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue13,是（欄位說明僅存於新北市統計年報）,36.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue14,是（欄位說明僅存於新北市統計年報）,9212.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2012,itemvalue15,是（欄位說明僅存於新北市統計年報）,738.0
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value2,是（欄位說明僅存於新北市統計年報）,2517.945
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value3,是（欄位說明僅存於新北市統計年報）,1532.69
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value4,是（欄位說明僅存於新北市統計年報）,62.1617351354
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value5,是（欄位說明僅存於新北市統計年報）,37.8382648646
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value6,是（欄位說明僅存於新北市統計年報）,48.5769546197
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value7,是（欄位說明僅存於新北市統計年報）,46.5547501452
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value8,是（欄位說明僅存於新北市統計年報）,3.8476614859
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value9,是（欄位說明僅存於新北市統計年報）,0.1451696038
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value10,是（欄位說明僅存於新北市統計年報）,3.2070597253
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value11,是（欄位說明僅存於新北市統計年報）,0.0694204307
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value12,是（欄位說明僅存於新北市統計年報）,41.5222334086
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value13,是（欄位說明僅存於新北市統計年報）,46.3401601107
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value14,是（欄位說明僅存於新北市統計年報）,51.4230453803
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value15,是（欄位說明僅存於新北市統計年報）,53.4452498548
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value16,是（欄位說明僅存於新北市統計年報）,1.3379561507
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value17,是（欄位說明僅存於新北市統計年報）,0.0656362343
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value18,是（欄位說明僅存於新北市統計年報）,49.4174416042
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value19,是（欄位說明僅存於新北市統計年報）,42.2803045626
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value20,是（欄位說明僅存於新北市統計年報）,0.6676476253
101,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,領有駕駛執照數,2012,item value21,是（欄位說明僅存於新北市統計年報）,11.0993090579
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue2,是（欄位說明僅存於新北市統計年報）,14.8185535139
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue3,是（欄位說明僅存於新北市統計年報）,13.3122028526
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue4,是（欄位說明僅存於新北市統計年報）,76.553613544
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue5,是（欄位說明僅存於新北市統計年報）,77.3815199293
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue6,是（欄位說明僅存於新北市統計年報）,8.6278329421
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue7,是（欄位說明僅存於新北市統計年報）,9.3062772181
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue8,是（欄位說明僅存於新北市統計年報）,77.54
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口年齡分配,2012,itemvalue9,是（欄位說明僅存於新北市統計年報）,83.63
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value2,是（欄位說明僅存於新北市統計年報）,1946.607
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value3,是（欄位說明僅存於新北市統計年報）,1992.698
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value4,是（欄位說明僅存於新北市統計年報）,97.6870052562
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value5,是（欄位說明僅存於新北市統計年報）,818.917
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value6,是（欄位說明僅存於新北市統計年報）,638.081
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value7,是（欄位說明僅存於新北市統計年報）,128.3406025254
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value8,是（欄位說明僅存於新北市統計年報）,234.255
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value9,是（欄位說明僅存於新北市統計年報）,234.912
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口概況,2012,item value10,是（欄位說明僅存於新北市統計年報）,99.720320801
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value2,是（欄位說明僅存於新北市統計年報）,3.4863628209
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value3,是（欄位說明僅存於新北市統計年報）,8.140717907
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value4,是（欄位說明僅存於新北市統計年報）,21040.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value5,是（欄位說明僅存於新北市統計年報）,19807.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value6,是（欄位說明僅存於新北市統計年報）,106.2250719443
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value7,是（欄位說明僅存於新北市統計年報）,10.4
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value8,是（欄位說明僅存於新北市統計年報）,12533.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value9,是（欄位說明僅存於新北市統計年報）,7747.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value10,是（欄位說明僅存於新北市統計年報）,5.16
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value11,是（欄位說明僅存於新北市統計年報）,145338.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value12,是（欄位說明僅存於新北市統計年報）,172829.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value13,是（欄位說明僅存於新北市統計年報）,84.0935259708
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value14,是（欄位說明僅存於新北市統計年報）,147082.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value15,是（欄位說明僅存於新北市統計年報）,168798.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,人口消長,2012,item value16,是（欄位說明僅存於新北市統計年報）,87.1349186602
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value2,是（欄位說明僅存於新北市統計年報）,2149.3130879561
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value3,是（欄位說明僅存於新北市統計年報）,445.8211198182
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value4,是（欄位說明僅存於新北市統計年報）,63.4191530372
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value5,是（欄位說明僅存於新北市統計年報）,16.3492598244
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value6,是（欄位說明僅存於新北市統計年報）,1732.5209156308
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value7,是（欄位說明僅存於新北市統計年報）,327.9924073247
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value8,是（欄位說明僅存於新北市統計年報）,2596.5008922782
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value9,是（欄位說明僅存於新北市統計年報）,582.7199439187
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value10,是（欄位說明僅存於新北市統計年報）,2469.4810332657
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,刑事案件犯罪人口率,2012,item value11,是（欄位說明僅存於新北市統計年報）,501.0324417492
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,吸菸人口,2012,itemvalue2,是（欄位說明僅存於新北市統計年報）,11.6
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,吸菸人口,2012,itemvalue3,是（欄位說明僅存於新北市統計年報）,4.8
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,吸菸人口,2012,itemvalue4,是（欄位說明僅存於新北市統計年報）,23.1
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,吸菸人口,2012,itemvalue5,是（欄位說明僅存於新北市統計年報）,7.5
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,吸菸人口,2012,itemvalue6,是（欄位說明僅存於新北市統計年報）,32.1
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,吸菸人口,2012,itemvalue7,是（欄位說明僅存於新北市統計年報）,7.379
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  計,itemvalue3,是（欄位說明僅存於新北市統計年報）,90995.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  男,itemvalue3,是（欄位說明僅存於新北市統計年報）,8752.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  女,itemvalue3,是（欄位說明僅存於新北市統計年報）,82243.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  計,itemvalue4,是（欄位說明僅存於新北市統計年報）,64842.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  男,itemvalue4,是（欄位說明僅存於新北市統計年報）,5712.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  女,itemvalue4,是（欄位說明僅存於新北市統計年報）,59130.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,60171.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,3469.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,56702.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,4671.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,2243.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,2428.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  計,itemvalue7,是（欄位說明僅存於新北市統計年報）,26153.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  男,itemvalue7,是（欄位說明僅存於新北市統計年報）,3040.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  女,itemvalue7,是（欄位說明僅存於新北市統計年報）,23113.0
101,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,新住民人口,2012 |  計,itemvalue8,是（欄位說明僅存於新北市統計年報）,14902.0
