民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  新北市 |  計,itemvalue4,是（欄位說明僅存於新北市統計年報）,2686417.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  新北市 |  男,itemvalue4,是（欄位說明僅存於新北市統計年報）,1350450.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  新北市 |  女,itemvalue4,是（欄位說明僅存於新北市統計年報）,1335967.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  板橋區 |  計,itemvalue4,是（欄位說明僅存於新北市統計年報）,407342.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  板橋區 |  男,itemvalue4,是（欄位說明僅存於新北市統計年報）,204280.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  板橋區 |  女,itemvalue4,是（欄位說明僅存於新北市統計年報）,203062.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  三重區 |  計,itemvalue4,是（欄位說明僅存於新北市統計年報）,297121.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  三重區 |  男,itemvalue4,是（欄位說明僅存於新北市統計年報）,149214.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  三重區 |  女,itemvalue4,是（欄位說明僅存於新北市統計年報）,147907.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  中和區 |  計,itemvalue4,是（欄位說明僅存於新北市統計年報）,312041.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  中和區 |  男,itemvalue4,是（欄位說明僅存於新北市統計年報）,156520.0
87,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,十五歲以上現住人口之教育程度─按區別分,1998 |  中和區 |  女,itemvalue4,是（欄位說明僅存於新北市統計年報）,155521.0
