民國年,行政區,年齡,性別,失業率
95,新北市,15-24歲,男,10.5
95,新北市,15-24歲,女,7.9
95,新北市,25-29歲,男,6.2
95,新北市,25-29歲,女,4.8
95,新北市,30-34歲,男,4.3
95,新北市,30-34歲,女,2.9
95,新北市,35-39歲,男,2.5
95,新北市,35-39歲,女,2.2
95,新北市,40-44歲,男,3
95,新北市,40-44歲,女,2.9
95,新北市,45-49歲,男,1.6
95,新北市,45-49歲,女,2.4
95,新北市,50-54歲,男,3.8
95,新北市,50-54歲,女,1.5
95,新北市,55-59歲,男,1.8
95,新北市,55-59歲,女,4.7
95,新北市,60-64歲,男,1.9
95,新北市,60-64歲,女,0.5
95,新北市,65歲以上,男,0.7
95,新北市,65歲以上,女,3.4
96,新北市,15-24歲,男,9
96,新北市,15-24歲,女,9
96,新北市,25-29歲,男,6
96,新北市,25-29歲,女,4.9
96,新北市,30-34歲,男,4.3
96,新北市,30-34歲,女,3.6
96,新北市,35-39歲,男,2.3
96,新北市,35-39歲,女,2.1
96,新北市,40-44歲,男,3.1
96,新北市,40-44歲,女,2.9
96,新北市,45-49歲,男,2.1
96,新北市,45-49歲,女,2.1
96,新北市,50-54歲,男,2.9
96,新北市,50-54歲,女,1.9
96,新北市,55-59歲,男,2.7
96,新北市,55-59歲,女,4.1
96,新北市,60-64歲,男,1.6
96,新北市,60-64歲,女,0.6
96,新北市,65歲以上,男,0.9
96,新北市,65歲以上,女,2.4
97,新北市,15-24歲,男,12.5
97,新北市,15-24歲,女,10.6
97,新北市,25-29歲,男,6.6
97,新北市,25-29歲,女,5.3
97,新北市,30-34歲,男,3.9
97,新北市,30-34歲,女,2.8
97,新北市,35-39歲,男,2.7
97,新北市,35-39歲,女,1.8
97,新北市,40-44歲,男,2.6
97,新北市,40-44歲,女,2.2
97,新北市,45-49歲,男,2.9
97,新北市,45-49歲,女,2.3
97,新北市,50-54歲,男,3.6
97,新北市,50-54歲,女,2.8
97,新北市,55-59歲,男,2.8
97,新北市,55-59歲,女,3.1
97,新北市,60-64歲,男,1.7
97,新北市,60-64歲,女,0
97,新北市,65歲以上,男,1
97,新北市,65歲以上,女,0
98,新北市,15-24歲,男,16.5
98,新北市,15-24歲,女,11.5
98,新北市,25-29歲,男,10
98,新北市,25-29歲,女,7.3
98,新北市,30-34歲,男,6.1
98,新北市,30-34歲,女,4.7
98,新北市,35-39歲,男,5
