民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
100,1,14,瑞芳區,0歲,0,0,不相關,0.0,男,98
100,1,14,瑞芳區,0歲,0,0,不相關,0.0,女,103
100,1,14,瑞芳區,1歲,1,1,不相關,0.0,男,138
100,1,14,瑞芳區,1歲,1,1,不相關,0.0,女,97
100,1,14,瑞芳區,2歲,2,2,不相關,0.0,男,147
100,1,14,瑞芳區,2歲,2,2,不相關,0.0,女,116
100,1,14,瑞芳區,3歲,3,3,不相關,0.0,男,150
100,1,14,瑞芳區,3歲,3,3,不相關,0.0,女,158
100,1,14,瑞芳區,4歲,4,4,不相關,0.0,男,164
100,1,14,瑞芳區,4歲,4,4,不相關,0.0,女,152
100,1,14,瑞芳區,5歲,5,5,不相關,0.0,男,140
100,1,14,瑞芳區,5歲,5,5,不相關,0.0,女,165
100,1,14,瑞芳區,6歲,6,6,不相關,0.0,男,169
100,1,14,瑞芳區,6歲,6,6,不相關,0.0,女,150
100,1,14,瑞芳區,7歲,7,7,不相關,0.0,男,202
100,1,14,瑞芳區,7歲,7,7,不相關,0.0,女,179
100,1,14,瑞芳區,8歲,8,8,不相關,0.0,男,196
100,1,14,瑞芳區,8歲,8,8,不相關,0.0,女,197
100,1,14,瑞芳區,9歲,9,9,不相關,0.0,男,203
100,1,14,瑞芳區,9歲,9,9,不相關,0.0,女,199
100,1,14,瑞芳區,10歲,10,10,不相關,0.0,男,254
100,1,14,瑞芳區,10歲,10,10,不相關,0.0,女,231
100,1,14,瑞芳區,11歲,11,11,不相關,0.0,男,202
100,1,14,瑞芳區,11歲,11,11,不相關,0.0,女,177
100,1,14,瑞芳區,12歲,12,12,不相關,0.0,男,168
100,1,14,瑞芳區,12歲,12,12,不相關,0.0,女,170
100,1,14,瑞芳區,13歲,13,13,不相關,0.0,男,185
100,1,14,瑞芳區,13歲,13,13,不相關,0.0,女,197
100,1,14,瑞芳區,14歲,14,14,不相關,0.0,男,232
100,1,14,瑞芳區,14歲,14,14,不相關,0.0,女,221
100,1,14,瑞芳區,15歲,15,15,不相關,0.0,男,265
100,1,14,瑞芳區,15歲,15,15,不相關,0.0,女,223
100,1,14,瑞芳區,16歲,16,16,不相關,0.0,男,284
100,1,14,瑞芳區,16歲,16,16,不相關,0.0,女,258
100,1,14,瑞芳區,17歲,17,17,不相關,0.0,男,272
100,1,14,瑞芳區,17歲,17,17,不相關,0.0,女,284
100,1,14,瑞芳區,18歲,18,18,完全落入,1.0,男,336
100,1,14,瑞芳區,18歲,18,18,完全落入,1.0,女,283
100,1,14,瑞芳區,19歲,19,19,完全落入,1.0,男,340
100,1,14,瑞芳區,19歲,19,19,完全落入,1.0,女,256
100,1,14,瑞芳區,20歲,20,20,完全落入,1.0,男,333
100,1,14,瑞芳區,20歲,20,20,完全落入,1.0,女,292
100,1,14,瑞芳區,21歲,21,21,完全落入,1.0,男,315
100,1,14,瑞芳區,21歲,21,21,完全落入,1.0,女,261
100,1,14,瑞芳區,22歲,22,22,完全落入,1.0,男,324
100,1,14,瑞芳區,22歲,22,22,完全落入,1.0,女,307
100,1,14,瑞芳區,23歲,23,23,完全落入,1.0,男,269
100,1,14,瑞芳區,23歲,23,23,完全落入,1.0,女,276
100,1,14,瑞芳區,24歲,24,24,完全落入,1.0,男,259
100,1,14,瑞芳區,24歲,24,24,完全落入,1.0,女,268
100,1,14,瑞芳區,25歲,25,25,完全落入,1.0,男,315
100,1,14,瑞芳區,25歲,25,25,完全落入,1.0,女,240
100,1,14,瑞芳區,26歲,26,26,完全落入,1.0,男,288
100,1,14,瑞芳區,26歲,26,26,完全落入,1.0,女,326
100,1,14,瑞芳區,27歲,27,27,完全落入,1.0,男,336
100,1,14,瑞芳區,27歲,27,27,完全落入,1.0,女,305
100,1,14,瑞芳區,28歲,28,28,完全落入,1.0,男,335
100,1,14,瑞芳區,28歲,28,28,完全落入,1.0,女,344
100,1,14,瑞芳區,29歲,29,29,完全落入,1.0,男,320
100,1,14,瑞芳區,29歲,29,29,完全落入,1.0,女,349
100,1,14,瑞芳區,30歲,30,30,完全落入,1.0,男,357
100,1,14,瑞芳區,30歲,30,30,完全落入,1.0,女,298
100,1,14,瑞芳區,31歲,31,31,完全落入,1.0,男,356
100,1,14,瑞芳區,31歲,31,31,完全落入,1.0,女,327
100,1,14,瑞芳區,32歲,32,32,完全落入,1.0,男,297
100,1,14,瑞芳區,32歲,32,32,完全落入,1.0,女,328
100,1,14,瑞芳區,33歲,33,33,完全落入,1.0,男,322
100,1,14,瑞芳區,33歲,33,33,完全落入,1.0,女,282
100,1,14,瑞芳區,34歲,34,34,完全落入,1.0,男,347
100,1,14,瑞芳區,34歲,34,34,完全落入,1.0,女,297
100,1,14,瑞芳區,35歲,35,35,完全落入,1.0,男,330
100,1,14,瑞芳區,35歲,35,35,完全落入,1.0,女,305
100,1,14,瑞芳區,36歲,36,36,不相關,0.0,男,291
100,1,14,瑞芳區,36歲,36,36,不相關,0.0,女,283
100,1,14,瑞芳區,37歲,37,37,不相關,0.0,男,305
100,1,14,瑞芳區,37歲,37,37,不相關,0.0,女,249
100,1,14,瑞芳區,38歲,38,38,不相關,0.0,男,374
100,1,14,瑞芳區,38歲,38,38,不相關,0.0,女,292
100,1,14,瑞芳區,39歲,39,39,不相關,0.0,男,325
100,1,14,瑞芳區,39歲,39,39,不相關,0.0,女,335
100,1,14,瑞芳區,40歲,40,40,不相關,0.0,男,387
100,1,14,瑞芳區,40歲,40,40,不相關,0.0,女,302
100,1,14,瑞芳區,41歲,41,41,不相關,0.0,男,413
100,1,14,瑞芳區,41歲,41,41,不相關,0.0,女,318
100,1,14,瑞芳區,42歲,42,42,不相關,0.0,男,390
100,1,14,瑞芳區,42歲,42,42,不相關,0.0,女,329
100,1,14,瑞芳區,43歲,43,43,不相關,0.0,男,404
100,1,14,瑞芳區,43歲,43,43,不相關,0.0,女,300
100,1,14,瑞芳區,44歲,44,44,不相關,0.0,男,414
100,1,14,瑞芳區,44歲,44,44,不相關,0.0,女,365
100,1,14,瑞芳區,45歲,45,45,不相關,0.0,男,406
100,1,14,瑞芳區,45歲,45,45,不相關,0.0,女,346
100,1,14,瑞芳區,46歲,46,46,不相關,0.0,男,446
100,1,14,瑞芳區,46歲,46,46,不相關,0.0,女,328
100,1,14,瑞芳區,47歲,47,47,不相關,0.0,男,471
100,1,14,瑞芳區,47歲,47,47,不相關,0.0,女,336
100,1,14,瑞芳區,48歲,48,48,不相關,0.0,男,406
100,1,14,瑞芳區,48歲,48,48,不相關,0.0,女,344
100,1,14,瑞芳區,49歲,49,49,不相關,0.0,男,416
100,1,14,瑞芳區,49歲,49,49,不相關,0.0,女,325
100,1,14,瑞芳區,50歲,50,50,不相關,0.0,男,393
100,1,14,瑞芳區,50歲,50,50,不相關,0.0,女,350
100,1,14,瑞芳區,51歲,51,51,不相關,0.0,男,394
100,1,14,瑞芳區,51歲,51,51,不相關,0.0,女,360
100,1,14,瑞芳區,52歲,52,52,不相關,0.0,男,380
100,1,14,瑞芳區,52歲,52,52,不相關,0.0,女,329
100,1,14,瑞芳區,53歲,53,53,不相關,0.0,男,358
100,1,14,瑞芳區,53歲,53,53,不相關,0.0,女,291
100,1,14,瑞芳區,54歲,54,54,不相關,0.0,男,368
