民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
103,1,4,永和區,0歲,0,0,不相關,0.0,男,792
103,1,4,永和區,0歲,0,0,不相關,0.0,女,715
103,1,4,永和區,1歲,1,1,不相關,0.0,男,921
103,1,4,永和區,1歲,1,1,不相關,0.0,女,967
103,1,4,永和區,2歲,2,2,不相關,0.0,男,823
103,1,4,永和區,2歲,2,2,不相關,0.0,女,758
103,1,4,永和區,3歲,3,3,不相關,0.0,男,717
103,1,4,永和區,3歲,3,3,不相關,0.0,女,692
103,1,4,永和區,4歲,4,4,不相關,0.0,男,799
103,1,4,永和區,4歲,4,4,不相關,0.0,女,769
103,1,4,永和區,5歲,5,5,不相關,0.0,男,843
103,1,4,永和區,5歲,5,5,不相關,0.0,女,833
103,1,4,永和區,6歲,6,6,不相關,0.0,男,946
103,1,4,永和區,6歲,6,6,不相關,0.0,女,886
103,1,4,永和區,7歲,7,7,不相關,0.0,男,969
103,1,4,永和區,7歲,7,7,不相關,0.0,女,868
103,1,4,永和區,8歲,8,8,不相關,0.0,男,997
103,1,4,永和區,8歲,8,8,不相關,0.0,女,908
103,1,4,永和區,9歲,9,9,不相關,0.0,男,1121
103,1,4,永和區,9歲,9,9,不相關,0.0,女,950
103,1,4,永和區,10歲,10,10,不相關,0.0,男,1072
103,1,4,永和區,10歲,10,10,不相關,0.0,女,1065
103,1,4,永和區,11歲,11,11,不相關,0.0,男,1402
103,1,4,永和區,11歲,11,11,不相關,0.0,女,1313
103,1,4,永和區,12歲,12,12,不相關,0.0,男,1407
103,1,4,永和區,12歲,12,12,不相關,0.0,女,1282
103,1,4,永和區,13歲,13,13,不相關,0.0,男,1594
103,1,4,永和區,13歲,13,13,不相關,0.0,女,1561
103,1,4,永和區,14歲,14,14,不相關,0.0,男,1439
103,1,4,永和區,14歲,14,14,不相關,0.0,女,1378
103,1,4,永和區,15歲,15,15,不相關,0.0,男,1258
103,1,4,永和區,15歲,15,15,不相關,0.0,女,1252
103,1,4,永和區,16歲,16,16,不相關,0.0,男,1583
103,1,4,永和區,16歲,16,16,不相關,0.0,女,1391
103,1,4,永和區,17歲,17,17,不相關,0.0,男,1476
103,1,4,永和區,17歲,17,17,不相關,0.0,女,1382
103,1,4,永和區,18歲,18,18,完全落入,1.0,男,1516
103,1,4,永和區,18歲,18,18,完全落入,1.0,女,1340
103,1,4,永和區,19歲,19,19,完全落入,1.0,男,1428
