民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
103,1,7,土城區,0歲,0,0,不相關,0.0,男,988
103,1,7,土城區,0歲,0,0,不相關,0.0,女,942
103,1,7,土城區,1歲,1,1,不相關,0.0,男,1276
103,1,7,土城區,1歲,1,1,不相關,0.0,女,1206
103,1,7,土城區,2歲,2,2,不相關,0.0,男,1126
103,1,7,土城區,2歲,2,2,不相關,0.0,女,959
103,1,7,土城區,3歲,3,3,不相關,0.0,男,777
103,1,7,土城區,3歲,3,3,不相關,0.0,女,755
103,1,7,土城區,4歲,4,4,不相關,0.0,男,937
103,1,7,土城區,4歲,4,4,不相關,0.0,女,862
103,1,7,土城區,5歲,5,5,不相關,0.0,男,1006
103,1,7,土城區,5歲,5,5,不相關,0.0,女,923
103,1,7,土城區,6歲,6,6,不相關,0.0,男,1062
103,1,7,土城區,6歲,6,6,不相關,0.0,女,943
103,1,7,土城區,7歲,7,7,不相關,0.0,男,1028
103,1,7,土城區,7歲,7,7,不相關,0.0,女,1013
103,1,7,土城區,8歲,8,8,不相關,0.0,男,1010
103,1,7,土城區,8歲,8,8,不相關,0.0,女,975
103,1,7,土城區,9歲,9,9,不相關,0.0,男,1123
103,1,7,土城區,9歲,9,9,不相關,0.0,女,987
103,1,7,土城區,10歲,10,10,不相關,0.0,男,1079
103,1,7,土城區,10歲,10,10,不相關,0.0,女,980
103,1,7,土城區,11歲,11,11,不相關,0.0,男,1202
103,1,7,土城區,11歲,11,11,不相關,0.0,女,1063
103,1,7,土城區,12歲,12,12,不相關,0.0,男,1267
103,1,7,土城區,12歲,12,12,不相關,0.0,女,1151
103,1,7,土城區,13歲,13,13,不相關,0.0,男,1671
103,1,7,土城區,13歲,13,13,不相關,0.0,女,1510
103,1,7,土城區,14歲,14,14,不相關,0.0,男,1565
103,1,7,土城區,14歲,14,14,不相關,0.0,女,1372
103,1,7,土城區,15歲,15,15,不相關,0.0,男,1418
103,1,7,土城區,15歲,15,15,不相關,0.0,女,1322
103,1,7,土城區,16歲,16,16,不相關,0.0,男,1815
103,1,7,土城區,16歲,16,16,不相關,0.0,女,1660
103,1,7,土城區,17歲,17,17,不相關,0.0,男,1902
103,1,7,土城區,17歲,17,17,不相關,0.0,女,1683
103,1,7,土城區,18歲,18,18,完全落入,1.0,男,1911
103,1,7,土城區,18歲,18,18,完全落入,1.0,女,1787
103,1,7,土城區,19歲,19,19,完全落入,1.0,男,1902
103,1,7,土城區,19歲,19,19,完全落入,1.0,女,1768
103,1,7,土城區,20歲,20,20,完全落入,1.0,男,2094
103,1,7,土城區,20歲,20,20,完全落入,1.0,女,1768
103,1,7,土城區,21歲,21,21,完全落入,1.0,男,1921
103,1,7,土城區,21歲,21,21,完全落入,1.0,女,1810
103,1,7,土城區,22歲,22,22,完全落入,1.0,男,2019
103,1,7,土城區,22歲,22,22,完全落入,1.0,女,1822
103,1,7,土城區,23歲,23,23,完全落入,1.0,男,2143
103,1,7,土城區,23歲,23,23,完全落入,1.0,女,1887
103,1,7,土城區,24歲,24,24,完全落入,1.0,男,1928
103,1,7,土城區,24歲,24,24,完全落入,1.0,女,1812
103,1,7,土城區,25歲,25,25,完全落入,1.0,男,2171
103,1,7,土城區,25歲,25,25,完全落入,1.0,女,1966
103,1,7,土城區,26歲,26,26,完全落入,1.0,男,1936
103,1,7,土城區,26歲,26,26,完全落入,1.0,女,1739
103,1,7,土城區,27歲,27,27,完全落入,1.0,男,1760
103,1,7,土城區,27歲,27,27,完全落入,1.0,女,1698
103,1,7,土城區,28歲,28,28,完全落入,1.0,男,2002
103,1,7,土城區,28歲,28,28,完全落入,1.0,女,1906
103,1,7,土城區,29歲,29,29,完全落入,1.0,男,2146
103,1,7,土城區,29歲,29,29,完全落入,1.0,女,2111
103,1,7,土城區,30歲,30,30,完全落入,1.0,男,2182
103,1,7,土城區,30歲,30,30,完全落入,1.0,女,2143
103,1,7,土城區,31歲,31,31,完全落入,1.0,男,2341
103,1,7,土城區,31歲,31,31,完全落入,1.0,女,2230
103,1,7,土城區,32歲,32,32,完全落入,1.0,男,2317
103,1,7,土城區,32歲,32,32,完全落入,1.0,女,2227
103,1,7,土城區,33歲,33,33,完全落入,1.0,男,2237
103,1,7,土城區,33歲,33,33,完全落入,1.0,女,2237
103,1,7,土城區,34歲,34,34,完全落入,1.0,男,2278
103,1,7,土城區,34歲,34,34,完全落入,1.0,女,2234
103,1,7,土城區,35歲,35,35,完全落入,1.0,男,2133
103,1,7,土城區,35歲,35,35,完全落入,1.0,女,2094
103,1,7,土城區,36歲,36,36,不相關,0.0,男,1975
103,1,7,土城區,36歲,36,36,不相關,0.0,女,2018
103,1,7,土城區,37歲,37,37,不相關,0.0,男,2116
103,1,7,土城區,37歲,37,37,不相關,0.0,女,2236
103,1,7,土城區,38歲,38,38,不相關,0.0,男,1796
103,1,7,土城區,38歲,38,38,不相關,0.0,女,1864
103,1,7,土城區,39歲,39,39,不相關,0.0,男,1746
103,1,7,土城區,39歲,39,39,不相關,0.0,女,1838
103,1,7,土城區,40歲,40,40,不相關,0.0,男,1705
103,1,7,土城區,40歲,40,40,不相關,0.0,女,1801
103,1,7,土城區,41歲,41,41,不相關,0.0,男,1758
103,1,7,土城區,41歲,41,41,不相關,0.0,女,1789
103,1,7,土城區,42歲,42,42,不相關,0.0,男,1693
103,1,7,土城區,42歲,42,42,不相關,0.0,女,1897
103,1,7,土城區,43歲,43,43,不相關,0.0,男,1759
103,1,7,土城區,43歲,43,43,不相關,0.0,女,1906
103,1,7,土城區,44歲,44,44,不相關,0.0,男,1737
103,1,7,土城區,44歲,44,44,不相關,0.0,女,1996
103,1,7,土城區,45歲,45,45,不相關,0.0,男,1834
103,1,7,土城區,45歲,45,45,不相關,0.0,女,2084
103,1,7,土城區,46歲,46,46,不相關,0.0,男,1706
103,1,7,土城區,46歲,46,46,不相關,0.0,女,2042
103,1,7,土城區,47歲,47,47,不相關,0.0,男,1843
103,1,7,土城區,47歲,47,47,不相關,0.0,女,2206
