民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
104,1,9,樹林區,0歲,0,0,不相關,0.0,男,995
104,1,9,樹林區,0歲,0,0,不相關,0.0,女,906
104,1,9,樹林區,1歲,1,1,不相關,0.0,男,939
104,1,9,樹林區,1歲,1,1,不相關,0.0,女,813
104,1,9,樹林區,2歲,2,2,不相關,0.0,男,1129
104,1,9,樹林區,2歲,2,2,不相關,0.0,女,1091
104,1,9,樹林區,3歲,3,3,不相關,0.0,男,959
104,1,9,樹林區,3歲,3,3,不相關,0.0,女,847
104,1,9,樹林區,4歲,4,4,不相關,0.0,男,725
104,1,9,樹林區,4歲,4,4,不相關,0.0,女,694
104,1,9,樹林區,5歲,5,5,不相關,0.0,男,867
104,1,9,樹林區,5歲,5,5,不相關,0.0,女,808
104,1,9,樹林區,6歲,6,6,不相關,0.0,男,932
104,1,9,樹林區,6歲,6,6,不相關,0.0,女,790
104,1,9,樹林區,7歲,7,7,不相關,0.0,男,963
104,1,9,樹林區,7歲,7,7,不相關,0.0,女,893
104,1,9,樹林區,8歲,8,8,不相關,0.0,男,957
104,1,9,樹林區,8歲,8,8,不相關,0.0,女,796
104,1,9,樹林區,9歲,9,9,不相關,0.0,男,911
104,1,9,樹林區,9歲,9,9,不相關,0.0,女,853
104,1,9,樹林區,10歲,10,10,不相關,0.0,男,986
104,1,9,樹林區,10歲,10,10,不相關,0.0,女,888
104,1,9,樹林區,11歲,11,11,不相關,0.0,男,974
104,1,9,樹林區,11歲,11,11,不相關,0.0,女,823
104,1,9,樹林區,12歲,12,12,不相關,0.0,男,1008
104,1,9,樹林區,12歲,12,12,不相關,0.0,女,970
104,1,9,樹林區,13歲,13,13,不相關,0.0,男,1042
104,1,9,樹林區,13歲,13,13,不相關,0.0,女,994
104,1,9,樹林區,14歲,14,14,不相關,0.0,男,1283
104,1,9,樹林區,14歲,14,14,不相關,0.0,女,1178
104,1,9,樹林區,15歲,15,15,不相關,0.0,男,1234
104,1,9,樹林區,15歲,15,15,不相關,0.0,女,1153
104,1,9,樹林區,16歲,16,16,不相關,0.0,男,1157
104,1,9,樹林區,16歲,16,16,不相關,0.0,女,1072
104,1,9,樹林區,17歲,17,17,不相關,0.0,男,1443
104,1,9,樹林區,17歲,17,17,不相關,0.0,女,1231
104,1,9,樹林區,18歲,18,18,完全落入,1.0,男,1392
104,1,9,樹林區,18歲,18,18,完全落入,1.0,女,1287
104,1,9,樹林區,19歲,19,19,完全落入,1.0,男,1311
104,1,9,樹林區,19歲,19,19,完全落入,1.0,女,1334
104,1,9,樹林區,20歲,20,20,完全落入,1.0,男,1358
104,1,9,樹林區,20歲,20,20,完全落入,1.0,女,1262
104,1,9,樹林區,21歲,21,21,完全落入,1.0,男,1484
104,1,9,樹林區,21歲,21,21,完全落入,1.0,女,1331
104,1,9,樹林區,22歲,22,22,完全落入,1.0,男,1501
104,1,9,樹林區,22歲,22,22,完全落入,1.0,女,1295
104,1,9,樹林區,23歲,23,23,完全落入,1.0,男,1448
104,1,9,樹林區,23歲,23,23,完全落入,1.0,女,1374
104,1,9,樹林區,24歲,24,24,完全落入,1.0,男,1523
104,1,9,樹林區,24歲,24,24,完全落入,1.0,女,1364
104,1,9,樹林區,25歲,25,25,完全落入,1.0,男,1391
104,1,9,樹林區,25歲,25,25,完全落入,1.0,女,1310
104,1,9,樹林區,26歲,26,26,完全落入,1.0,男,1512
104,1,9,樹林區,26歲,26,26,完全落入,1.0,女,1416
104,1,9,樹林區,27歲,27,27,完全落入,1.0,男,1412
104,1,9,樹林區,27歲,27,27,完全落入,1.0,女,1351
104,1,9,樹林區,28歲,28,28,完全落入,1.0,男,1260
104,1,9,樹林區,28歲,28,28,完全落入,1.0,女,1278
104,1,9,樹林區,29歲,29,29,完全落入,1.0,男,1447
104,1,9,樹林區,29歲,29,29,完全落入,1.0,女,1404
104,1,9,樹林區,30歲,30,30,完全落入,1.0,男,1578
104,1,9,樹林區,30歲,30,30,完全落入,1.0,女,1589
104,1,9,樹林區,31歲,31,31,完全落入,1.0,男,1679
104,1,9,樹林區,31歲,31,31,完全落入,1.0,女,1728
104,1,9,樹林區,32歲,32,32,完全落入,1.0,男,1706
104,1,9,樹林區,32歲,32,32,完全落入,1.0,女,1738
104,1,9,樹林區,33歲,33,33,完全落入,1.0,男,1763
104,1,9,樹林區,33歲,33,33,完全落入,1.0,女,1853
104,1,9,樹林區,34歲,34,34,完全落入,1.0,男,1741
104,1,9,樹林區,34歲,34,34,完全落入,1.0,女,1793
104,1,9,樹林區,35歲,35,35,完全落入,1.0,男,1876
104,1,9,樹林區,35歲,35,35,完全落入,1.0,女,1735
104,1,9,樹林區,36歲,36,36,不相關,0.0,男,1744
104,1,9,樹林區,36歲,36,36,不相關,0.0,女,1816
104,1,9,樹林區,37歲,37,37,不相關,0.0,男,1647
104,1,9,樹林區,37歲,37,37,不相關,0.0,女,1586
104,1,9,樹林區,38歲,38,38,不相關,0.0,男,1788
104,1,9,樹林區,38歲,38,38,不相關,0.0,女,1777
104,1,9,樹林區,39歲,39,39,不相關,0.0,男,1403
104,1,9,樹林區,39歲,39,39,不相關,0.0,女,1497
104,1,9,樹林區,40歲,40,40,不相關,0.0,男,1473
104,1,9,樹林區,40歲,40,40,不相關,0.0,女,1423
104,1,9,樹林區,41歲,41,41,不相關,0.0,男,1399
