民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
104,1,23,石門區,0歲,0,0,不相關,0.0,男,51
104,1,23,石門區,0歲,0,0,不相關,0.0,女,50
104,1,23,石門區,1歲,1,1,不相關,0.0,男,58
104,1,23,石門區,1歲,1,1,不相關,0.0,女,58
104,1,23,石門區,2歲,2,2,不相關,0.0,男,55
104,1,23,石門區,2歲,2,2,不相關,0.0,女,64
104,1,23,石門區,3歲,3,3,不相關,0.0,男,52
104,1,23,石門區,3歲,3,3,不相關,0.0,女,49
104,1,23,石門區,4歲,4,4,不相關,0.0,男,39
104,1,23,石門區,4歲,4,4,不相關,0.0,女,42
104,1,23,石門區,5歲,5,5,不相關,0.0,男,45
104,1,23,石門區,5歲,5,5,不相關,0.0,女,48
104,1,23,石門區,6歲,6,6,不相關,0.0,男,42
104,1,23,石門區,6歲,6,6,不相關,0.0,女,35
104,1,23,石門區,7歲,7,7,不相關,0.0,男,67
104,1,23,石門區,7歲,7,7,不相關,0.0,女,36
104,1,23,石門區,8歲,8,8,不相關,0.0,男,45
104,1,23,石門區,8歲,8,8,不相關,0.0,女,44
104,1,23,石門區,9歲,9,9,不相關,0.0,男,47
104,1,23,石門區,9歲,9,9,不相關,0.0,女,38
104,1,23,石門區,10歲,10,10,不相關,0.0,男,55
104,1,23,石門區,10歲,10,10,不相關,0.0,女,61
104,1,23,石門區,11歲,11,11,不相關,0.0,男,59
104,1,23,石門區,11歲,11,11,不相關,0.0,女,53
104,1,23,石門區,12歲,12,12,不相關,0.0,男,77
104,1,23,石門區,12歲,12,12,不相關,0.0,女,65
104,1,23,石門區,13歲,13,13,不相關,0.0,男,75
104,1,23,石門區,13歲,13,13,不相關,0.0,女,65
104,1,23,石門區,14歲,14,14,不相關,0.0,男,88
104,1,23,石門區,14歲,14,14,不相關,0.0,女,74
104,1,23,石門區,15歲,15,15,不相關,0.0,男,69
104,1,23,石門區,15歲,15,15,不相關,0.0,女,57
104,1,23,石門區,16歲,16,16,不相關,0.0,男,85
104,1,23,石門區,16歲,16,16,不相關,0.0,女,53
104,1,23,石門區,17歲,17,17,不相關,0.0,男,89
104,1,23,石門區,17歲,17,17,不相關,0.0,女,81
104,1,23,石門區,18歲,18,18,完全落入,1.0,男,116
104,1,23,石門區,18歲,18,18,完全落入,1.0,女,101
104,1,23,石門區,19歲,19,19,完全落入,1.0,男,101
104,1,23,石門區,19歲,19,19,完全落入,1.0,女,85
104,1,23,石門區,20歲,20,20,完全落入,1.0,男,102
104,1,23,石門區,20歲,20,20,完全落入,1.0,女,114
104,1,23,石門區,21歲,21,21,完全落入,1.0,男,104
104,1,23,石門區,21歲,21,21,完全落入,1.0,女,83
104,1,23,石門區,22歲,22,22,完全落入,1.0,男,101
104,1,23,石門區,22歲,22,22,完全落入,1.0,女,76
104,1,23,石門區,23歲,23,23,完全落入,1.0,男,87
104,1,23,石門區,23歲,23,23,完全落入,1.0,女,89
104,1,23,石門區,24歲,24,24,完全落入,1.0,男,91
104,1,23,石門區,24歲,24,24,完全落入,1.0,女,96
104,1,23,石門區,25歲,25,25,完全落入,1.0,男,85
104,1,23,石門區,25歲,25,25,完全落入,1.0,女,70
104,1,23,石門區,26歲,26,26,完全落入,1.0,男,92
104,1,23,石門區,26歲,26,26,完全落入,1.0,女,100
104,1,23,石門區,27歲,27,27,完全落入,1.0,男,85
104,1,23,石門區,27歲,27,27,完全落入,1.0,女,82
104,1,23,石門區,28歲,28,28,完全落入,1.0,男,61
104,1,23,石門區,28歲,28,28,完全落入,1.0,女,88
104,1,23,石門區,29歲,29,29,完全落入,1.0,男,85
104,1,23,石門區,29歲,29,29,完全落入,1.0,女,77
104,1,23,石門區,30歲,30,30,完全落入,1.0,男,89
104,1,23,石門區,30歲,30,30,完全落入,1.0,女,93
104,1,23,石門區,31歲,31,31,完全落入,1.0,男,94
104,1,23,石門區,31歲,31,31,完全落入,1.0,女,112
104,1,23,石門區,32歲,32,32,完全落入,1.0,男,116
104,1,23,石門區,32歲,32,32,完全落入,1.0,女,109
104,1,23,石門區,33歲,33,33,完全落入,1.0,男,105
104,1,23,石門區,33歲,33,33,完全落入,1.0,女,128
