民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
104,1,28,貢寮區,0歲,0,0,不相關,0.0,男,46
104,1,28,貢寮區,0歲,0,0,不相關,0.0,女,38
104,1,28,貢寮區,1歲,1,1,不相關,0.0,男,38
104,1,28,貢寮區,1歲,1,1,不相關,0.0,女,31
104,1,28,貢寮區,2歲,2,2,不相關,0.0,男,49
104,1,28,貢寮區,2歲,2,2,不相關,0.0,女,47
104,1,28,貢寮區,3歲,3,3,不相關,0.0,男,49
104,1,28,貢寮區,3歲,3,3,不相關,0.0,女,40
104,1,28,貢寮區,4歲,4,4,不相關,0.0,男,44
104,1,28,貢寮區,4歲,4,4,不相關,0.0,女,25
104,1,28,貢寮區,5歲,5,5,不相關,0.0,男,25
104,1,28,貢寮區,5歲,5,5,不相關,0.0,女,29
104,1,28,貢寮區,6歲,6,6,不相關,0.0,男,34
104,1,28,貢寮區,6歲,6,6,不相關,0.0,女,31
104,1,28,貢寮區,7歲,7,7,不相關,0.0,男,29
104,1,28,貢寮區,7歲,7,7,不相關,0.0,女,25
104,1,28,貢寮區,8歲,8,8,不相關,0.0,男,32
104,1,28,貢寮區,8歲,8,8,不相關,0.0,女,24
104,1,28,貢寮區,9歲,9,9,不相關,0.0,男,35
104,1,28,貢寮區,9歲,9,9,不相關,0.0,女,32
104,1,28,貢寮區,10歲,10,10,不相關,0.0,男,42
104,1,28,貢寮區,10歲,10,10,不相關,0.0,女,40
104,1,28,貢寮區,11歲,11,11,不相關,0.0,男,43
104,1,28,貢寮區,11歲,11,11,不相關,0.0,女,48
104,1,28,貢寮區,12歲,12,12,不相關,0.0,男,37
104,1,28,貢寮區,12歲,12,12,不相關,0.0,女,48
104,1,28,貢寮區,13歲,13,13,不相關,0.0,男,49
104,1,28,貢寮區,13歲,13,13,不相關,0.0,女,43
104,1,28,貢寮區,14歲,14,14,不相關,0.0,男,61
104,1,28,貢寮區,14歲,14,14,不相關,0.0,女,62
104,1,28,貢寮區,15歲,15,15,不相關,0.0,男,56
104,1,28,貢寮區,15歲,15,15,不相關,0.0,女,45
104,1,28,貢寮區,16歲,16,16,不相關,0.0,男,61
104,1,28,貢寮區,16歲,16,16,不相關,0.0,女,47
104,1,28,貢寮區,17歲,17,17,不相關,0.0,男,71
104,1,28,貢寮區,17歲,17,17,不相關,0.0,女,56
104,1,28,貢寮區,18歲,18,18,完全落入,1.0,男,63
104,1,28,貢寮區,18歲,18,18,完全落入,1.0,女,60
104,1,28,貢寮區,19歲,19,19,完全落入,1.0,男,75
104,1,28,貢寮區,19歲,19,19,完全落入,1.0,女,76
104,1,28,貢寮區,20歲,20,20,完全落入,1.0,男,85
104,1,28,貢寮區,20歲,20,20,完全落入,1.0,女,71
104,1,28,貢寮區,21歲,21,21,完全落入,1.0,男,66
104,1,28,貢寮區,21歲,21,21,完全落入,1.0,女,79
104,1,28,貢寮區,22歲,22,22,完全落入,1.0,男,67
104,1,28,貢寮區,22歲,22,22,完全落入,1.0,女,76
104,1,28,貢寮區,23歲,23,23,完全落入,1.0,男,69
104,1,28,貢寮區,23歲,23,23,完全落入,1.0,女,56
104,1,28,貢寮區,24歲,24,24,完全落入,1.0,男,66
104,1,28,貢寮區,24歲,24,24,完全落入,1.0,女,78
104,1,28,貢寮區,25歲,25,25,完全落入,1.0,男,67
104,1,28,貢寮區,25歲,25,25,完全落入,1.0,女,68
104,1,28,貢寮區,26歲,26,26,完全落入,1.0,男,82
104,1,28,貢寮區,26歲,26,26,完全落入,1.0,女,68
104,1,28,貢寮區,27歲,27,27,完全落入,1.0,男,65
104,1,28,貢寮區,27歲,27,27,完全落入,1.0,女,73
104,1,28,貢寮區,28歲,28,28,完全落入,1.0,男,73
104,1,28,貢寮區,28歲,28,28,完全落入,1.0,女,61
104,1,28,貢寮區,29歲,29,29,完全落入,1.0,男,90
104,1,28,貢寮區,29歲,29,29,完全落入,1.0,女,69
104,1,28,貢寮區,30歲,30,30,完全落入,1.0,男,74
104,1,28,貢寮區,30歲,30,30,完全落入,1.0,女,68
104,1,28,貢寮區,31歲,31,31,完全落入,1.0,男,74
104,1,28,貢寮區,31歲,31,31,完全落入,1.0,女,93
104,1,28,貢寮區,32歲,32,32,完全落入,1.0,男,83
104,1,28,貢寮區,32歲,32,32,完全落入,1.0,女,101
104,1,28,貢寮區,33歲,33,33,完全落入,1.0,男,73
104,1,28,貢寮區,33歲,33,33,完全落入,1.0,女,107
104,1,28,貢寮區,34歲,34,34,完全落入,1.0,男,94
104,1,28,貢寮區,34歲,34,34,完全落入,1.0,女,92
104,1,28,貢寮區,35歲,35,35,完全落入,1.0,男,102
104,1,28,貢寮區,35歲,35,35,完全落入,1.0,女,83
104,1,28,貢寮區,36歲,36,36,不相關,0.0,男,98
104,1,28,貢寮區,36歲,36,36,不相關,0.0,女,107
104,1,28,貢寮區,37歲,37,37,不相關,0.0,男,97
104,1,28,貢寮區,37歲,37,37,不相關,0.0,女,98
104,1,28,貢寮區,38歲,38,38,不相關,0.0,男,100
104,1,28,貢寮區,38歲,38,38,不相關,0.0,女,115
104,1,28,貢寮區,39歲,39,39,不相關,0.0,男,124
104,1,28,貢寮區,39歲,39,39,不相關,0.0,女,116
104,1,28,貢寮區,40歲,40,40,不相關,0.0,男,119
104,1,28,貢寮區,40歲,40,40,不相關,0.0,女,115
104,1,28,貢寮區,41歲,41,41,不相關,0.0,男,116
104,1,28,貢寮區,41歲,41,41,不相關,0.0,女,136
104,1,28,貢寮區,42歲,42,42,不相關,0.0,男,125
104,1,28,貢寮區,42歲,42,42,不相關,0.0,女,112
104,1,28,貢寮區,43歲,43,43,不相關,0.0,男,124
104,1,28,貢寮區,43歲,43,43,不相關,0.0,女,116
104,1,28,貢寮區,44歲,44,44,不相關,0.0,男,146
104,1,28,貢寮區,44歲,44,44,不相關,0.0,女,126
104,1,28,貢寮區,45歲,45,45,不相關,0.0,男,137
104,1,28,貢寮區,45歲,45,45,不相關,0.0,女,99
104,1,28,貢寮區,46歲,46,46,不相關,0.0,男,135
104,1,28,貢寮區,46歲,46,46,不相關,0.0,女,126
104,1,28,貢寮區,47歲,47,47,不相關,0.0,男,123
104,1,28,貢寮區,47歲,47,47,不相關,0.0,女,90
104,1,28,貢寮區,48歲,48,48,不相關,0.0,男,157
104,1,28,貢寮區,48歲,48,48,不相關,0.0,女,102
104,1,28,貢寮區,49歲,49,49,不相關,0.0,男,137
104,1,28,貢寮區,49歲,49,49,不相關,0.0,女,100
104,1,28,貢寮區,50歲,50,50,不相關,0.0,男,150
104,1,28,貢寮區,50歲,50,50,不相關,0.0,女,115
104,1,28,貢寮區,51歲,51,51,不相關,0.0,男,145
104,1,28,貢寮區,51歲,51,51,不相關,0.0,女,115
104,1,28,貢寮區,52歲,52,52,不相關,0.0,男,117
104,1,28,貢寮區,52歲,52,52,不相關,0.0,女,109
104,1,28,貢寮區,53歲,53,53,不相關,0.0,男,117
104,1,28,貢寮區,53歲,53,53,不相關,0.0,女,85
104,1,28,貢寮區,54歲,54,54,不相關,0.0,男,140
104,1,28,貢寮區,54歲,54,54,不相關,0.0,女,95
104,1,28,貢寮區,55歲,55,55,不相關,0.0,男,113
104,1,28,貢寮區,55歲,55,55,不相關,0.0,女,79
