民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
107,1,22,三芝區,0歲,0,0,不相關,0.0,男,61
107,1,22,三芝區,0歲,0,0,不相關,0.0,女,61
107,1,22,三芝區,1歲,1,1,不相關,0.0,男,77
107,1,22,三芝區,1歲,1,1,不相關,0.0,女,76
107,1,22,三芝區,2歲,2,2,不相關,0.0,男,71
107,1,22,三芝區,2歲,2,2,不相關,0.0,女,79
107,1,22,三芝區,3歲,3,3,不相關,0.0,男,63
107,1,22,三芝區,3歲,3,3,不相關,0.0,女,72
107,1,22,三芝區,4歲,4,4,不相關,0.0,男,80
107,1,22,三芝區,4歲,4,4,不相關,0.0,女,65
107,1,22,三芝區,5歲,5,5,不相關,0.0,男,74
107,1,22,三芝區,5歲,5,5,不相關,0.0,女,63
107,1,22,三芝區,6歲,6,6,不相關,0.0,男,67
107,1,22,三芝區,6歲,6,6,不相關,0.0,女,50
107,1,22,三芝區,7歲,7,7,不相關,0.0,男,60
107,1,22,三芝區,7歲,7,7,不相關,0.0,女,54
107,1,22,三芝區,8歲,8,8,不相關,0.0,男,78
107,1,22,三芝區,8歲,8,8,不相關,0.0,女,66
107,1,22,三芝區,9歲,9,9,不相關,0.0,男,63
107,1,22,三芝區,9歲,9,9,不相關,0.0,女,80
107,1,22,三芝區,10歲,10,10,不相關,0.0,男,70
107,1,22,三芝區,10歲,10,10,不相關,0.0,女,88
107,1,22,三芝區,11歲,11,11,不相關,0.0,男,91
107,1,22,三芝區,11歲,11,11,不相關,0.0,女,70
107,1,22,三芝區,12歲,12,12,不相關,0.0,男,72
107,1,22,三芝區,12歲,12,12,不相關,0.0,女,78
107,1,22,三芝區,13歲,13,13,不相關,0.0,男,108
107,1,22,三芝區,13歲,13,13,不相關,0.0,女,90
107,1,22,三芝區,14歲,14,14,不相關,0.0,男,95
107,1,22,三芝區,14歲,14,14,不相關,0.0,女,96
107,1,22,三芝區,15歲,15,15,不相關,0.0,男,121
107,1,22,三芝區,15歲,15,15,不相關,0.0,女,123
107,1,22,三芝區,16歲,16,16,不相關,0.0,男,141
107,1,22,三芝區,16歲,16,16,不相關,0.0,女,123
107,1,22,三芝區,17歲,17,17,不相關,0.0,男,145
107,1,22,三芝區,17歲,17,17,不相關,0.0,女,141
107,1,22,三芝區,18歲,18,18,完全落入,1.0,男,151
107,1,22,三芝區,18歲,18,18,完全落入,1.0,女,131
107,1,22,三芝區,19歲,19,19,完全落入,1.0,男,159
107,1,22,三芝區,19歲,19,19,完全落入,1.0,女,129
107,1,22,三芝區,20歲,20,20,完全落入,1.0,男,171
107,1,22,三芝區,20歲,20,20,完全落入,1.0,女,172
107,1,22,三芝區,21歲,21,21,完全落入,1.0,男,181
107,1,22,三芝區,21歲,21,21,完全落入,1.0,女,158
107,1,22,三芝區,22歲,22,22,完全落入,1.0,男,172
107,1,22,三芝區,22歲,22,22,完全落入,1.0,女,175
107,1,22,三芝區,23歲,23,23,完全落入,1.0,男,223
107,1,22,三芝區,23歲,23,23,完全落入,1.0,女,185
107,1,22,三芝區,24歲,24,24,完全落入,1.0,男,200
107,1,22,三芝區,24歲,24,24,完全落入,1.0,女,159
107,1,22,三芝區,25歲,25,25,完全落入,1.0,男,193
107,1,22,三芝區,25歲,25,25,完全落入,1.0,女,151
107,1,22,三芝區,26歲,26,26,完全落入,1.0,男,174
107,1,22,三芝區,26歲,26,26,完全落入,1.0,女,166
107,1,22,三芝區,27歲,27,27,完全落入,1.0,男,178
107,1,22,三芝區,27歲,27,27,完全落入,1.0,女,149
107,1,22,三芝區,28歲,28,28,完全落入,1.0,男,142
107,1,22,三芝區,28歲,28,28,完全落入,1.0,女,134
107,1,22,三芝區,29歲,29,29,完全落入,1.0,男,154
107,1,22,三芝區,29歲,29,29,完全落入,1.0,女,152
107,1,22,三芝區,30歲,30,30,完全落入,1.0,男,144
107,1,22,三芝區,30歲,30,30,完全落入,1.0,女,138
107,1,22,三芝區,31歲,31,31,完全落入,1.0,男,135
107,1,22,三芝區,31歲,31,31,完全落入,1.0,女,107
107,1,22,三芝區,32歲,32,32,完全落入,1.0,男,142
107,1,22,三芝區,32歲,32,32,完全落入,1.0,女,121
107,1,22,三芝區,33歲,33,33,完全落入,1.0,男,180
107,1,22,三芝區,33歲,33,33,完全落入,1.0,女,139
107,1,22,三芝區,34歲,34,34,完全落入,1.0,男,157
107,1,22,三芝區,34歲,34,34,完全落入,1.0,女,160
107,1,22,三芝區,35歲,35,35,完全落入,1.0,男,163
107,1,22,三芝區,35歲,35,35,完全落入,1.0,女,158
107,1,22,三芝區,36歲,36,36,不相關,0.0,男,170
107,1,22,三芝區,36歲,36,36,不相關,0.0,女,163
107,1,22,三芝區,37歲,37,37,不相關,0.0,男,163
107,1,22,三芝區,37歲,37,37,不相關,0.0,女,171
107,1,22,三芝區,38歲,38,38,不相關,0.0,男,171
107,1,22,三芝區,38歲,38,38,不相關,0.0,女,167
107,1,22,三芝區,39歲,39,39,不相關,0.0,男,180
107,1,22,三芝區,39歲,39,39,不相關,0.0,女,147
107,1,22,三芝區,40歲,40,40,不相關,0.0,男,168
107,1,22,三芝區,40歲,40,40,不相關,0.0,女,140
107,1,22,三芝區,41歲,41,41,不相關,0.0,男,169
107,1,22,三芝區,41歲,41,41,不相關,0.0,女,148
107,1,22,三芝區,42歲,42,42,不相關,0.0,男,158
107,1,22,三芝區,42歲,42,42,不相關,0.0,女,131
107,1,22,三芝區,43歲,43,43,不相關,0.0,男,173
107,1,22,三芝區,43歲,43,43,不相關,0.0,女,177
107,1,22,三芝區,44歲,44,44,不相關,0.0,男,189
107,1,22,三芝區,44歲,44,44,不相關,0.0,女,167
107,1,22,三芝區,45歲,45,45,不相關,0.0,男,157
107,1,22,三芝區,45歲,45,45,不相關,0.0,女,157
107,1,22,三芝區,46歲,46,46,不相關,0.0,男,178
107,1,22,三芝區,46歲,46,46,不相關,0.0,女,175
107,1,22,三芝區,47歲,47,47,不相關,0.0,男,212
107,1,22,三芝區,47歲,47,47,不相關,0.0,女,201
107,1,22,三芝區,48歲,48,48,不相關,0.0,男,208
107,1,22,三芝區,48歲,48,48,不相關,0.0,女,205
107,1,22,三芝區,49歲,49,49,不相關,0.0,男,231
107,1,22,三芝區,49歲,49,49,不相關,0.0,女,217
107,1,22,三芝區,50歲,50,50,不相關,0.0,男,197
107,1,22,三芝區,50歲,50,50,不相關,0.0,女,171
107,1,22,三芝區,51歲,51,51,不相關,0.0,男,204
107,1,22,三芝區,51歲,51,51,不相關,0.0,女,211
107,1,22,三芝區,52歲,52,52,不相關,0.0,男,194
107,1,22,三芝區,52歲,52,52,不相關,0.0,女,210
107,1,22,三芝區,53歲,53,53,不相關,0.0,男,227
107,1,22,三芝區,53歲,53,53,不相關,0.0,女,201
107,1,22,三芝區,54歲,54,54,不相關,0.0,男,217
107,1,22,三芝區,54歲,54,54,不相關,0.0,女,225
107,1,22,三芝區,55歲,55,55,不相關,0.0,男,227
107,1,22,三芝區,55歲,55,55,不相關,0.0,女,183
107,1,22,三芝區,56歲,56,56,不相關,0.0,男,211
107,1,22,三芝區,56歲,56,56,不相關,0.0,女,191
107,1,22,三芝區,57歲,57,57,不相關,0.0,男,232
107,1,22,三芝區,57歲,57,57,不相關,0.0,女,199
