民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
108,1,13,汐止區,0歲,0,0,不相關,0.0,男,663
108,1,13,汐止區,0歲,0,0,不相關,0.0,女,596
108,1,13,汐止區,1歲,1,1,不相關,0.0,男,667
108,1,13,汐止區,1歲,1,1,不相關,0.0,女,651
108,1,13,汐止區,2歲,2,2,不相關,0.0,男,728
108,1,13,汐止區,2歲,2,2,不相關,0.0,女,695
108,1,13,汐止區,3歲,3,3,不相關,0.0,男,644
108,1,13,汐止區,3歲,3,3,不相關,0.0,女,639
108,1,13,汐止區,4歲,4,4,不相關,0.0,男,667
108,1,13,汐止區,4歲,4,4,不相關,0.0,女,655
108,1,13,汐止區,5歲,5,5,不相關,0.0,男,673
108,1,13,汐止區,5歲,5,5,不相關,0.0,女,669
108,1,13,汐止區,6歲,6,6,不相關,0.0,男,907
108,1,13,汐止區,6歲,6,6,不相關,0.0,女,803
108,1,13,汐止區,7歲,7,7,不相關,0.0,男,726
108,1,13,汐止區,7歲,7,7,不相關,0.0,女,702
108,1,13,汐止區,8歲,8,8,不相關,0.0,男,655
108,1,13,汐止區,8歲,8,8,不相關,0.0,女,550
108,1,13,汐止區,9歲,9,9,不相關,0.0,男,693
108,1,13,汐止區,9歲,9,9,不相關,0.0,女,630
108,1,13,汐止區,10歲,10,10,不相關,0.0,男,683
108,1,13,汐止區,10歲,10,10,不相關,0.0,女,611
108,1,13,汐止區,11歲,11,11,不相關,0.0,男,729
108,1,13,汐止區,11歲,11,11,不相關,0.0,女,633
108,1,13,汐止區,12歲,12,12,不相關,0.0,男,648
108,1,13,汐止區,12歲,12,12,不相關,0.0,女,649
108,1,13,汐止區,13歲,13,13,不相關,0.0,男,745
108,1,13,汐止區,13歲,13,13,不相關,0.0,女,616
108,1,13,汐止區,14歲,14,14,不相關,0.0,男,800
108,1,13,汐止區,14歲,14,14,不相關,0.0,女,676
108,1,13,汐止區,15歲,15,15,不相關,0.0,男,843
108,1,13,汐止區,15歲,15,15,不相關,0.0,女,832
108,1,13,汐止區,16歲,16,16,不相關,0.0,男,982
108,1,13,汐止區,16歲,16,16,不相關,0.0,女,948
108,1,13,汐止區,17歲,17,17,不相關,0.0,男,1050
108,1,13,汐止區,17歲,17,17,不相關,0.0,女,967
108,1,13,汐止區,18歲,18,18,完全落入,1.0,男,1304
108,1,13,汐止區,18歲,18,18,完全落入,1.0,女,1167
108,1,13,汐止區,19歲,19,19,完全落入,1.0,男,1279
108,1,13,汐止區,19歲,19,19,完全落入,1.0,女,1153
108,1,13,汐止區,20歲,20,20,完全落入,1.0,男,1214
108,1,13,汐止區,20歲,20,20,完全落入,1.0,女,1134
108,1,13,汐止區,21歲,21,21,完全落入,1.0,男,1462
108,1,13,汐止區,21歲,21,21,完全落入,1.0,女,1395
108,1,13,汐止區,22歲,22,22,完全落入,1.0,男,1466
108,1,13,汐止區,22歲,22,22,完全落入,1.0,女,1318
108,1,13,汐止區,23歲,23,23,完全落入,1.0,男,1500
108,1,13,汐止區,23歲,23,23,完全落入,1.0,女,1372
108,1,13,汐止區,24歲,24,24,完全落入,1.0,男,1496
108,1,13,汐止區,24歲,24,24,完全落入,1.0,女,1434
108,1,13,汐止區,25歲,25,25,完全落入,1.0,男,1502
108,1,13,汐止區,25歲,25,25,完全落入,1.0,女,1359
108,1,13,汐止區,26歲,26,26,完全落入,1.0,男,1458
108,1,13,汐止區,26歲,26,26,完全落入,1.0,女,1366
108,1,13,汐止區,27歲,27,27,完全落入,1.0,男,1446
108,1,13,汐止區,27歲,27,27,完全落入,1.0,女,1283
108,1,13,汐止區,28歲,28,28,完全落入,1.0,男,1521
108,1,13,汐止區,28歲,28,28,完全落入,1.0,女,1341
108,1,13,汐止區,29歲,29,29,完全落入,1.0,男,1296
108,1,13,汐止區,29歲,29,29,完全落入,1.0,女,1195
108,1,13,汐止區,30歲,30,30,完全落入,1.0,男,1336
108,1,13,汐止區,30歲,30,30,完全落入,1.0,女,1332
108,1,13,汐止區,31歲,31,31,完全落入,1.0,男,1195
108,1,13,汐止區,31歲,31,31,完全落入,1.0,女,1156
108,1,13,汐止區,32歲,32,32,完全落入,1.0,男,1090
108,1,13,汐止區,32歲,32,32,完全落入,1.0,女,1114
108,1,13,汐止區,33歲,33,33,完全落入,1.0,男,1303
