民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
108,1,15,五股區,0歲,0,0,不相關,0.0,男,327
108,1,15,五股區,0歲,0,0,不相關,0.0,女,308
108,1,15,五股區,1歲,1,1,不相關,0.0,男,379
108,1,15,五股區,1歲,1,1,不相關,0.0,女,341
108,1,15,五股區,2歲,2,2,不相關,0.0,男,385
108,1,15,五股區,2歲,2,2,不相關,0.0,女,342
108,1,15,五股區,3歲,3,3,不相關,0.0,男,418
108,1,15,五股區,3歲,3,3,不相關,0.0,女,339
108,1,15,五股區,4歲,4,4,不相關,0.0,男,381
108,1,15,五股區,4歲,4,4,不相關,0.0,女,326
108,1,15,五股區,5歲,5,5,不相關,0.0,男,348
108,1,15,五股區,5歲,5,5,不相關,0.0,女,329
108,1,15,五股區,6歲,6,6,不相關,0.0,男,478
108,1,15,五股區,6歲,6,6,不相關,0.0,女,405
108,1,15,五股區,7歲,7,7,不相關,0.0,男,362
108,1,15,五股區,7歲,7,7,不相關,0.0,女,320
108,1,15,五股區,8歲,8,8,不相關,0.0,男,319
108,1,15,五股區,8歲,8,8,不相關,0.0,女,276
108,1,15,五股區,9歲,9,9,不相關,0.0,男,367
108,1,15,五股區,9歲,9,9,不相關,0.0,女,348
108,1,15,五股區,10歲,10,10,不相關,0.0,男,388
108,1,15,五股區,10歲,10,10,不相關,0.0,女,303
108,1,15,五股區,11歲,11,11,不相關,0.0,男,347
108,1,15,五股區,11歲,11,11,不相關,0.0,女,330
108,1,15,五股區,12歲,12,12,不相關,0.0,男,395
108,1,15,五股區,12歲,12,12,不相關,0.0,女,357
108,1,15,五股區,13歲,13,13,不相關,0.0,男,386
108,1,15,五股區,13歲,13,13,不相關,0.0,女,344
108,1,15,五股區,14歲,14,14,不相關,0.0,男,418
108,1,15,五股區,14歲,14,14,不相關,0.0,女,382
108,1,15,五股區,15歲,15,15,不相關,0.0,男,465
108,1,15,五股區,15歲,15,15,不相關,0.0,女,394
108,1,15,五股區,16歲,16,16,不相關,0.0,男,492
108,1,15,五股區,16歲,16,16,不相關,0.0,女,405
108,1,15,五股區,17歲,17,17,不相關,0.0,男,516
108,1,15,五股區,17歲,17,17,不相關,0.0,女,485
108,1,15,五股區,18歲,18,18,完全落入,1.0,男,579
108,1,15,五股區,18歲,18,18,完全落入,1.0,女,589
108,1,15,五股區,19歲,19,19,完全落入,1.0,男,608
108,1,15,五股區,19歲,19,19,完全落入,1.0,女,537
108,1,15,五股區,20歲,20,20,完全落入,1.0,男,556
108,1,15,五股區,20歲,20,20,完全落入,1.0,女,553
108,1,15,五股區,21歲,21,21,完全落入,1.0,男,692
108,1,15,五股區,21歲,21,21,完全落入,1.0,女,646
108,1,15,五股區,22歲,22,22,完全落入,1.0,男,716
108,1,15,五股區,22歲,22,22,完全落入,1.0,女,653
108,1,15,五股區,23歲,23,23,完全落入,1.0,男,715
108,1,15,五股區,23歲,23,23,完全落入,1.0,女,676
108,1,15,五股區,24歲,24,24,完全落入,1.0,男,702
108,1,15,五股區,24歲,24,24,完全落入,1.0,女,641
108,1,15,五股區,25歲,25,25,完全落入,1.0,男,696
108,1,15,五股區,25歲,25,25,完全落入,1.0,女,655
108,1,15,五股區,26歲,26,26,完全落入,1.0,男,764
108,1,15,五股區,26歲,26,26,完全落入,1.0,女,645
108,1,15,五股區,27歲,27,27,完全落入,1.0,男,720
108,1,15,五股區,27歲,27,27,完全落入,1.0,女,624
108,1,15,五股區,28歲,28,28,完全落入,1.0,男,757
108,1,15,五股區,28歲,28,28,完全落入,1.0,女,632
108,1,15,五股區,29歲,29,29,完全落入,1.0,男,621
108,1,15,五股區,29歲,29,29,完全落入,1.0,女,602
108,1,15,五股區,30歲,30,30,完全落入,1.0,男,706
108,1,15,五股區,30歲,30,30,完全落入,1.0,女,643
108,1,15,五股區,31歲,31,31,完全落入,1.0,男,622
108,1,15,五股區,31歲,31,31,完全落入,1.0,女,571
108,1,15,五股區,32歲,32,32,完全落入,1.0,男,556
108,1,15,五股區,32歲,32,32,完全落入,1.0,女,557
108,1,15,五股區,33歲,33,33,完全落入,1.0,男,629
108,1,15,五股區,33歲,33,33,完全落入,1.0,女,674
108,1,15,五股區,34歲,34,34,完全落入,1.0,男,713
108,1,15,五股區,34歲,34,34,完全落入,1.0,女,645
108,1,15,五股區,35歲,35,35,完全落入,1.0,男,714
108,1,15,五股區,35歲,35,35,完全落入,1.0,女,727
108,1,15,五股區,36歲,36,36,不相關,0.0,男,800
108,1,15,五股區,36歲,36,36,不相關,0.0,女,755
108,1,15,五股區,37歲,37,37,不相關,0.0,男,767
108,1,15,五股區,37歲,37,37,不相關,0.0,女,803
108,1,15,五股區,38歲,38,38,不相關,0.0,男,789
108,1,15,五股區,38歲,38,38,不相關,0.0,女,751
108,1,15,五股區,39歲,39,39,不相關,0.0,男,792
108,1,15,五股區,39歲,39,39,不相關,0.0,女,812
108,1,15,五股區,40歲,40,40,不相關,0.0,男,811
108,1,15,五股區,40歲,40,40,不相關,0.0,女,756
108,1,15,五股區,41歲,41,41,不相關,0.0,男,728
108,1,15,五股區,41歲,41,41,不相關,0.0,女,734
108,1,15,五股區,42歲,42,42,不相關,0.0,男,758
108,1,15,五股區,42歲,42,42,不相關,0.0,女,785
108,1,15,五股區,43歲,43,43,不相關,0.0,男,686
108,1,15,五股區,43歲,43,43,不相關,0.0,女,641
108,1,15,五股區,44歲,44,44,不相關,0.0,男,667
108,1,15,五股區,44歲,44,44,不相關,0.0,女,679
108,1,15,五股區,45歲,45,45,不相關,0.0,男,656
108,1,15,五股區,45歲,45,45,不相關,0.0,女,616
108,1,15,五股區,46歲,46,46,不相關,0.0,男,662
108,1,15,五股區,46歲,46,46,不相關,0.0,女,700
108,1,15,五股區,47歲,47,47,不相關,0.0,男,718
108,1,15,五股區,47歲,47,47,不相關,0.0,女,642
108,1,15,五股區,48歲,48,48,不相關,0.0,男,654
108,1,15,五股區,48歲,48,48,不相關,0.0,女,717
108,1,15,五股區,49歲,49,49,不相關,0.0,男,729
108,1,15,五股區,49歲,49,49,不相關,0.0,女,739
108,1,15,五股區,50歲,50,50,不相關,0.0,男,711
108,1,15,五股區,50歲,50,50,不相關,0.0,女,722
108,1,15,五股區,51歲,51,51,不相關,0.0,男,743
108,1,15,五股區,51歲,51,51,不相關,0.0,女,716
108,1,15,五股區,52歲,52,52,不相關,0.0,男,722
108,1,15,五股區,52歲,52,52,不相關,0.0,女,746
108,1,15,五股區,53歲,53,53,不相關,0.0,男,716
108,1,15,五股區,53歲,53,53,不相關,0.0,女,748
108,1,15,五股區,54歲,54,54,不相關,0.0,男,725
108,1,15,五股區,54歲,54,54,不相關,0.0,女,781
108,1,15,五股區,55歲,55,55,不相關,0.0,男,766
108,1,15,五股區,55歲,55,55,不相關,0.0,女,762
108,1,15,五股區,56歲,56,56,不相關,0.0,男,724
