民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
110,1,1,板橋區,0歲,0,0,不相關,0.0,男,1772
110,1,1,板橋區,0歲,0,0,不相關,0.0,女,1643
110,1,1,板橋區,1歲,1,1,不相關,0.0,男,2133
110,1,1,板橋區,1歲,1,1,不相關,0.0,女,1931
110,1,1,板橋區,2歲,2,2,不相關,0.0,男,2195
110,1,1,板橋區,2歲,2,2,不相關,0.0,女,2046
110,1,1,板橋區,3歲,3,3,不相關,0.0,男,2260
110,1,1,板橋區,3歲,3,3,不相關,0.0,女,2179
110,1,1,板橋區,4歲,4,4,不相關,0.0,男,2481
110,1,1,板橋區,4歲,4,4,不相關,0.0,女,2382
110,1,1,板橋區,5歲,5,5,不相關,0.0,男,2729
110,1,1,板橋區,5歲,5,5,不相關,0.0,女,2592
110,1,1,板橋區,6歲,6,6,不相關,0.0,男,2838
110,1,1,板橋區,6歲,6,6,不相關,0.0,女,2755
110,1,1,板橋區,7歲,7,7,不相關,0.0,男,2547
110,1,1,板橋區,7歲,7,7,不相關,0.0,女,2374
110,1,1,板橋區,8歲,8,8,不相關,0.0,男,3190
110,1,1,板橋區,8歲,8,8,不相關,0.0,女,2999
110,1,1,板橋區,9歲,9,9,不相關,0.0,男,2778
110,1,1,板橋區,9歲,9,9,不相關,0.0,女,2535
110,1,1,板橋區,10歲,10,10,不相關,0.0,男,2291
110,1,1,板橋區,10歲,10,10,不相關,0.0,女,2049
110,1,1,板橋區,11歲,11,11,不相關,0.0,男,2650
110,1,1,板橋區,11歲,11,11,不相關,0.0,女,2418
110,1,1,板橋區,12歲,12,12,不相關,0.0,男,2638
110,1,1,板橋區,12歲,12,12,不相關,0.0,女,2303
110,1,1,板橋區,13歲,13,13,不相關,0.0,男,2618
110,1,1,板橋區,13歲,13,13,不相關,0.0,女,2398
110,1,1,板橋區,14歲,14,14,不相關,0.0,男,2606
110,1,1,板橋區,14歲,14,14,不相關,0.0,女,2405
110,1,1,板橋區,15歲,15,15,不相關,0.0,男,2444
110,1,1,板橋區,15歲,15,15,不相關,0.0,女,2279
110,1,1,板橋區,16歲,16,16,不相關,0.0,男,2620
110,1,1,板橋區,16歲,16,16,不相關,0.0,女,2359
110,1,1,板橋區,17歲,17,17,不相關,0.0,男,2644
110,1,1,板橋區,17歲,17,17,不相關,0.0,女,2353
110,1,1,板橋區,18歲,18,18,完全落入,1.0,男,2804
110,1,1,板橋區,18歲,18,18,完全落入,1.0,女,2560
110,1,1,板橋區,19歲,19,19,完全落入,1.0,男,2900
110,1,1,板橋區,19歲,19,19,完全落入,1.0,女,2659
110,1,1,板橋區,20歲,20,20,完全落入,1.0,男,3433
110,1,1,板橋區,20歲,20,20,完全落入,1.0,女,3138
110,1,1,板橋區,21歲,21,21,完全落入,1.0,男,3115
110,1,1,板橋區,21歲,21,21,完全落入,1.0,女,2915
110,1,1,板橋區,22歲,22,22,完全落入,1.0,男,2886
110,1,1,板橋區,22歲,22,22,完全落入,1.0,女,2590
110,1,1,板橋區,23歲,23,23,完全落入,1.0,男,3410
110,1,1,板橋區,23歲,23,23,完全落入,1.0,女,3225
110,1,1,板橋區,24歲,24,24,完全落入,1.0,男,3461
110,1,1,板橋區,24歲,24,24,完全落入,1.0,女,3257
110,1,1,板橋區,25歲,25,25,完全落入,1.0,男,3502
110,1,1,板橋區,25歲,25,25,完全落入,1.0,女,3263
110,1,1,板橋區,26歲,26,26,完全落入,1.0,男,3481
110,1,1,板橋區,26歲,26,26,完全落入,1.0,女,3346
110,1,1,板橋區,27歲,27,27,完全落入,1.0,男,3527
110,1,1,板橋區,27歲,27,27,完全落入,1.0,女,3360
110,1,1,板橋區,28歲,28,28,完全落入,1.0,男,3659
110,1,1,板橋區,28歲,28,28,完全落入,1.0,女,3419
110,1,1,板橋區,29歲,29,29,完全落入,1.0,男,3712
110,1,1,板橋區,29歲,29,29,完全落入,1.0,女,3467
110,1,1,板橋區,30歲,30,30,完全落入,1.0,男,3967
110,1,1,板橋區,30歲,30,30,完全落入,1.0,女,3680
110,1,1,板橋區,31歲,31,31,完全落入,1.0,男,3764
110,1,1,板橋區,31歲,31,31,完全落入,1.0,女,3599
110,1,1,板橋區,32歲,32,32,完全落入,1.0,男,4113
110,1,1,板橋區,32歲,32,32,完全落入,1.0,女,4017
110,1,1,板橋區,33歲,33,33,完全落入,1.0,男,3674
110,1,1,板橋區,33歲,33,33,完全落入,1.0,女,3718
110,1,1,板橋區,34歲,34,34,完全落入,1.0,男,3598
110,1,1,板橋區,34歲,34,34,完全落入,1.0,女,3696
110,1,1,板橋區,35歲,35,35,完全落入,1.0,男,4134
110,1,1,板橋區,35歲,35,35,完全落入,1.0,女,4271
110,1,1,板橋區,36歲,36,36,不相關,0.0,男,4598
110,1,1,板橋區,36歲,36,36,不相關,0.0,女,4643
110,1,1,板橋區,37歲,37,37,不相關,0.0,男,4641
110,1,1,板橋區,37歲,37,37,不相關,0.0,女,4923
110,1,1,板橋區,38歲,38,38,不相關,0.0,男,5122
110,1,1,板橋區,38歲,38,38,不相關,0.0,女,5239
110,1,1,板橋區,39歲,39,39,不相關,0.0,男,5275
