民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
110,1,18,八里區,0歲,0,0,不相關,0.0,男,142
110,1,18,八里區,0歲,0,0,不相關,0.0,女,133
110,1,18,八里區,1歲,1,1,不相關,0.0,男,168
110,1,18,八里區,1歲,1,1,不相關,0.0,女,158
110,1,18,八里區,2歲,2,2,不相關,0.0,男,165
110,1,18,八里區,2歲,2,2,不相關,0.0,女,130
110,1,18,八里區,3歲,3,3,不相關,0.0,男,186
110,1,18,八里區,3歲,3,3,不相關,0.0,女,151
110,1,18,八里區,4歲,4,4,不相關,0.0,男,171
110,1,18,八里區,4歲,4,4,不相關,0.0,女,160
110,1,18,八里區,5歲,5,5,不相關,0.0,男,160
110,1,18,八里區,5歲,5,5,不相關,0.0,女,136
110,1,18,八里區,6歲,6,6,不相關,0.0,男,175
110,1,18,八里區,6歲,6,6,不相關,0.0,女,165
110,1,18,八里區,7歲,7,7,不相關,0.0,男,143
110,1,18,八里區,7歲,7,7,不相關,0.0,女,132
110,1,18,八里區,8歲,8,8,不相關,0.0,男,215
110,1,18,八里區,8歲,8,8,不相關,0.0,女,177
110,1,18,八里區,9歲,9,9,不相關,0.0,男,153
110,1,18,八里區,9歲,9,9,不相關,0.0,女,138
110,1,18,八里區,10歲,10,10,不相關,0.0,男,134
110,1,18,八里區,10歲,10,10,不相關,0.0,女,121
110,1,18,八里區,11歲,11,11,不相關,0.0,男,121
110,1,18,八里區,11歲,11,11,不相關,0.0,女,111
110,1,18,八里區,12歲,12,12,不相關,0.0,男,139
110,1,18,八里區,12歲,12,12,不相關,0.0,女,116
110,1,18,八里區,13歲,13,13,不相關,0.0,男,157
110,1,18,八里區,13歲,13,13,不相關,0.0,女,141
110,1,18,八里區,14歲,14,14,不相關,0.0,男,164
110,1,18,八里區,14歲,14,14,不相關,0.0,女,128
110,1,18,八里區,15歲,15,15,不相關,0.0,男,162
110,1,18,八里區,15歲,15,15,不相關,0.0,女,165
110,1,18,八里區,16歲,16,16,不相關,0.0,男,190
110,1,18,八里區,16歲,16,16,不相關,0.0,女,182
110,1,18,八里區,17歲,17,17,不相關,0.0,男,212
110,1,18,八里區,17歲,17,17,不相關,0.0,女,212
110,1,18,八里區,18歲,18,18,完全落入,1.0,男,223
110,1,18,八里區,18歲,18,18,完全落入,1.0,女,207
110,1,18,八里區,19歲,19,19,完全落入,1.0,男,255
110,1,18,八里區,19歲,19,19,完全落入,1.0,女,245
110,1,18,八里區,20歲,20,20,完全落入,1.0,男,278
110,1,18,八里區,20歲,20,20,完全落入,1.0,女,273
110,1,18,八里區,21歲,21,21,完全落入,1.0,男,295
110,1,18,八里區,21歲,21,21,完全落入,1.0,女,230
110,1,18,八里區,22歲,22,22,完全落入,1.0,男,268
110,1,18,八里區,22歲,22,22,完全落入,1.0,女,238
110,1,18,八里區,23歲,23,23,完全落入,1.0,男,282
110,1,18,八里區,23歲,23,23,完全落入,1.0,女,285
110,1,18,八里區,24歲,24,24,完全落入,1.0,男,308
110,1,18,八里區,24歲,24,24,完全落入,1.0,女,291
110,1,18,八里區,25歲,25,25,完全落入,1.0,男,316
110,1,18,八里區,25歲,25,25,完全落入,1.0,女,313
110,1,18,八里區,26歲,26,26,完全落入,1.0,男,330
110,1,18,八里區,26歲,26,26,完全落入,1.0,女,303
110,1,18,八里區,27歲,27,27,完全落入,1.0,男,339
110,1,18,八里區,27歲,27,27,完全落入,1.0,女,280
110,1,18,八里區,28歲,28,28,完全落入,1.0,男,274
110,1,18,八里區,28歲,28,28,完全落入,1.0,女,298
110,1,18,八里區,29歲,29,29,完全落入,1.0,男,289
110,1,18,八里區,29歲,29,29,完全落入,1.0,女,276
110,1,18,八里區,30歲,30,30,完全落入,1.0,男,306
110,1,18,八里區,30歲,30,30,完全落入,1.0,女,267
110,1,18,八里區,31歲,31,31,完全落入,1.0,男,261
110,1,18,八里區,31歲,31,31,完全落入,1.0,女,251
110,1,18,八里區,32歲,32,32,完全落入,1.0,男,277
110,1,18,八里區,32歲,32,32,完全落入,1.0,女,284
110,1,18,八里區,33歲,33,33,完全落入,1.0,男,281
110,1,18,八里區,33歲,33,33,完全落入,1.0,女,258
110,1,18,八里區,34歲,34,34,完全落入,1.0,男,231
110,1,18,八里區,34歲,34,34,完全落入,1.0,女,241
110,1,18,八里區,35歲,35,35,完全落入,1.0,男,279
110,1,18,八里區,35歲,35,35,完全落入,1.0,女,276
