民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
111,1,10,鶯歌區,0歲,0,0,不相關,0.0,男,281
111,1,10,鶯歌區,0歲,0,0,不相關,0.0,女,326
111,1,10,鶯歌區,1歲,1,1,不相關,0.0,男,304
111,1,10,鶯歌區,1歲,1,1,不相關,0.0,女,309
111,1,10,鶯歌區,2歲,2,2,不相關,0.0,男,328
111,1,10,鶯歌區,2歲,2,2,不相關,0.0,女,321
111,1,10,鶯歌區,3歲,3,3,不相關,0.0,男,353
111,1,10,鶯歌區,3歲,3,3,不相關,0.0,女,332
111,1,10,鶯歌區,4歲,4,4,不相關,0.0,男,381
111,1,10,鶯歌區,4歲,4,4,不相關,0.0,女,374
111,1,10,鶯歌區,5歲,5,5,不相關,0.0,男,415
111,1,10,鶯歌區,5歲,5,5,不相關,0.0,女,418
111,1,10,鶯歌區,6歲,6,6,不相關,0.0,男,426
111,1,10,鶯歌區,6歲,6,6,不相關,0.0,女,386
111,1,10,鶯歌區,7歲,7,7,不相關,0.0,男,460
111,1,10,鶯歌區,7歲,7,7,不相關,0.0,女,381
111,1,10,鶯歌區,8歲,8,8,不相關,0.0,男,381
111,1,10,鶯歌區,8歲,8,8,不相關,0.0,女,352
111,1,10,鶯歌區,9歲,9,9,不相關,0.0,男,448
111,1,10,鶯歌區,9歲,9,9,不相關,0.0,女,442
111,1,10,鶯歌區,10歲,10,10,不相關,0.0,男,386
111,1,10,鶯歌區,10歲,10,10,不相關,0.0,女,374
111,1,10,鶯歌區,11歲,11,11,不相關,0.0,男,347
111,1,10,鶯歌區,11歲,11,11,不相關,0.0,女,302
111,1,10,鶯歌區,12歲,12,12,不相關,0.0,男,409
111,1,10,鶯歌區,12歲,12,12,不相關,0.0,女,355
111,1,10,鶯歌區,13歲,13,13,不相關,0.0,男,384
111,1,10,鶯歌區,13歲,13,13,不相關,0.0,女,385
111,1,10,鶯歌區,14歲,14,14,不相關,0.0,男,452
111,1,10,鶯歌區,14歲,14,14,不相關,0.0,女,398
111,1,10,鶯歌區,15歲,15,15,不相關,0.0,男,431
