民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
112,1,27,雙溪區,0歲,0,0,不相關,0.0,男,17
112,1,27,雙溪區,0歲,0,0,不相關,0.0,女,10
112,1,27,雙溪區,1歲,1,1,不相關,0.0,男,12
112,1,27,雙溪區,1歲,1,1,不相關,0.0,女,9
112,1,27,雙溪區,2歲,2,2,不相關,0.0,男,8
112,1,27,雙溪區,2歲,2,2,不相關,0.0,女,16
112,1,27,雙溪區,3歲,3,3,不相關,0.0,男,13
112,1,27,雙溪區,3歲,3,3,不相關,0.0,女,18
112,1,27,雙溪區,4歲,4,4,不相關,0.0,男,9
112,1,27,雙溪區,4歲,4,4,不相關,0.0,女,13
112,1,27,雙溪區,5歲,5,5,不相關,0.0,男,14
112,1,27,雙溪區,5歲,5,5,不相關,0.0,女,15
112,1,27,雙溪區,6歲,6,6,不相關,0.0,男,23
112,1,27,雙溪區,6歲,6,6,不相關,0.0,女,11
112,1,27,雙溪區,7歲,7,7,不相關,0.0,男,20
112,1,27,雙溪區,7歲,7,7,不相關,0.0,女,14
112,1,27,雙溪區,8歲,8,8,不相關,0.0,男,19
112,1,27,雙溪區,8歲,8,8,不相關,0.0,女,17
112,1,27,雙溪區,9歲,9,9,不相關,0.0,男,17
112,1,27,雙溪區,9歲,9,9,不相關,0.0,女,14
112,1,27,雙溪區,10歲,10,10,不相關,0.0,男,21
112,1,27,雙溪區,10歲,10,10,不相關,0.0,女,19
112,1,27,雙溪區,11歲,11,11,不相關,0.0,男,13
112,1,27,雙溪區,11歲,11,11,不相關,0.0,女,14
112,1,27,雙溪區,12歲,12,12,不相關,0.0,男,10
112,1,27,雙溪區,12歲,12,12,不相關,0.0,女,13
112,1,27,雙溪區,13歲,13,13,不相關,0.0,男,25
112,1,27,雙溪區,13歲,13,13,不相關,0.0,女,19
112,1,27,雙溪區,14歲,14,14,不相關,0.0,男,21
112,1,27,雙溪區,14歲,14,14,不相關,0.0,女,17
112,1,27,雙溪區,15歲,15,15,不相關,0.0,男,38
112,1,27,雙溪區,15歲,15,15,不相關,0.0,女,22
