民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,12,淡水區,0歲,0,0,不相關,0.0,男,463
113,1,12,淡水區,0歲,0,0,不相關,0.0,女,438
113,1,12,淡水區,1歲,1,1,不相關,0.0,男,550
113,1,12,淡水區,1歲,1,1,不相關,0.0,女,534
113,1,12,淡水區,2歲,2,2,不相關,0.0,男,654
113,1,12,淡水區,2歲,2,2,不相關,0.0,女,626
113,1,12,淡水區,3歲,3,3,不相關,0.0,男,630
113,1,12,淡水區,3歲,3,3,不相關,0.0,女,591
113,1,12,淡水區,4歲,4,4,不相關,0.0,男,684
113,1,12,淡水區,4歲,4,4,不相關,0.0,女,627
113,1,12,淡水區,5歲,5,5,不相關,0.0,男,741
113,1,12,淡水區,5歲,5,5,不相關,0.0,女,630
113,1,12,淡水區,6歲,6,6,不相關,0.0,男,739
113,1,12,淡水區,6歲,6,6,不相關,0.0,女,755
113,1,12,淡水區,7歲,7,7,不相關,0.0,男,837
113,1,12,淡水區,7歲,7,7,不相關,0.0,女,752
113,1,12,淡水區,8歲,8,8,不相關,0.0,男,801
113,1,12,淡水區,8歲,8,8,不相關,0.0,女,804
113,1,12,淡水區,9歲,9,9,不相關,0.0,男,792
113,1,12,淡水區,9歲,9,9,不相關,0.0,女,770
113,1,12,淡水區,10歲,10,10,不相關,0.0,男,738
113,1,12,淡水區,10歲,10,10,不相關,0.0,女,712
113,1,12,淡水區,11歲,11,11,不相關,0.0,男,895
113,1,12,淡水區,11歲,11,11,不相關,0.0,女,799
113,1,12,淡水區,12歲,12,12,不相關,0.0,男,759
113,1,12,淡水區,12歲,12,12,不相關,0.0,女,709
113,1,12,淡水區,13歲,13,13,不相關,0.0,男,649
113,1,12,淡水區,13歲,13,13,不相關,0.0,女,590
113,1,12,淡水區,14歲,14,14,不相關,0.0,男,730
113,1,12,淡水區,14歲,14,14,不相關,0.0,女,697
113,1,12,淡水區,15歲,15,15,不相關,0.0,男,728
113,1,12,淡水區,15歲,15,15,不相關,0.0,女,701
113,1,12,淡水區,16歲,16,16,不相關,0.0,男,803
113,1,12,淡水區,16歲,16,16,不相關,0.0,女,684
113,1,12,淡水區,17歲,17,17,不相關,0.0,男,854
113,1,12,淡水區,17歲,17,17,不相關,0.0,女,775
113,1,12,淡水區,18歲,18,18,完全落入,1.0,男,786
113,1,12,淡水區,18歲,18,18,完全落入,1.0,女,740
113,1,12,淡水區,19歲,19,19,完全落入,1.0,男,907
113,1,12,淡水區,19歲,19,19,完全落入,1.0,女,752
113,1,12,淡水區,20歲,20,20,完全落入,1.0,男,865
113,1,12,淡水區,20歲,20,20,完全落入,1.0,女,820
113,1,12,淡水區,21歲,21,21,完全落入,1.0,男,1009
113,1,12,淡水區,21歲,21,21,完全落入,1.0,女,922
113,1,12,淡水區,22歲,22,22,完全落入,1.0,男,1043
113,1,12,淡水區,22歲,22,22,完全落入,1.0,女,877
113,1,12,淡水區,23歲,23,23,完全落入,1.0,男,1243
113,1,12,淡水區,23歲,23,23,完全落入,1.0,女,1155
113,1,12,淡水區,24歲,24,24,完全落入,1.0,男,1113
113,1,12,淡水區,24歲,24,24,完全落入,1.0,女,1034
113,1,12,淡水區,25歲,25,25,完全落入,1.0,男,1075
113,1,12,淡水區,25歲,25,25,完全落入,1.0,女,994
113,1,12,淡水區,26歲,26,26,完全落入,1.0,男,1279
113,1,12,淡水區,26歲,26,26,完全落入,1.0,女,1243
113,1,12,淡水區,27歲,27,27,完全落入,1.0,男,1311
113,1,12,淡水區,27歲,27,27,完全落入,1.0,女,1200
113,1,12,淡水區,28歲,28,28,完全落入,1.0,男,1376
113,1,12,淡水區,28歲,28,28,完全落入,1.0,女,1320
113,1,12,淡水區,29歲,29,29,完全落入,1.0,男,1381
113,1,12,淡水區,29歲,29,29,完全落入,1.0,女,1276
113,1,12,淡水區,30歲,30,30,完全落入,1.0,男,1377
113,1,12,淡水區,30歲,30,30,完全落入,1.0,女,1329
113,1,12,淡水區,31歲,31,31,完全落入,1.0,男,1369
113,1,12,淡水區,31歲,31,31,完全落入,1.0,女,1248
113,1,12,淡水區,32歲,32,32,完全落入,1.0,男,1383
113,1,12,淡水區,32歲,32,32,完全落入,1.0,女,1239
113,1,12,淡水區,33歲,33,33,完全落入,1.0,男,1375
113,1,12,淡水區,33歲,33,33,完全落入,1.0,女,1336
113,1,12,淡水區,34歲,34,34,完全落入,1.0,男,1259
113,1,12,淡水區,34歲,34,34,完全落入,1.0,女,1275
113,1,12,淡水區,35歲,35,35,完全落入,1.0,男,1360
113,1,12,淡水區,35歲,35,35,完全落入,1.0,女,1383
113,1,12,淡水區,36歲,36,36,不相關,0.0,男,1209
113,1,12,淡水區,36歲,36,36,不相關,0.0,女,1266
113,1,12,淡水區,37歲,37,37,不相關,0.0,男,1159
113,1,12,淡水區,37歲,37,37,不相關,0.0,女,1247
113,1,12,淡水區,38歲,38,38,不相關,0.0,男,1332
113,1,12,淡水區,38歲,38,38,不相關,0.0,女,1370
113,1,12,淡水區,39歲,39,39,不相關,0.0,男,1389
113,1,12,淡水區,39歲,39,39,不相關,0.0,女,1544
113,1,12,淡水區,40歲,40,40,不相關,0.0,男,1566
113,1,12,淡水區,40歲,40,40,不相關,0.0,女,1482
113,1,12,淡水區,41歲,41,41,不相關,0.0,男,1586
113,1,12,淡水區,41歲,41,41,不相關,0.0,女,1683
