民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
115,1,11,三峽區,0歲,0,0,不相關,0.0,男,249
115,1,11,三峽區,0歲,0,0,不相關,0.0,女,271
115,1,11,三峽區,1歲,1,1,不相關,0.0,男,349
115,1,11,三峽區,1歲,1,1,不相關,0.0,女,317
115,1,11,三峽區,2歲,2,2,不相關,0.0,男,339
115,1,11,三峽區,2歲,2,2,不相關,0.0,女,318
115,1,11,三峽區,3歲,3,3,不相關,0.0,男,362
115,1,11,三峽區,3歲,3,3,不相關,0.0,女,326
115,1,11,三峽區,4歲,4,4,不相關,0.0,男,405
115,1,11,三峽區,4歲,4,4,不相關,0.0,女,374
115,1,11,三峽區,5歲,5,5,不相關,0.0,男,465
115,1,11,三峽區,5歲,5,5,不相關,0.0,女,376
115,1,11,三峽區,6歲,6,6,不相關,0.0,男,498
115,1,11,三峽區,6歲,6,6,不相關,0.0,女,488
115,1,11,三峽區,7歲,7,7,不相關,0.0,男,543
115,1,11,三峽區,7歲,7,7,不相關,0.0,女,463
115,1,11,三峽區,8歲,8,8,不相關,0.0,男,540
115,1,11,三峽區,8歲,8,8,不相關,0.0,女,501
115,1,11,三峽區,9歲,9,9,不相關,0.0,男,599
115,1,11,三峽區,9歲,9,9,不相關,0.0,女,534
115,1,11,三峽區,10歲,10,10,不相關,0.0,男,626
115,1,11,三峽區,10歲,10,10,不相關,0.0,女,597
115,1,11,三峽區,11歲,11,11,不相關,0.0,男,570
115,1,11,三峽區,11歲,11,11,不相關,0.0,女,535
115,1,11,三峽區,12歲,12,12,不相關,0.0,男,547
115,1,11,三峽區,12歲,12,12,不相關,0.0,女,496
115,1,11,三峽區,13歲,13,13,不相關,0.0,男,672
115,1,11,三峽區,13歲,13,13,不相關,0.0,女,604
115,1,11,三峽區,14歲,14,14,不相關,0.0,男,569
115,1,11,三峽區,14歲,14,14,不相關,0.0,女,529
115,1,11,三峽區,15歲,15,15,不相關,0.0,男,528
115,1,11,三峽區,15歲,15,15,不相關,0.0,女,435
115,1,11,三峽區,16歲,16,16,不相關,0.0,男,535
115,1,11,三峽區,16歲,16,16,不相關,0.0,女,490
115,1,11,三峽區,17歲,17,17,不相關,0.0,男,593
115,1,11,三峽區,17歲,17,17,不相關,0.0,女,536
115,1,11,三峽區,18歲,18,18,完全落入,1.0,男,597
115,1,11,三峽區,18歲,18,18,完全落入,1.0,女,553
115,1,11,三峽區,19歲,19,19,完全落入,1.0,男,570
115,1,11,三峽區,19歲,19,19,完全落入,1.0,女,535
115,1,11,三峽區,20歲,20,20,完全落入,1.0,男,555
115,1,11,三峽區,20歲,20,20,完全落入,1.0,女,542
115,1,11,三峽區,21歲,21,21,完全落入,1.0,男,620
115,1,11,三峽區,21歲,21,21,完全落入,1.0,女,525
115,1,11,三峽區,22歲,22,22,完全落入,1.0,男,649
115,1,11,三峽區,22歲,22,22,完全落入,1.0,女,514
115,1,11,三峽區,23歲,23,23,完全落入,1.0,男,678
115,1,11,三峽區,23歲,23,23,完全落入,1.0,女,637
115,1,11,三峽區,24歲,24,24,完全落入,1.0,男,737
115,1,11,三峽區,24歲,24,24,完全落入,1.0,女,636
115,1,11,三峽區,25歲,25,25,完全落入,1.0,男,888
115,1,11,三峽區,25歲,25,25,完全落入,1.0,女,766
115,1,11,三峽區,26歲,26,26,完全落入,1.0,男,779
115,1,11,三峽區,26歲,26,26,完全落入,1.0,女,716
115,1,11,三峽區,27歲,27,27,完全落入,1.0,男,730
115,1,11,三峽區,27歲,27,27,完全落入,1.0,女,702
115,1,11,三峽區,28歲,28,28,完全落入,1.0,男,835
115,1,11,三峽區,28歲,28,28,完全落入,1.0,女,760
115,1,11,三峽區,29歲,29,29,完全落入,1.0,男,929
115,1,11,三峽區,29歲,29,29,完全落入,1.0,女,791
115,1,11,三峽區,30歲,30,30,完全落入,1.0,男,895
115,1,11,三峽區,30歲,30,30,完全落入,1.0,女,746
115,1,11,三峽區,31歲,31,31,完全落入,1.0,男,869
115,1,11,三峽區,31歲,31,31,完全落入,1.0,女,770
115,1,11,三峽區,32歲,32,32,完全落入,1.0,男,906
115,1,11,三峽區,32歲,32,32,完全落入,1.0,女,758
115,1,11,三峽區,33歲,33,33,完全落入,1.0,男,797
115,1,11,三峽區,33歲,33,33,完全落入,1.0,女,775
115,1,11,三峽區,34歲,34,34,完全落入,1.0,男,818
115,1,11,三峽區,34歲,34,34,完全落入,1.0,女,734
115,1,11,三峽區,35歲,35,35,完全落入,1.0,男,826
115,1,11,三峽區,35歲,35,35,完全落入,1.0,女,759
115,1,11,三峽區,36歲,36,36,不相關,0.0,男,790
115,1,11,三峽區,36歲,36,36,不相關,0.0,女,707
115,1,11,三峽區,37歲,37,37,不相關,0.0,男,843
115,1,11,三峽區,37歲,37,37,不相關,0.0,女,754
115,1,11,三峽區,38歲,38,38,不相關,0.0,男,748
115,1,11,三峽區,38歲,38,38,不相關,0.0,女,732
115,1,11,三峽區,39歲,39,39,不相關,0.0,男,730
115,1,11,三峽區,39歲,39,39,不相關,0.0,女,702
115,1,11,三峽區,40歲,40,40,不相關,0.0,男,769
115,1,11,三峽區,40歲,40,40,不相關,0.0,女,814
115,1,11,三峽區,41歲,41,41,不相關,0.0,男,861
115,1,11,三峽區,41歲,41,41,不相關,0.0,女,854
115,1,11,三峽區,42歲,42,42,不相關,0.0,男,853
