民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
115,1,17,林口區,0歲,0,0,不相關,0.0,男,383
115,1,17,林口區,0歲,0,0,不相關,0.0,女,387
115,1,17,林口區,1歲,1,1,不相關,0.0,男,561
115,1,17,林口區,1歲,1,1,不相關,0.0,女,527
115,1,17,林口區,2歲,2,2,不相關,0.0,男,605
115,1,17,林口區,2歲,2,2,不相關,0.0,女,562
115,1,17,林口區,3歲,3,3,不相關,0.0,男,654
115,1,17,林口區,3歲,3,3,不相關,0.0,女,598
115,1,17,林口區,4歲,4,4,不相關,0.0,男,734
115,1,17,林口區,4歲,4,4,不相關,0.0,女,719
115,1,17,林口區,5歲,5,5,不相關,0.0,男,762
115,1,17,林口區,5歲,5,5,不相關,0.0,女,729
115,1,17,林口區,6歲,6,6,不相關,0.0,男,839
115,1,17,林口區,6歲,6,6,不相關,0.0,女,768
115,1,17,林口區,7歲,7,7,不相關,0.0,男,828
115,1,17,林口區,7歲,7,7,不相關,0.0,女,804
115,1,17,林口區,8歲,8,8,不相關,0.0,男,863
115,1,17,林口區,8歲,8,8,不相關,0.0,女,829
115,1,17,林口區,9歲,9,9,不相關,0.0,男,1008
115,1,17,林口區,9歲,9,9,不相關,0.0,女,941
115,1,17,林口區,10歲,10,10,不相關,0.0,男,1088
115,1,17,林口區,10歲,10,10,不相關,0.0,女,930
115,1,17,林口區,11歲,11,11,不相關,0.0,男,1070
115,1,17,林口區,11歲,11,11,不相關,0.0,女,991
115,1,17,林口區,12歲,12,12,不相關,0.0,男,902
115,1,17,林口區,12歲,12,12,不相關,0.0,女,864
115,1,17,林口區,13歲,13,13,不相關,0.0,男,1046
115,1,17,林口區,13歲,13,13,不相關,0.0,女,965
115,1,17,林口區,14歲,14,14,不相關,0.0,男,869
115,1,17,林口區,14歲,14,14,不相關,0.0,女,835
115,1,17,林口區,15歲,15,15,不相關,0.0,男,699
115,1,17,林口區,15歲,15,15,不相關,0.0,女,610
115,1,17,林口區,16歲,16,16,不相關,0.0,男,719
115,1,17,林口區,16歲,16,16,不相關,0.0,女,716
115,1,17,林口區,17歲,17,17,不相關,0.0,男,691
115,1,17,林口區,17歲,17,17,不相關,0.0,女,654
115,1,17,林口區,18歲,18,18,完全落入,1.0,男,679
115,1,17,林口區,18歲,18,18,完全落入,1.0,女,623
115,1,17,林口區,19歲,19,19,完全落入,1.0,男,637
115,1,17,林口區,19歲,19,19,完全落入,1.0,女,612
115,1,17,林口區,20歲,20,20,完全落入,1.0,男,618
115,1,17,林口區,20歲,20,20,完全落入,1.0,女,517
115,1,17,林口區,21歲,21,21,完全落入,1.0,男,667
115,1,17,林口區,21歲,21,21,完全落入,1.0,女,592
115,1,17,林口區,22歲,22,22,完全落入,1.0,男,639
115,1,17,林口區,22歲,22,22,完全落入,1.0,女,546
115,1,17,林口區,23歲,23,23,完全落入,1.0,男,660
115,1,17,林口區,23歲,23,23,完全落入,1.0,女,601
115,1,17,林口區,24歲,24,24,完全落入,1.0,男,668
115,1,17,林口區,24歲,24,24,完全落入,1.0,女,596
115,1,17,林口區,25歲,25,25,完全落入,1.0,男,860
115,1,17,林口區,25歲,25,25,完全落入,1.0,女,777
115,1,17,林口區,26歲,26,26,完全落入,1.0,男,713
115,1,17,林口區,26歲,26,26,完全落入,1.0,女,703
115,1,17,林口區,27歲,27,27,完全落入,1.0,男,693
115,1,17,林口區,27歲,27,27,完全落入,1.0,女,713
115,1,17,林口區,28歲,28,28,完全落入,1.0,男,899
115,1,17,林口區,28歲,28,28,完全落入,1.0,女,774
115,1,17,林口區,29歲,29,29,完全落入,1.0,男,847
115,1,17,林口區,29歲,29,29,完全落入,1.0,女,801
115,1,17,林口區,30歲,30,30,完全落入,1.0,男,871
115,1,17,林口區,30歲,30,30,完全落入,1.0,女,869
115,1,17,林口區,31歲,31,31,完全落入,1.0,男,908
115,1,17,林口區,31歲,31,31,完全落入,1.0,女,929
115,1,17,林口區,32歲,32,32,完全落入,1.0,男,893
115,1,17,林口區,32歲,32,32,完全落入,1.0,女,881
115,1,17,林口區,33歲,33,33,完全落入,1.0,男,911
115,1,17,林口區,33歲,33,33,完全落入,1.0,女,934
115,1,17,林口區,34歲,34,34,完全落入,1.0,男,947
115,1,17,林口區,34歲,34,34,完全落入,1.0,女,930
115,1,17,林口區,35歲,35,35,完全落入,1.0,男,1026
115,1,17,林口區,35歲,35,35,完全落入,1.0,女,1073
115,1,17,林口區,36歲,36,36,不相關,0.0,男,969
115,1,17,林口區,36歲,36,36,不相關,0.0,女,1060
115,1,17,林口區,37歲,37,37,不相關,0.0,男,1033
115,1,17,林口區,37歲,37,37,不相關,0.0,女,1202
115,1,17,林口區,38歲,38,38,不相關,0.0,男,941
115,1,17,林口區,38歲,38,38,不相關,0.0,女,1053
115,1,17,林口區,39歲,39,39,不相關,0.0,男,928
115,1,17,林口區,39歲,39,39,不相關,0.0,女,980
115,1,17,林口區,40歲,40,40,不相關,0.0,男,989
115,1,17,林口區,40歲,40,40,不相關,0.0,女,1223
115,1,17,林口區,41歲,41,41,不相關,0.0,男,1134
115,1,17,林口區,41歲,41,41,不相關,0.0,女,1240
115,1,17,林口區,42歲,42,42,不相關,0.0,男,1147
115,1,17,林口區,42歲,42,42,不相關,0.0,女,1315
115,1,17,林口區,43歲,43,43,不相關,0.0,男,1173
115,1,17,林口區,43歲,43,43,不相關,0.0,女,1458
115,1,17,林口區,44歲,44,44,不相關,0.0,男,1236
115,1,17,林口區,44歲,44,44,不相關,0.0,女,1495
115,1,17,林口區,45歲,45,45,不相關,0.0,男,1285
