民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
106,,6,新店區,,,,無年齡維度,0.0,女,不識字,未分,1234
106,,6,新店區,,,,無年齡維度,0.0,女,二專,畢業,9048
106,,6,新店區,,,,無年齡維度,0.0,女,二專,肄業,1187
106,,6,新店區,,,,無年齡維度,0.0,女,五專前三年,肄業,707
106,,6,新店區,,,,無年齡維度,0.0,女,五專後二年,畢業,8063
106,,6,新店區,,,,無年齡維度,0.0,女,五專後二年,肄業,375
106,,6,新店區,,,,無年齡維度,0.0,女,博士,畢業,569
106,,6,新店區,,,,無年齡維度,0.0,女,博士,肄業,307
106,,6,新店區,,,,無年齡維度,0.0,女,國中,畢業,12745
106,,6,新店區,,,,無年齡維度,0.0,女,國中,肄業,1443
106,,6,新店區,,,,無年齡維度,0.0,女,國中(職業),畢業,165
106,,6,新店區,,,,無年齡維度,0.0,女,國中(職業),肄業,24
106,,6,新店區,,,,無年齡維度,0.0,女,國小,畢業,11446
106,,6,新店區,,,,無年齡維度,0.0,女,國小,肄業,1161
106,,6,新店區,,,,無年齡維度,0.0,女,大學,畢業,35080
106,,6,新店區,,,,無年齡維度,0.0,女,大學,肄業,8791
106,,6,新店區,,,,無年齡維度,0.0,女,碩士,畢業,7323
106,,6,新店區,,,,無年齡維度,0.0,女,碩士,肄業,2033
106,,6,新店區,,,,無年齡維度,0.0,女,自學,未分,410
106,,6,新店區,,,,無年齡維度,0.0,女,高中,畢業,11134
106,,6,新店區,,,,無年齡維度,0.0,女,高中,肄業,3746
106,,6,新店區,,,,無年齡維度,0.0,女,高職,畢業,21977
106,,6,新店區,,,,無年齡維度,0.0,女,高職,肄業,3189
106,,6,新店區,,,,無年齡維度,0.0,男,不識字,未分,157
106,,6,新店區,,,,無年齡維度,0.0,男,二專,畢業,7476
106,,6,新店區,,,,無年齡維度,0.0,男,二專,肄業,1582
106,,6,新店區,,,,無年齡維度,0.0,男,五專前三年,肄業,281
106,,6,新店區,,,,無年齡維度,0.0,男,五專後二年,畢業,8642
106,,6,新店區,,,,無年齡維度,0.0,男,五專後二年,肄業,441
106,,6,新店區,,,,無年齡維度,0.0,男,博士,畢業,1454
106,,6,新店區,,,,無年齡維度,0.0,男,博士,肄業,546
106,,6,新店區,,,,無年齡維度,0.0,男,國中,畢業,10239
106,,6,新店區,,,,無年齡維度,0.0,男,國中,肄業,1327
106,,6,新店區,,,,無年齡維度,0.0,男,國中(職業),畢業,94
106,,6,新店區,,,,無年齡維度,0.0,男,國中(職業),肄業,22
106,,6,新店區,,,,無年齡維度,0.0,男,國小,畢業,5522
106,,6,新店區,,,,無年齡維度,0.0,男,國小,肄業,505
106,,6,新店區,,,,無年齡維度,0.0,男,大學,畢業,31961
106,,6,新店區,,,,無年齡維度,0.0,男,大學,肄業,9673
106,,6,新店區,,,,無年齡維度,0.0,男,碩士,畢業,10828
106,,6,新店區,,,,無年齡維度,0.0,男,碩士,肄業,2491
106,,6,新店區,,,,無年齡維度,0.0,男,自學,未分,111
106,,6,新店區,,,,無年齡維度,0.0,男,高中,畢業,9760
106,,6,新店區,,,,無年齡維度,0.0,男,高中,肄業,3760
106,,6,新店區,,,,無年齡維度,0.0,男,高職,畢業,18401
106,,6,新店區,,,,無年齡維度,0.0,男,高職,肄業,4734
