民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
106,,11,三峽區,,,,無年齡維度,0.0,女,不識字,未分,1078
106,,11,三峽區,,,,無年齡維度,0.0,女,二專,畢業,6514
106,,11,三峽區,,,,無年齡維度,0.0,女,二專,肄業,905
106,,11,三峽區,,,,無年齡維度,0.0,女,五專前三年,肄業,552
106,,11,三峽區,,,,無年齡維度,0.0,女,五專後二年,畢業,4691
106,,11,三峽區,,,,無年齡維度,0.0,女,五專後二年,肄業,225
106,,11,三峽區,,,,無年齡維度,0.0,女,博士,畢業,218
106,,11,三峽區,,,,無年齡維度,0.0,女,博士,肄業,111
106,,11,三峽區,,,,無年齡維度,0.0,女,國中,畢業,9719
106,,11,三峽區,,,,無年齡維度,0.0,女,國中,肄業,1029
106,,11,三峽區,,,,無年齡維度,0.0,女,國中(職業),畢業,97
106,,11,三峽區,,,,無年齡維度,0.0,女,國中(職業),肄業,16
106,,11,三峽區,,,,無年齡維度,0.0,女,國小,畢業,8885
106,,11,三峽區,,,,無年齡維度,0.0,女,國小,肄業,934
106,,11,三峽區,,,,無年齡維度,0.0,女,大學,畢業,19912
106,,11,三峽區,,,,無年齡維度,0.0,女,大學,肄業,5858
106,,11,三峽區,,,,無年齡維度,0.0,女,碩士,畢業,3209
106,,11,三峽區,,,,無年齡維度,0.0,女,碩士,肄業,945
106,,11,三峽區,,,,無年齡維度,0.0,女,自學,未分,193
106,,11,三峽區,,,,無年齡維度,0.0,女,高中,畢業,6017
106,,11,三峽區,,,,無年齡維度,0.0,女,高中,肄業,2178
106,,11,三峽區,,,,無年齡維度,0.0,女,高職,畢業,15857
106,,11,三峽區,,,,無年齡維度,0.0,女,高職,肄業,2942
106,,11,三峽區,,,,無年齡維度,0.0,男,不識字,未分,115
106,,11,三峽區,,,,無年齡維度,0.0,男,二專,畢業,5520
106,,11,三峽區,,,,無年齡維度,0.0,男,二專,肄業,1235
106,,11,三峽區,,,,無年齡維度,0.0,男,五專前三年,肄業,264
106,,11,三峽區,,,,無年齡維度,0.0,男,五專後二年,畢業,4993
106,,11,三峽區,,,,無年齡維度,0.0,男,五專後二年,肄業,323
106,,11,三峽區,,,,無年齡維度,0.0,男,博士,畢業,517
106,,11,三峽區,,,,無年齡維度,0.0,男,博士,肄業,247
106,,11,三峽區,,,,無年齡維度,0.0,男,國中,畢業,8931
106,,11,三峽區,,,,無年齡維度,0.0,男,國中,肄業,991
106,,11,三峽區,,,,無年齡維度,0.0,男,國中(職業),畢業,59
106,,11,三峽區,,,,無年齡維度,0.0,男,國中(職業),肄業,27
106,,11,三峽區,,,,無年齡維度,0.0,男,國小,畢業,4779
106,,11,三峽區,,,,無年齡維度,0.0,男,國小,肄業,418
106,,11,三峽區,,,,無年齡維度,0.0,男,大學,畢業,18173
106,,11,三峽區,,,,無年齡維度,0.0,男,大學,肄業,6630
106,,11,三峽區,,,,無年齡維度,0.0,男,碩士,畢業,5431
106,,11,三峽區,,,,無年齡維度,0.0,男,碩士,肄業,1288
106,,11,三峽區,,,,無年齡維度,0.0,男,自學,未分,56
106,,11,三峽區,,,,無年齡維度,0.0,男,高中,畢業,5627
106,,11,三峽區,,,,無年齡維度,0.0,男,高中,肄業,2401
106,,11,三峽區,,,,無年齡維度,0.0,男,高職,畢業,14034
106,,11,三峽區,,,,無年齡維度,0.0,男,高職,肄業,4404
