民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,3,中和區,,,,無年齡維度,0.0,女,不識字,未分,1821
108,,3,中和區,,,,無年齡維度,0.0,女,二專,畢業,12855
108,,3,中和區,,,,無年齡維度,0.0,女,二專,肄業,1796
108,,3,中和區,,,,無年齡維度,0.0,女,五專前三年,肄業,1060
108,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,畢業,8722
108,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,肄業,462
108,,3,中和區,,,,無年齡維度,0.0,女,博士,畢業,398
108,,3,中和區,,,,無年齡維度,0.0,女,博士,肄業,254
108,,3,中和區,,,,無年齡維度,0.0,女,國中,畢業,20010
108,,3,中和區,,,,無年齡維度,0.0,女,國中,肄業,2134
108,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),畢業,567
108,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),肄業,71
108,,3,中和區,,,,無年齡維度,0.0,女,國小,畢業,18875
108,,3,中和區,,,,無年齡維度,0.0,女,國小,肄業,1864
108,,3,中和區,,,,無年齡維度,0.0,女,大學,畢業,45076
108,,3,中和區,,,,無年齡維度,0.0,女,大學,肄業,11023
108,,3,中和區,,,,無年齡維度,0.0,女,碩士,畢業,8236
108,,3,中和區,,,,無年齡維度,0.0,女,碩士,肄業,2319
108,,3,中和區,,,,無年齡維度,0.0,女,自學,未分,423
108,,3,中和區,,,,無年齡維度,0.0,女,高中,畢業,13817
108,,3,中和區,,,,無年齡維度,0.0,女,高中,肄業,4618
108,,3,中和區,,,,無年齡維度,0.0,女,高職,畢業,30750
108,,3,中和區,,,,無年齡維度,0.0,女,高職,肄業,4865
108,,3,中和區,,,,無年齡維度,0.0,男,不識字,未分,189
108,,3,中和區,,,,無年齡維度,0.0,男,二專,畢業,11286
108,,3,中和區,,,,無年齡維度,0.0,男,二專,肄業,2461
108,,3,中和區,,,,無年齡維度,0.0,男,五專前三年,肄業,777
108,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,畢業,9890
108,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,肄業,686
108,,3,中和區,,,,無年齡維度,0.0,男,博士,畢業,1048
108,,3,中和區,,,,無年齡維度,0.0,男,博士,肄業,568
108,,3,中和區,,,,無年齡維度,0.0,男,國中,畢業,15683
108,,3,中和區,,,,無年齡維度,0.0,男,國中,肄業,2024
108,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),畢業,399
108,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),肄業,80
108,,3,中和區,,,,無年齡維度,0.0,男,國小,畢業,9403
108,,3,中和區,,,,無年齡維度,0.0,男,國小,肄業,710
108,,3,中和區,,,,無年齡維度,0.0,男,大學,畢業,40799
108,,3,中和區,,,,無年齡維度,0.0,男,大學,肄業,12498
108,,3,中和區,,,,無年齡維度,0.0,男,碩士,畢業,12739
108,,3,中和區,,,,無年齡維度,0.0,男,碩士,肄業,3062
108,,3,中和區,,,,無年齡維度,0.0,男,自學,未分,122
108,,3,中和區,,,,無年齡維度,0.0,男,高中,畢業,13081
108,,3,中和區,,,,無年齡維度,0.0,男,高中,肄業,5228
108,,3,中和區,,,,無年齡維度,0.0,男,高職,畢業,27072
108,,3,中和區,,,,無年齡維度,0.0,男,高職,肄業,7227
