民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,9,樹林區,,,,無年齡維度,0.0,女,不識字,未分,679
108,,9,樹林區,,,,無年齡維度,0.0,女,二專,畢業,2870
108,,9,樹林區,,,,無年齡維度,0.0,女,二專,肄業,445
108,,9,樹林區,,,,無年齡維度,0.0,女,五專前三年,肄業,365
108,,9,樹林區,,,,無年齡維度,0.0,女,五專後二年,畢業,1864
108,,9,樹林區,,,,無年齡維度,0.0,女,五專後二年,肄業,85
108,,9,樹林區,,,,無年齡維度,0.0,女,博士,畢業,113
108,,9,樹林區,,,,無年齡維度,0.0,女,博士,肄業,58
108,,9,樹林區,,,,無年齡維度,0.0,女,國中,畢業,6496
108,,9,樹林區,,,,無年齡維度,0.0,女,國中,肄業,621
108,,9,樹林區,,,,無年齡維度,0.0,女,國中(職業),畢業,48
108,,9,樹林區,,,,無年齡維度,0.0,女,國中(職業),肄業,6
108,,9,樹林區,,,,無年齡維度,0.0,女,國小,畢業,4546
108,,9,樹林區,,,,無年齡維度,0.0,女,國小,肄業,717
108,,9,樹林區,,,,無年齡維度,0.0,女,大學,畢業,10463
108,,9,樹林區,,,,無年齡維度,0.0,女,大學,肄業,3214
108,,9,樹林區,,,,無年齡維度,0.0,女,碩士,畢業,1755
108,,9,樹林區,,,,無年齡維度,0.0,女,碩士,肄業,526
108,,9,樹林區,,,,無年齡維度,0.0,女,自學,未分,99
108,,9,樹林區,,,,無年齡維度,0.0,女,高中,畢業,2978
108,,9,樹林區,,,,無年齡維度,0.0,女,高中,肄業,1353
108,,9,樹林區,,,,無年齡維度,0.0,女,高職,畢業,8997
108,,9,樹林區,,,,無年齡維度,0.0,女,高職,肄業,1868
108,,9,樹林區,,,,無年齡維度,0.0,男,不識字,未分,84
108,,9,樹林區,,,,無年齡維度,0.0,男,二專,畢業,2413
108,,9,樹林區,,,,無年齡維度,0.0,男,二專,肄業,557
108,,9,樹林區,,,,無年齡維度,0.0,男,五專前三年,肄業,230
108,,9,樹林區,,,,無年齡維度,0.0,男,五專後二年,畢業,1987
108,,9,樹林區,,,,無年齡維度,0.0,男,五專後二年,肄業,158
108,,9,樹林區,,,,無年齡維度,0.0,男,博士,畢業,275
108,,9,樹林區,,,,無年齡維度,0.0,男,博士,肄業,130
108,,9,樹林區,,,,無年齡維度,0.0,男,國中,畢業,7520
108,,9,樹林區,,,,無年齡維度,0.0,男,國中,肄業,758
108,,9,樹林區,,,,無年齡維度,0.0,男,國中(職業),畢業,60
108,,9,樹林區,,,,無年齡維度,0.0,男,國中(職業),肄業,12
108,,9,樹林區,,,,無年齡維度,0.0,男,國小,畢業,3132
108,,9,樹林區,,,,無年齡維度,0.0,男,國小,肄業,369
108,,9,樹林區,,,,無年齡維度,0.0,男,大學,畢業,8704
108,,9,樹林區,,,,無年齡維度,0.0,男,大學,肄業,3714
108,,9,樹林區,,,,無年齡維度,0.0,男,碩士,畢業,2616
108,,9,樹林區,,,,無年齡維度,0.0,男,碩士,肄業,666
108,,9,樹林區,,,,無年齡維度,0.0,男,自學,未分,42
108,,9,樹林區,,,,無年齡維度,0.0,男,高中,畢業,3037
108,,9,樹林區,,,,無年齡維度,0.0,男,高中,肄業,1451
108,,9,樹林區,,,,無年齡維度,0.0,男,高職,畢業,8720
108,,9,樹林區,,,,無年齡維度,0.0,男,高職,肄業,2769
