民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,16,泰山區,,,,無年齡維度,0.0,女,不識字,未分,265
108,,16,泰山區,,,,無年齡維度,0.0,女,二專,畢業,2424
108,,16,泰山區,,,,無年齡維度,0.0,女,二專,肄業,329
108,,16,泰山區,,,,無年齡維度,0.0,女,五專前三年,肄業,193
108,,16,泰山區,,,,無年齡維度,0.0,女,五專後二年,畢業,1257
108,,16,泰山區,,,,無年齡維度,0.0,女,五專後二年,肄業,65
108,,16,泰山區,,,,無年齡維度,0.0,女,博士,畢業,44
108,,16,泰山區,,,,無年齡維度,0.0,女,博士,肄業,40
108,,16,泰山區,,,,無年齡維度,0.0,女,國中,畢業,4448
108,,16,泰山區,,,,無年齡維度,0.0,女,國中,肄業,421
108,,16,泰山區,,,,無年齡維度,0.0,女,國中(職業),畢業,43
108,,16,泰山區,,,,無年齡維度,0.0,女,國中(職業),肄業,8
108,,16,泰山區,,,,無年齡維度,0.0,女,國小,畢業,3500
108,,16,泰山區,,,,無年齡維度,0.0,女,國小,肄業,299
108,,16,泰山區,,,,無年齡維度,0.0,女,大學,畢業,7240
108,,16,泰山區,,,,無年齡維度,0.0,女,大學,肄業,2177
108,,16,泰山區,,,,無年齡維度,0.0,女,碩士,畢業,1072
108,,16,泰山區,,,,無年齡維度,0.0,女,碩士,肄業,349
108,,16,泰山區,,,,無年齡維度,0.0,女,自學,未分,70
108,,16,泰山區,,,,無年齡維度,0.0,女,高中,畢業,2013
108,,16,泰山區,,,,無年齡維度,0.0,女,高中,肄業,988
108,,16,泰山區,,,,無年齡維度,0.0,女,高職,畢業,6046
108,,16,泰山區,,,,無年齡維度,0.0,女,高職,肄業,1104
108,,16,泰山區,,,,無年齡維度,0.0,男,不識字,未分,26
108,,16,泰山區,,,,無年齡維度,0.0,男,二專,畢業,1971
108,,16,泰山區,,,,無年齡維度,0.0,男,二專,肄業,469
108,,16,泰山區,,,,無年齡維度,0.0,男,五專前三年,肄業,202
108,,16,泰山區,,,,無年齡維度,0.0,男,五專後二年,畢業,1546
108,,16,泰山區,,,,無年齡維度,0.0,男,五專後二年,肄業,132
108,,16,泰山區,,,,無年齡維度,0.0,男,博士,畢業,131
108,,16,泰山區,,,,無年齡維度,0.0,男,博士,肄業,87
108,,16,泰山區,,,,無年齡維度,0.0,男,國中,畢業,3746
108,,16,泰山區,,,,無年齡維度,0.0,男,國中,肄業,447
108,,16,泰山區,,,,無年齡維度,0.0,男,國中(職業),畢業,71
108,,16,泰山區,,,,無年齡維度,0.0,男,國中(職業),肄業,16
108,,16,泰山區,,,,無年齡維度,0.0,男,國小,畢業,1934
108,,16,泰山區,,,,無年齡維度,0.0,男,國小,肄業,107
108,,16,泰山區,,,,無年齡維度,0.0,男,大學,畢業,6414
108,,16,泰山區,,,,無年齡維度,0.0,男,大學,肄業,2412
108,,16,泰山區,,,,無年齡維度,0.0,男,碩士,畢業,1774
108,,16,泰山區,,,,無年齡維度,0.0,男,碩士,肄業,451
108,,16,泰山區,,,,無年齡維度,0.0,男,自學,未分,31
108,,16,泰山區,,,,無年齡維度,0.0,男,高中,畢業,2454
108,,16,泰山區,,,,無年齡維度,0.0,男,高中,肄業,1207
108,,16,泰山區,,,,無年齡維度,0.0,男,高職,畢業,5831
108,,16,泰山區,,,,無年齡維度,0.0,男,高職,肄業,1533
