民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
109,,10,鶯歌區,,,,無年齡維度,0.0,女,不識字,未分,847
109,,10,鶯歌區,,,,無年齡維度,0.0,女,二專,畢業,5438
109,,10,鶯歌區,,,,無年齡維度,0.0,女,二專,肄業,730
109,,10,鶯歌區,,,,無年齡維度,0.0,女,五專前三年,肄業,586
109,,10,鶯歌區,,,,無年齡維度,0.0,女,五專後二年,畢業,4353
109,,10,鶯歌區,,,,無年齡維度,0.0,女,五專後二年,肄業,231
109,,10,鶯歌區,,,,無年齡維度,0.0,女,博士,畢業,387
109,,10,鶯歌區,,,,無年齡維度,0.0,女,博士,肄業,189
109,,10,鶯歌區,,,,無年齡維度,0.0,女,國中,畢業,8263
109,,10,鶯歌區,,,,無年齡維度,0.0,女,國中,肄業,816
109,,10,鶯歌區,,,,無年齡維度,0.0,女,國中(職業),畢業,69
109,,10,鶯歌區,,,,無年齡維度,0.0,女,國中(職業),肄業,14
109,,10,鶯歌區,,,,無年齡維度,0.0,女,國小,畢業,6481
109,,10,鶯歌區,,,,無年齡維度,0.0,女,國小,肄業,793
109,,10,鶯歌區,,,,無年齡維度,0.0,女,大學,畢業,22467
109,,10,鶯歌區,,,,無年齡維度,0.0,女,大學,肄業,4968
109,,10,鶯歌區,,,,無年齡維度,0.0,女,碩士,畢業,4564
109,,10,鶯歌區,,,,無年齡維度,0.0,女,碩士,肄業,1196
109,,10,鶯歌區,,,,無年齡維度,0.0,女,自學,未分,142
109,,10,鶯歌區,,,,無年齡維度,0.0,女,高中,畢業,5668
109,,10,鶯歌區,,,,無年齡維度,0.0,女,高中,肄業,2215
109,,10,鶯歌區,,,,無年齡維度,0.0,女,高職,畢業,13182
109,,10,鶯歌區,,,,無年齡維度,0.0,女,高職,肄業,2123
109,,10,鶯歌區,,,,無年齡維度,0.0,男,不識字,未分,178
109,,10,鶯歌區,,,,無年齡維度,0.0,男,二專,畢業,4196
109,,10,鶯歌區,,,,無年齡維度,0.0,男,二專,肄業,893
109,,10,鶯歌區,,,,無年齡維度,0.0,男,五專前三年,肄業,637
109,,10,鶯歌區,,,,無年齡維度,0.0,男,五專後二年,畢業,4324
109,,10,鶯歌區,,,,無年齡維度,0.0,男,五專後二年,肄業,324
109,,10,鶯歌區,,,,無年齡維度,0.0,男,博士,畢業,945
109,,10,鶯歌區,,,,無年齡維度,0.0,男,博士,肄業,319
109,,10,鶯歌區,,,,無年齡維度,0.0,男,國中,畢業,7747
109,,10,鶯歌區,,,,無年齡維度,0.0,男,國中,肄業,933
109,,10,鶯歌區,,,,無年齡維度,0.0,男,國中(職業),畢業,29
109,,10,鶯歌區,,,,無年齡維度,0.0,男,國中(職業),肄業,10
109,,10,鶯歌區,,,,無年齡維度,0.0,男,國小,畢業,3469
109,,10,鶯歌區,,,,無年齡維度,0.0,男,國小,肄業,401
109,,10,鶯歌區,,,,無年齡維度,0.0,男,大學,畢業,18834
109,,10,鶯歌區,,,,無年齡維度,0.0,男,大學,肄業,5584
109,,10,鶯歌區,,,,無年齡維度,0.0,男,碩士,畢業,6322
109,,10,鶯歌區,,,,無年齡維度,0.0,男,碩士,肄業,1450
109,,10,鶯歌區,,,,無年齡維度,0.0,男,自學,未分,56
109,,10,鶯歌區,,,,無年齡維度,0.0,男,高中,畢業,4770
109,,10,鶯歌區,,,,無年齡維度,0.0,男,高中,肄業,2399
109,,10,鶯歌區,,,,無年齡維度,0.0,男,高職,畢業,9889
109,,10,鶯歌區,,,,無年齡維度,0.0,男,高職,肄業,3043
