民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
109,,15,五股區,,,,無年齡維度,0.0,女,不識字,未分,415
109,,15,五股區,,,,無年齡維度,0.0,女,二專,畢業,2479
109,,15,五股區,,,,無年齡維度,0.0,女,二專,肄業,414
109,,15,五股區,,,,無年齡維度,0.0,女,五專前三年,肄業,250
109,,15,五股區,,,,無年齡維度,0.0,女,五專後二年,畢業,1184
109,,15,五股區,,,,無年齡維度,0.0,女,五專後二年,肄業,69
109,,15,五股區,,,,無年齡維度,0.0,女,博士,畢業,36
109,,15,五股區,,,,無年齡維度,0.0,女,博士,肄業,26
109,,15,五股區,,,,無年齡維度,0.0,女,國中,畢業,4932
109,,15,五股區,,,,無年齡維度,0.0,女,國中,肄業,476
109,,15,五股區,,,,無年齡維度,0.0,女,國中(職業),畢業,34
109,,15,五股區,,,,無年齡維度,0.0,女,國中(職業),肄業,6
109,,15,五股區,,,,無年齡維度,0.0,女,國小,畢業,4343
109,,15,五股區,,,,無年齡維度,0.0,女,國小,肄業,571
109,,15,五股區,,,,無年齡維度,0.0,女,大學,畢業,8083
109,,15,五股區,,,,無年齡維度,0.0,女,大學,肄業,2574
109,,15,五股區,,,,無年齡維度,0.0,女,碩士,畢業,894
109,,15,五股區,,,,無年齡維度,0.0,女,碩士,肄業,356
109,,15,五股區,,,,無年齡維度,0.0,女,自學,未分,85
109,,15,五股區,,,,無年齡維度,0.0,女,高中,畢業,2308
109,,15,五股區,,,,無年齡維度,0.0,女,高中,肄業,931
109,,15,五股區,,,,無年齡維度,0.0,女,高職,畢業,7521
109,,15,五股區,,,,無年齡維度,0.0,女,高職,肄業,1480
109,,15,五股區,,,,無年齡維度,0.0,男,不識字,未分,42
109,,15,五股區,,,,無年齡維度,0.0,男,二專,畢業,2277
109,,15,五股區,,,,無年齡維度,0.0,男,二專,肄業,513
109,,15,五股區,,,,無年齡維度,0.0,男,五專前三年,肄業,141
109,,15,五股區,,,,無年齡維度,0.0,男,五專後二年,畢業,1530
109,,15,五股區,,,,無年齡維度,0.0,男,五專後二年,肄業,122
109,,15,五股區,,,,無年齡維度,0.0,男,博士,畢業,87
109,,15,五股區,,,,無年齡維度,0.0,男,博士,肄業,62
109,,15,五股區,,,,無年齡維度,0.0,男,國中,畢業,5248
109,,15,五股區,,,,無年齡維度,0.0,男,國中,肄業,636
109,,15,五股區,,,,無年齡維度,0.0,男,國中(職業),畢業,36
109,,15,五股區,,,,無年齡維度,0.0,男,國中(職業),肄業,11
109,,15,五股區,,,,無年齡維度,0.0,男,國小,畢業,2610
109,,15,五股區,,,,無年齡維度,0.0,男,國小,肄業,232
109,,15,五股區,,,,無年齡維度,0.0,男,大學,畢業,7352
109,,15,五股區,,,,無年齡維度,0.0,男,大學,肄業,3003
109,,15,五股區,,,,無年齡維度,0.0,男,碩士,畢業,1513
109,,15,五股區,,,,無年齡維度,0.0,男,碩士,肄業,468
109,,15,五股區,,,,無年齡維度,0.0,男,自學,未分,20
109,,15,五股區,,,,無年齡維度,0.0,男,高中,畢業,2536
109,,15,五股區,,,,無年齡維度,0.0,男,高中,肄業,1153
109,,15,五股區,,,,無年齡維度,0.0,男,高職,畢業,7322
109,,15,五股區,,,,無年齡維度,0.0,男,高職,肄業,2364
