民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
110,,24,金山區,,,,無年齡維度,0.0,女,不識字,未分,174
110,,24,金山區,,,,無年齡維度,0.0,女,二專,畢業,63
110,,24,金山區,,,,無年齡維度,0.0,女,二專,肄業,11
110,,24,金山區,,,,無年齡維度,0.0,女,五專前三年,肄業,24
110,,24,金山區,,,,無年齡維度,0.0,女,五專後二年,畢業,40
110,,24,金山區,,,,無年齡維度,0.0,女,五專後二年,肄業,5
110,,24,金山區,,,,無年齡維度,0.0,女,博士,畢業,0
110,,24,金山區,,,,無年齡維度,0.0,女,博士,肄業,0
110,,24,金山區,,,,無年齡維度,0.0,女,國中,畢業,297
110,,24,金山區,,,,無年齡維度,0.0,女,國中,肄業,28
110,,24,金山區,,,,無年齡維度,0.0,女,國中(職業),畢業,1
110,,24,金山區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
110,,24,金山區,,,,無年齡維度,0.0,女,國小,畢業,373
110,,24,金山區,,,,無年齡維度,0.0,女,國小,肄業,97
110,,24,金山區,,,,無年齡維度,0.0,女,大學,畢業,181
110,,24,金山區,,,,無年齡維度,0.0,女,大學,肄業,61
110,,24,金山區,,,,無年齡維度,0.0,女,碩士,畢業,20
110,,24,金山區,,,,無年齡維度,0.0,女,碩士,肄業,11
110,,24,金山區,,,,無年齡維度,0.0,女,自學,未分,5
110,,24,金山區,,,,無年齡維度,0.0,女,高中,畢業,78
110,,24,金山區,,,,無年齡維度,0.0,女,高中,肄業,38
110,,24,金山區,,,,無年齡維度,0.0,女,高職,畢業,243
110,,24,金山區,,,,無年齡維度,0.0,女,高職,肄業,68
110,,24,金山區,,,,無年齡維度,0.0,男,不識字,未分,19
110,,24,金山區,,,,無年齡維度,0.0,男,二專,畢業,96
110,,24,金山區,,,,無年齡維度,0.0,男,二專,肄業,23
110,,24,金山區,,,,無年齡維度,0.0,男,五專前三年,肄業,6
110,,24,金山區,,,,無年齡維度,0.0,男,五專後二年,畢業,79
110,,24,金山區,,,,無年齡維度,0.0,男,五專後二年,肄業,6
110,,24,金山區,,,,無年齡維度,0.0,男,博士,畢業,0
110,,24,金山區,,,,無年齡維度,0.0,男,博士,肄業,3
110,,24,金山區,,,,無年齡維度,0.0,男,國中,畢業,629
110,,24,金山區,,,,無年齡維度,0.0,男,國中,肄業,43
110,,24,金山區,,,,無年齡維度,0.0,男,國中(職業),畢業,0
110,,24,金山區,,,,無年齡維度,0.0,男,國中(職業),肄業,0
110,,24,金山區,,,,無年齡維度,0.0,男,國小,畢業,239
110,,24,金山區,,,,無年齡維度,0.0,男,國小,肄業,44
110,,24,金山區,,,,無年齡維度,0.0,男,大學,畢業,183
110,,24,金山區,,,,無年齡維度,0.0,男,大學,肄業,61
110,,24,金山區,,,,無年齡維度,0.0,男,碩士,畢業,31
110,,24,金山區,,,,無年齡維度,0.0,男,碩士,肄業,8
110,,24,金山區,,,,無年齡維度,0.0,男,自學,未分,3
110,,24,金山區,,,,無年齡維度,0.0,男,高中,畢業,163
110,,24,金山區,,,,無年齡維度,0.0,男,高中,肄業,54
110,,24,金山區,,,,無年齡維度,0.0,男,高職,畢業,477
110,,24,金山區,,,,無年齡維度,0.0,男,高職,肄業,156
