民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
111,,5,新莊區,,,,無年齡維度,0.0,女,不識字,未分,1263
111,,5,新莊區,,,,無年齡維度,0.0,女,二專,畢業,12531
111,,5,新莊區,,,,無年齡維度,0.0,女,二專,肄業,1596
111,,5,新莊區,,,,無年齡維度,0.0,女,五專前三年,肄業,997
111,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,畢業,6776
111,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,肄業,340
111,,5,新莊區,,,,無年齡維度,0.0,女,博士,畢業,316
111,,5,新莊區,,,,無年齡維度,0.0,女,博士,肄業,196
111,,5,新莊區,,,,無年齡維度,0.0,女,國中,畢業,23094
111,,5,新莊區,,,,無年齡維度,0.0,女,國中,肄業,2639
111,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),畢業,183
111,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),肄業,23
111,,5,新莊區,,,,無年齡維度,0.0,女,國小,畢業,15481
111,,5,新莊區,,,,無年齡維度,0.0,女,國小,肄業,1636
111,,5,新莊區,,,,無年齡維度,0.0,女,大學,畢業,46645
111,,5,新莊區,,,,無年齡維度,0.0,女,大學,肄業,11440
111,,5,新莊區,,,,無年齡維度,0.0,女,碩士,畢業,7623
111,,5,新莊區,,,,無年齡維度,0.0,女,碩士,肄業,2359
111,,5,新莊區,,,,無年齡維度,0.0,女,自學,未分,247
111,,5,新莊區,,,,無年齡維度,0.0,女,高中,畢業,10235
111,,5,新莊區,,,,無年齡維度,0.0,女,高中,肄業,4902
111,,5,新莊區,,,,無年齡維度,0.0,女,高職,畢業,32696
111,,5,新莊區,,,,無年齡維度,0.0,女,高職,肄業,5527
111,,5,新莊區,,,,無年齡維度,0.0,男,不識字,未分,107
111,,5,新莊區,,,,無年齡維度,0.0,男,二專,畢業,10016
111,,5,新莊區,,,,無年齡維度,0.0,男,二專,肄業,2161
111,,5,新莊區,,,,無年齡維度,0.0,男,五專前三年,肄業,806
111,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,畢業,7591
111,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,肄業,593
111,,5,新莊區,,,,無年齡維度,0.0,男,博士,畢業,736
111,,5,新莊區,,,,無年齡維度,0.0,男,博士,肄業,421
111,,5,新莊區,,,,無年齡維度,0.0,男,國中,畢業,18358
111,,5,新莊區,,,,無年齡維度,0.0,男,國中,肄業,2492
111,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),畢業,192
111,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),肄業,57
111,,5,新莊區,,,,無年齡維度,0.0,男,國小,畢業,9108
111,,5,新莊區,,,,無年齡維度,0.0,男,國小,肄業,560
111,,5,新莊區,,,,無年齡維度,0.0,男,大學,畢業,39772
111,,5,新莊區,,,,無年齡維度,0.0,男,大學,肄業,13707
111,,5,新莊區,,,,無年齡維度,0.0,男,碩士,畢業,11957
111,,5,新莊區,,,,無年齡維度,0.0,男,碩士,肄業,3032
111,,5,新莊區,,,,無年齡維度,0.0,男,自學,未分,65
111,,5,新莊區,,,,無年齡維度,0.0,男,高中,畢業,10608
111,,5,新莊區,,,,無年齡維度,0.0,男,高中,肄業,5548
111,,5,新莊區,,,,無年齡維度,0.0,男,高職,畢業,29508
111,,5,新莊區,,,,無年齡維度,0.0,男,高職,肄業,7822
