民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
111,,23,石門區,,,,無年齡維度,0.0,女,不識字,未分,258
111,,23,石門區,,,,無年齡維度,0.0,女,二專,畢業,1123
111,,23,石門區,,,,無年齡維度,0.0,女,二專,肄業,230
111,,23,石門區,,,,無年齡維度,0.0,女,五專前三年,肄業,176
111,,23,石門區,,,,無年齡維度,0.0,女,五專後二年,畢業,880
111,,23,石門區,,,,無年齡維度,0.0,女,五專後二年,肄業,55
111,,23,石門區,,,,無年齡維度,0.0,女,博士,畢業,22
111,,23,石門區,,,,無年齡維度,0.0,女,博士,肄業,14
111,,23,石門區,,,,無年齡維度,0.0,女,國中,畢業,2254
111,,23,石門區,,,,無年齡維度,0.0,女,國中,肄業,205
111,,23,石門區,,,,無年齡維度,0.0,女,國中(職業),畢業,4
111,,23,石門區,,,,無年齡維度,0.0,女,國中(職業),肄業,3
111,,23,石門區,,,,無年齡維度,0.0,女,國小,畢業,1525
111,,23,石門區,,,,無年齡維度,0.0,女,國小,肄業,246
111,,23,石門區,,,,無年齡維度,0.0,女,大學,畢業,3867
111,,23,石門區,,,,無年齡維度,0.0,女,大學,肄業,1113
111,,23,石門區,,,,無年齡維度,0.0,女,碩士,畢業,500
111,,23,石門區,,,,無年齡維度,0.0,女,碩士,肄業,198
111,,23,石門區,,,,無年齡維度,0.0,女,自學,未分,33
111,,23,石門區,,,,無年齡維度,0.0,女,高中,畢業,1299
111,,23,石門區,,,,無年齡維度,0.0,女,高中,肄業,481
111,,23,石門區,,,,無年齡維度,0.0,女,高職,畢業,3274
111,,23,石門區,,,,無年齡維度,0.0,女,高職,肄業,720
111,,23,石門區,,,,無年齡維度,0.0,男,不識字,未分,33
111,,23,石門區,,,,無年齡維度,0.0,男,二專,畢業,1022
111,,23,石門區,,,,無年齡維度,0.0,男,二專,肄業,308
111,,23,石門區,,,,無年齡維度,0.0,男,五專前三年,肄業,132
111,,23,石門區,,,,無年齡維度,0.0,男,五專後二年,畢業,964
111,,23,石門區,,,,無年齡維度,0.0,男,五專後二年,肄業,102
111,,23,石門區,,,,無年齡維度,0.0,男,博士,畢業,64
111,,23,石門區,,,,無年齡維度,0.0,男,博士,肄業,31
111,,23,石門區,,,,無年齡維度,0.0,男,國中,畢業,2597
111,,23,石門區,,,,無年齡維度,0.0,男,國中,肄業,255
111,,23,石門區,,,,無年齡維度,0.0,男,國中(職業),畢業,15
111,,23,石門區,,,,無年齡維度,0.0,男,國中(職業),肄業,2
111,,23,石門區,,,,無年齡維度,0.0,男,國小,畢業,1055
111,,23,石門區,,,,無年齡維度,0.0,男,國小,肄業,138
111,,23,石門區,,,,無年齡維度,0.0,男,大學,畢業,3315
111,,23,石門區,,,,無年齡維度,0.0,男,大學,肄業,1226
111,,23,石門區,,,,無年齡維度,0.0,男,碩士,畢業,689
111,,23,石門區,,,,無年齡維度,0.0,男,碩士,肄業,253
111,,23,石門區,,,,無年齡維度,0.0,男,自學,未分,17
111,,23,石門區,,,,無年齡維度,0.0,男,高中,畢業,1227
111,,23,石門區,,,,無年齡維度,0.0,男,高中,肄業,534
111,,23,石門區,,,,無年齡維度,0.0,男,高職,畢業,2955
111,,23,石門區,,,,無年齡維度,0.0,男,高職,肄業,1087
