民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
112,,12,淡水區,,,,無年齡維度,0.0,女,不識字,未分,629
112,,12,淡水區,,,,無年齡維度,0.0,女,二專,畢業,806
112,,12,淡水區,,,,無年齡維度,0.0,女,二專,肄業,170
112,,12,淡水區,,,,無年齡維度,0.0,女,五專前三年,肄業,135
112,,12,淡水區,,,,無年齡維度,0.0,女,五專後二年,畢業,410
112,,12,淡水區,,,,無年齡維度,0.0,女,五專後二年,肄業,34
112,,12,淡水區,,,,無年齡維度,0.0,女,博士,畢業,9
112,,12,淡水區,,,,無年齡維度,0.0,女,博士,肄業,10
112,,12,淡水區,,,,無年齡維度,0.0,女,國中,畢業,2432
112,,12,淡水區,,,,無年齡維度,0.0,女,國中,肄業,405
112,,12,淡水區,,,,無年齡維度,0.0,女,國中(職業),畢業,12
112,,12,淡水區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
112,,12,淡水區,,,,無年齡維度,0.0,女,國小,畢業,2694
112,,12,淡水區,,,,無年齡維度,0.0,女,國小,肄業,459
112,,12,淡水區,,,,無年齡維度,0.0,女,大學,畢業,2666
112,,12,淡水區,,,,無年齡維度,0.0,女,大學,肄業,827
112,,12,淡水區,,,,無年齡維度,0.0,女,碩士,畢業,349
112,,12,淡水區,,,,無年齡維度,0.0,女,碩士,肄業,106
112,,12,淡水區,,,,無年齡維度,0.0,女,自學,未分,61
112,,12,淡水區,,,,無年齡維度,0.0,女,高中,畢業,750
112,,12,淡水區,,,,無年齡維度,0.0,女,高中,肄業,309
112,,12,淡水區,,,,無年齡維度,0.0,女,高職,畢業,2950
112,,12,淡水區,,,,無年齡維度,0.0,女,高職,肄業,745
112,,12,淡水區,,,,無年齡維度,0.0,男,不識字,未分,56
112,,12,淡水區,,,,無年齡維度,0.0,男,二專,畢業,855
112,,12,淡水區,,,,無年齡維度,0.0,男,二專,肄業,230
112,,12,淡水區,,,,無年齡維度,0.0,男,五專前三年,肄業,63
112,,12,淡水區,,,,無年齡維度,0.0,男,五專後二年,畢業,497
112,,12,淡水區,,,,無年齡維度,0.0,男,五專後二年,肄業,37
112,,12,淡水區,,,,無年齡維度,0.0,男,博士,畢業,28
112,,12,淡水區,,,,無年齡維度,0.0,男,博士,肄業,22
112,,12,淡水區,,,,無年齡維度,0.0,男,國中,畢業,3041
112,,12,淡水區,,,,無年齡維度,0.0,男,國中,肄業,519
112,,12,淡水區,,,,無年齡維度,0.0,男,國中(職業),畢業,15
112,,12,淡水區,,,,無年齡維度,0.0,男,國中(職業),肄業,6
112,,12,淡水區,,,,無年齡維度,0.0,男,國小,畢業,1475
112,,12,淡水區,,,,無年齡維度,0.0,男,國小,肄業,161
112,,12,淡水區,,,,無年齡維度,0.0,男,大學,畢業,2560
112,,12,淡水區,,,,無年齡維度,0.0,男,大學,肄業,998
112,,12,淡水區,,,,無年齡維度,0.0,男,碩士,畢業,464
112,,12,淡水區,,,,無年齡維度,0.0,男,碩士,肄業,153
112,,12,淡水區,,,,無年齡維度,0.0,男,自學,未分,65
112,,12,淡水區,,,,無年齡維度,0.0,男,高中,畢業,748
112,,12,淡水區,,,,無年齡維度,0.0,男,高中,肄業,354
112,,12,淡水區,,,,無年齡維度,0.0,男,高職,畢業,3551
112,,12,淡水區,,,,無年齡維度,0.0,男,高職,肄業,1322
