民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
113,,26,平溪區,,,,無年齡維度,0.0,女,不識字,未分,329
113,,26,平溪區,,,,無年齡維度,0.0,女,二專,畢業,203
113,,26,平溪區,,,,無年齡維度,0.0,女,二專,肄業,36
113,,26,平溪區,,,,無年齡維度,0.0,女,五專前三年,肄業,26
113,,26,平溪區,,,,無年齡維度,0.0,女,五專後二年,畢業,99
113,,26,平溪區,,,,無年齡維度,0.0,女,五專後二年,肄業,7
113,,26,平溪區,,,,無年齡維度,0.0,女,博士,畢業,2
113,,26,平溪區,,,,無年齡維度,0.0,女,博士,肄業,0
113,,26,平溪區,,,,無年齡維度,0.0,女,國中,畢業,776
113,,26,平溪區,,,,無年齡維度,0.0,女,國中,肄業,101
113,,26,平溪區,,,,無年齡維度,0.0,女,國中(職業),畢業,6
113,,26,平溪區,,,,無年齡維度,0.0,女,國中(職業),肄業,1
113,,26,平溪區,,,,無年齡維度,0.0,女,國小,畢業,807
113,,26,平溪區,,,,無年齡維度,0.0,女,國小,肄業,200
113,,26,平溪區,,,,無年齡維度,0.0,女,大學,畢業,712
113,,26,平溪區,,,,無年齡維度,0.0,女,大學,肄業,214
113,,26,平溪區,,,,無年齡維度,0.0,女,碩士,畢業,69
113,,26,平溪區,,,,無年齡維度,0.0,女,碩士,肄業,28
113,,26,平溪區,,,,無年齡維度,0.0,女,自學,未分,19
113,,26,平溪區,,,,無年齡維度,0.0,女,高中,畢業,322
113,,26,平溪區,,,,無年齡維度,0.0,女,高中,肄業,75
113,,26,平溪區,,,,無年齡維度,0.0,女,高職,畢業,854
113,,26,平溪區,,,,無年齡維度,0.0,女,高職,肄業,168
113,,26,平溪區,,,,無年齡維度,0.0,男,不識字,未分,35
113,,26,平溪區,,,,無年齡維度,0.0,男,二專,畢業,232
113,,26,平溪區,,,,無年齡維度,0.0,男,二專,肄業,57
113,,26,平溪區,,,,無年齡維度,0.0,男,五專前三年,肄業,19
113,,26,平溪區,,,,無年齡維度,0.0,男,五專後二年,畢業,123
113,,26,平溪區,,,,無年齡維度,0.0,男,五專後二年,肄業,18
113,,26,平溪區,,,,無年齡維度,0.0,男,博士,畢業,9
113,,26,平溪區,,,,無年齡維度,0.0,男,博士,肄業,4
113,,26,平溪區,,,,無年齡維度,0.0,男,國中,畢業,1218
113,,26,平溪區,,,,無年齡維度,0.0,男,國中,肄業,131
113,,26,平溪區,,,,無年齡維度,0.0,男,國中(職業),畢業,5
113,,26,平溪區,,,,無年齡維度,0.0,男,國中(職業),肄業,1
113,,26,平溪區,,,,無年齡維度,0.0,男,國小,畢業,625
113,,26,平溪區,,,,無年齡維度,0.0,男,國小,肄業,121
113,,26,平溪區,,,,無年齡維度,0.0,男,大學,畢業,646
113,,26,平溪區,,,,無年齡維度,0.0,男,大學,肄業,238
113,,26,平溪區,,,,無年齡維度,0.0,男,碩士,畢業,106
113,,26,平溪區,,,,無年齡維度,0.0,男,碩士,肄業,35
113,,26,平溪區,,,,無年齡維度,0.0,男,自學,未分,9
113,,26,平溪區,,,,無年齡維度,0.0,男,高中,畢業,346
113,,26,平溪區,,,,無年齡維度,0.0,男,高中,肄業,119
113,,26,平溪區,,,,無年齡維度,0.0,男,高職,畢業,806
113,,26,平溪區,,,,無年齡維度,0.0,男,高職,肄業,294
