民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
114,,4,永和區,,,,無年齡維度,0.0,女,不識字,未分,375
114,,4,永和區,,,,無年齡維度,0.0,女,二專,畢業,6963
114,,4,永和區,,,,無年齡維度,0.0,女,二專,肄業,582
114,,4,永和區,,,,無年齡維度,0.0,女,五專前三年,肄業,330
114,,4,永和區,,,,無年齡維度,0.0,女,五專後二年,畢業,5373
114,,4,永和區,,,,無年齡維度,0.0,女,五專後二年,肄業,221
114,,4,永和區,,,,無年齡維度,0.0,女,博士,畢業,480
114,,4,永和區,,,,無年齡維度,0.0,女,博士,肄業,220
114,,4,永和區,,,,無年齡維度,0.0,女,國中,畢業,6386
114,,4,永和區,,,,無年齡維度,0.0,女,國中,肄業,896
114,,4,永和區,,,,無年齡維度,0.0,女,國中(職業),畢業,267
114,,4,永和區,,,,無年齡維度,0.0,女,國中(職業),肄業,118
114,,4,永和區,,,,無年齡維度,0.0,女,國小,畢業,6280
114,,4,永和區,,,,無年齡維度,0.0,女,國小,肄業,470
114,,4,永和區,,,,無年齡維度,0.0,女,大學,畢業,31226
114,,4,永和區,,,,無年齡維度,0.0,女,大學,肄業,5010
114,,4,永和區,,,,無年齡維度,0.0,女,碩士,畢業,7736
114,,4,永和區,,,,無年齡維度,0.0,女,碩士,肄業,1691
114,,4,永和區,,,,無年齡維度,0.0,女,自學,未分,149
114,,4,永和區,,,,無年齡維度,0.0,女,高中,畢業,7489
114,,4,永和區,,,,無年齡維度,0.0,女,高中,肄業,2303
114,,4,永和區,,,,無年齡維度,0.0,女,高職,畢業,14339
114,,4,永和區,,,,無年齡維度,0.0,女,高職,肄業,1653
114,,4,永和區,,,,無年齡維度,0.0,男,不識字,未分,27
114,,4,永和區,,,,無年齡維度,0.0,男,二專,畢業,5490
114,,4,永和區,,,,無年齡維度,0.0,男,二專,肄業,728
114,,4,永和區,,,,無年齡維度,0.0,男,五專前三年,肄業,183
114,,4,永和區,,,,無年齡維度,0.0,男,五專後二年,畢業,5208
114,,4,永和區,,,,無年齡維度,0.0,男,五專後二年,肄業,269
114,,4,永和區,,,,無年齡維度,0.0,男,博士,畢業,1106
114,,4,永和區,,,,無年齡維度,0.0,男,博士,肄業,388
114,,4,永和區,,,,無年齡維度,0.0,男,國中,畢業,4006
114,,4,永和區,,,,無年齡維度,0.0,男,國中,肄業,717
114,,4,永和區,,,,無年齡維度,0.0,男,國中(職業),畢業,140
114,,4,永和區,,,,無年齡維度,0.0,男,國中(職業),肄業,64
114,,4,永和區,,,,無年齡維度,0.0,男,國小,畢業,2181
114,,4,永和區,,,,無年齡維度,0.0,男,國小,肄業,184
114,,4,永和區,,,,無年齡維度,0.0,男,大學,畢業,27010
114,,4,永和區,,,,無年齡維度,0.0,男,大學,肄業,6066
114,,4,永和區,,,,無年齡維度,0.0,男,碩士,畢業,10603
114,,4,永和區,,,,無年齡維度,0.0,男,碩士,肄業,2055
114,,4,永和區,,,,無年齡維度,0.0,男,自學,未分,30
114,,4,永和區,,,,無年齡維度,0.0,男,高中,畢業,5783
114,,4,永和區,,,,無年齡維度,0.0,男,高中,肄業,2382
114,,4,永和區,,,,無年齡維度,0.0,男,高職,畢業,10810
114,,4,永和區,,,,無年齡維度,0.0,男,高職,肄業,2148
