民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,女,未婚,0,9813
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,男,未婚,0,10682
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
108,,11,三峽區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,16
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,4731
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,2
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,5
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,5186
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
108,,11,三峽區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,女,有偶,0,190
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,女,未婚,0,6258
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,女,離婚,0,35
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,男,有偶,0,97
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,男,未婚,0,6934
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,男,離婚,0,21
108,,11,三峽區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,2
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,女,有偶,0,998
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,女,有偶,1,3
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,女,未婚,0,5654
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,女,離婚,0,160
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,男,有偶,0,655
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,男,有偶,1,3
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,男,未婚,0,6721
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,男,離婚,0,90
108,,11,三峽區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,6
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,女,有偶,0,2511
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,女,有偶,1,9
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,女,未婚,0,3314
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,女,離婚,0,335
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,2
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,男,有偶,0,1821
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,男,有偶,1,5
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,男,未婚,0,4257
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,男,離婚,0,243
108,,11,三峽區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,46
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,4539
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,15
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,2457
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,808
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,6
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,3727
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,6
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,3634
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,554
108,,11,三峽區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
108,,11,三峽區,40~44歲,40,44,不相關,0.0,女,喪偶,0,90
108,,11,三峽區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,40~44歲,40,44,不相關,0.0,女,有偶,0,5298
108,,11,三峽區,40~44歲,40,44,不相關,0.0,女,有偶,1,11
108,,11,三峽區,40~44歲,40,44,不相關,0.0,女,未婚,0,2172
108,,11,三峽區,40~44歲,40,44,不相關,0.0,女,離婚,0,1158
108,,11,三峽區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
108,,11,三峽區,40~44歲,40,44,不相關,0.0,男,喪偶,0,14
108,,11,三峽區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,40~44歲,40,44,不相關,0.0,男,有偶,0,4932
108,,11,三峽區,40~44歲,40,44,不相關,0.0,男,有偶,1,6
108,,11,三峽區,40~44歲,40,44,不相關,0.0,男,未婚,0,2558
108,,11,三峽區,40~44歲,40,44,不相關,0.0,男,離婚,0,995
108,,11,三峽區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
108,,11,三峽區,45~49歲,45,49,不相關,0.0,女,喪偶,0,197
108,,11,三峽區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,45~49歲,45,49,不相關,0.0,女,有偶,0,5602
108,,11,三峽區,45~49歲,45,49,不相關,0.0,女,有偶,1,8
108,,11,三峽區,45~49歲,45,49,不相關,0.0,女,未婚,0,1705
108,,11,三峽區,45~49歲,45,49,不相關,0.0,女,離婚,0,1505
108,,11,三峽區,45~49歲,45,49,不相關,0.0,女,離婚,1,0
108,,11,三峽區,45~49歲,45,49,不相關,0.0,男,喪偶,0,34
108,,11,三峽區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,45~49歲,45,49,不相關,0.0,男,有偶,0,5250
108,,11,三峽區,45~49歲,45,49,不相關,0.0,男,有偶,1,3
108,,11,三峽區,45~49歲,45,49,不相關,0.0,男,未婚,0,1756
108,,11,三峽區,45~49歲,45,49,不相關,0.0,男,離婚,0,1144
108,,11,三峽區,45~49歲,45,49,不相關,0.0,男,離婚,1,0
108,,11,三峽區,50~54歲,50,54,不相關,0.0,女,喪偶,0,422
108,,11,三峽區,50~54歲,50,54,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,50~54歲,50,54,不相關,0.0,女,有偶,0,6749
108,,11,三峽區,50~54歲,50,54,不相關,0.0,女,有偶,1,2
108,,11,三峽區,50~54歲,50,54,不相關,0.0,女,未婚,0,1559
108,,11,三峽區,50~54歲,50,54,不相關,0.0,女,離婚,0,1741
108,,11,三峽區,50~54歲,50,54,不相關,0.0,女,離婚,1,0
108,,11,三峽區,50~54歲,50,54,不相關,0.0,男,喪偶,0,79
108,,11,三峽區,50~54歲,50,54,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,50~54歲,50,54,不相關,0.0,男,有偶,0,6378
108,,11,三峽區,50~54歲,50,54,不相關,0.0,男,有偶,1,2
108,,11,三峽區,50~54歲,50,54,不相關,0.0,男,未婚,0,1341
108,,11,三峽區,50~54歲,50,54,不相關,0.0,男,離婚,0,1440
108,,11,三峽區,50~54歲,50,54,不相關,0.0,男,離婚,1,0
108,,11,三峽區,55~59歲,55,59,不相關,0.0,女,喪偶,0,662
108,,11,三峽區,55~59歲,55,59,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,55~59歲,55,59,不相關,0.0,女,有偶,0,6392
108,,11,三峽區,55~59歲,55,59,不相關,0.0,女,有偶,1,0
108,,11,三峽區,55~59歲,55,59,不相關,0.0,女,未婚,0,1156
108,,11,三峽區,55~59歲,55,59,不相關,0.0,女,離婚,0,1743
108,,11,三峽區,55~59歲,55,59,不相關,0.0,女,離婚,1,0
108,,11,三峽區,55~59歲,55,59,不相關,0.0,男,喪偶,0,131
108,,11,三峽區,55~59歲,55,59,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,55~59歲,55,59,不相關,0.0,男,有偶,0,6576
108,,11,三峽區,55~59歲,55,59,不相關,0.0,男,有偶,1,0
108,,11,三峽區,55~59歲,55,59,不相關,0.0,男,未婚,0,860
108,,11,三峽區,55~59歲,55,59,不相關,0.0,男,離婚,0,1363
108,,11,三峽區,55~59歲,55,59,不相關,0.0,男,離婚,1,0
108,,11,三峽區,60~64歲,60,64,不相關,0.0,女,喪偶,0,986
108,,11,三峽區,60~64歲,60,64,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,60~64歲,60,64,不相關,0.0,女,有偶,0,5320
108,,11,三峽區,60~64歲,60,64,不相關,0.0,女,有偶,1,0
108,,11,三峽區,60~64歲,60,64,不相關,0.0,女,未婚,0,687
108,,11,三峽區,60~64歲,60,64,不相關,0.0,女,離婚,0,1365
108,,11,三峽區,60~64歲,60,64,不相關,0.0,女,離婚,1,0
108,,11,三峽區,60~64歲,60,64,不相關,0.0,男,喪偶,0,174
108,,11,三峽區,60~64歲,60,64,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,60~64歲,60,64,不相關,0.0,男,有偶,0,5414
108,,11,三峽區,60~64歲,60,64,不相關,0.0,男,有偶,1,0
108,,11,三峽區,60~64歲,60,64,不相關,0.0,男,未婚,0,484
108,,11,三峽區,60~64歲,60,64,不相關,0.0,男,離婚,0,1071
108,,11,三峽區,60~64歲,60,64,不相關,0.0,男,離婚,1,0
108,,11,三峽區,65~69歲,65,69,不相關,0.0,女,喪偶,0,1394
108,,11,三峽區,65~69歲,65,69,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,65~69歲,65,69,不相關,0.0,女,有偶,0,3951
108,,11,三峽區,65~69歲,65,69,不相關,0.0,女,有偶,1,0
108,,11,三峽區,65~69歲,65,69,不相關,0.0,女,未婚,0,456
108,,11,三峽區,65~69歲,65,69,不相關,0.0,女,離婚,0,931
108,,11,三峽區,65~69歲,65,69,不相關,0.0,女,離婚,1,0
108,,11,三峽區,65~69歲,65,69,不相關,0.0,男,喪偶,0,224
108,,11,三峽區,65~69歲,65,69,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,65~69歲,65,69,不相關,0.0,男,有偶,0,4255
108,,11,三峽區,65~69歲,65,69,不相關,0.0,男,有偶,1,1
108,,11,三峽區,65~69歲,65,69,不相關,0.0,男,未婚,0,256
108,,11,三峽區,65~69歲,65,69,不相關,0.0,男,離婚,0,716
108,,11,三峽區,65~69歲,65,69,不相關,0.0,男,離婚,1,0
108,,11,三峽區,70~74歲,70,74,不相關,0.0,女,喪偶,0,1256
108,,11,三峽區,70~74歲,70,74,不相關,0.0,女,喪偶,1,0
108,,11,三峽區,70~74歲,70,74,不相關,0.0,女,有偶,0,1787
108,,11,三峽區,70~74歲,70,74,不相關,0.0,女,有偶,1,0
108,,11,三峽區,70~74歲,70,74,不相關,0.0,女,未婚,0,182
108,,11,三峽區,70~74歲,70,74,不相關,0.0,女,離婚,0,371
108,,11,三峽區,70~74歲,70,74,不相關,0.0,女,離婚,1,0
108,,11,三峽區,70~74歲,70,74,不相關,0.0,男,喪偶,0,181
108,,11,三峽區,70~74歲,70,74,不相關,0.0,男,喪偶,1,0
108,,11,三峽區,70~74歲,70,74,不相關,0.0,男,有偶,0,2301
108,,11,三峽區,70~74歲,70,74,不相關,0.0,男,有偶,1,0
108,,11,三峽區,70~74歲,70,74,不相關,0.0,男,未婚,0,79
108,,11,三峽區,70~74歲,70,74,不相關,0.0,男,離婚,0,327
108,,11,三峽區,70~74歲,70,74,不相關,0.0,男,離婚,1,0
108,,11,三峽區,75~79歲,75,79,不相關,0.0,女,喪偶,0,1364
