民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
108,,23,石門區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,女,未婚,0,2120
108,,23,石門區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,男,未婚,0,2437
108,,23,石門區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
108,,23,石門區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,7
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,1105
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,1
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,1137
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
108,,23,石門區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
108,,23,石門區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
108,,23,石門區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
108,,23,石門區,20~24歲,20,24,完全落入,1.0,女,有偶,0,63
108,,23,石門區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
108,,23,石門區,20~24歲,20,24,完全落入,1.0,女,未婚,0,1277
108,,23,石門區,20~24歲,20,24,完全落入,1.0,女,離婚,0,19
108,,23,石門區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
108,,23,石門區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
108,,23,石門區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
108,,23,石門區,20~24歲,20,24,完全落入,1.0,男,有偶,0,38
108,,23,石門區,20~24歲,20,24,完全落入,1.0,男,有偶,1,3
108,,23,石門區,20~24歲,20,24,完全落入,1.0,男,未婚,0,1420
108,,23,石門區,20~24歲,20,24,完全落入,1.0,男,離婚,0,5
108,,23,石門區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
108,,23,石門區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,2
108,,23,石門區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
108,,23,石門區,25~29歲,25,29,完全落入,1.0,女,有偶,0,289
108,,23,石門區,25~29歲,25,29,完全落入,1.0,女,有偶,1,2
108,,23,石門區,25~29歲,25,29,完全落入,1.0,女,未婚,0,1108
108,,23,石門區,25~29歲,25,29,完全落入,1.0,女,離婚,0,49
108,,23,石門區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
108,,23,石門區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
108,,23,石門區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
108,,23,石門區,25~29歲,25,29,完全落入,1.0,男,有偶,0,180
108,,23,石門區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
108,,23,石門區,25~29歲,25,29,完全落入,1.0,男,未婚,0,1337
108,,23,石門區,25~29歲,25,29,完全落入,1.0,男,離婚,0,36
108,,23,石門區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
108,,23,石門區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,1
108,,23,石門區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
108,,23,石門區,30~34歲,30,34,完全落入,1.0,女,有偶,0,612
108,,23,石門區,30~34歲,30,34,完全落入,1.0,女,有偶,1,3
108,,23,石門區,30~34歲,30,34,完全落入,1.0,女,未婚,0,614
108,,23,石門區,30~34歲,30,34,完全落入,1.0,女,離婚,0,90
108,,23,石門區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
108,,23,石門區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
108,,23,石門區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
108,,23,石門區,30~34歲,30,34,完全落入,1.0,男,有偶,0,442
108,,23,石門區,30~34歲,30,34,完全落入,1.0,男,有偶,1,1
108,,23,石門區,30~34歲,30,34,完全落入,1.0,男,未婚,0,791
108,,23,石門區,30~34歲,30,34,完全落入,1.0,男,離婚,0,63
108,,23,石門區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,11
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,950
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,1
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,437
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,183
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,0
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,753
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,0
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,640
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,128
108,,23,石門區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
108,,23,石門區,40~44歲,40,44,不相關,0.0,女,喪偶,0,26
108,,23,石門區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
108,,23,石門區,40~44歲,40,44,不相關,0.0,女,有偶,0,978
108,,23,石門區,40~44歲,40,44,不相關,0.0,女,有偶,1,3
108,,23,石門區,40~44歲,40,44,不相關,0.0,女,未婚,0,354
108,,23,石門區,40~44歲,40,44,不相關,0.0,女,離婚,0,261
108,,23,石門區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
108,,23,石門區,40~44歲,40,44,不相關,0.0,男,喪偶,0,6
108,,23,石門區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
108,,23,石門區,40~44歲,40,44,不相關,0.0,男,有偶,0,870
108,,23,石門區,40~44歲,40,44,不相關,0.0,男,有偶,1,0
108,,23,石門區,40~44歲,40,44,不相關,0.0,男,未婚,0,450
108,,23,石門區,40~44歲,40,44,不相關,0.0,男,離婚,0,221
108,,23,石門區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
108,,23,石門區,45~49歲,45,49,不相關,0.0,女,喪偶,0,38
108,,23,石門區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
108,,23,石門區,45~49歲,45,49,不相關,0.0,女,有偶,0,1044
108,,23,石門區,45~49歲,45,49,不相關,0.0,女,有偶,1,0
108,,23,石門區,45~49歲,45,49,不相關,0.0,女,未婚,0,255
108,,23,石門區,45~49歲,45,49,不相關,0.0,女,離婚,0,277
108,,23,石門區,45~49歲,45,49,不相關,0.0,女,離婚,1,0
108,,23,石門區,45~49歲,45,49,不相關,0.0,男,喪偶,0,12
108,,23,石門區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
108,,23,石門區,45~49歲,45,49,不相關,0.0,男,有偶,0,997
108,,23,石門區,45~49歲,45,49,不相關,0.0,男,有偶,1,0
108,,23,石門區,45~49歲,45,49,不相關,0.0,男,未婚,0,284
108,,23,石門區,45~49歲,45,49,不相關,0.0,男,離婚,0,248
108,,23,石門區,45~49歲,45,49,不相關,0.0,男,離婚,1,0
108,,23,石門區,50~54歲,50,54,不相關,0.0,女,喪偶,0,84
108,,23,石門區,50~54歲,50,54,不相關,0.0,女,喪偶,1,0
108,,23,石門區,50~54歲,50,54,不相關,0.0,女,有偶,0,1190
108,,23,石門區,50~54歲,50,54,不相關,0.0,女,有偶,1,0
108,,23,石門區,50~54歲,50,54,不相關,0.0,女,未婚,0,198
108,,23,石門區,50~54歲,50,54,不相關,0.0,女,離婚,0,303
108,,23,石門區,50~54歲,50,54,不相關,0.0,女,離婚,1,0
108,,23,石門區,50~54歲,50,54,不相關,0.0,男,喪偶,0,13
108,,23,石門區,50~54歲,50,54,不相關,0.0,男,喪偶,1,0
108,,23,石門區,50~54歲,50,54,不相關,0.0,男,有偶,0,1145
108,,23,石門區,50~54歲,50,54,不相關,0.0,男,有偶,1,1
108,,23,石門區,50~54歲,50,54,不相關,0.0,男,未婚,0,222
108,,23,石門區,50~54歲,50,54,不相關,0.0,男,離婚,0,304
108,,23,石門區,50~54歲,50,54,不相關,0.0,男,離婚,1,0
108,,23,石門區,55~59歲,55,59,不相關,0.0,女,喪偶,0,126
108,,23,石門區,55~59歲,55,59,不相關,0.0,女,喪偶,1,0
108,,23,石門區,55~59歲,55,59,不相關,0.0,女,有偶,0,1112
108,,23,石門區,55~59歲,55,59,不相關,0.0,女,有偶,1,0
108,,23,石門區,55~59歲,55,59,不相關,0.0,女,未婚,0,124
108,,23,石門區,55~59歲,55,59,不相關,0.0,女,離婚,0,320
108,,23,石門區,55~59歲,55,59,不相關,0.0,女,離婚,1,0
108,,23,石門區,55~59歲,55,59,不相關,0.0,男,喪偶,0,36
108,,23,石門區,55~59歲,55,59,不相關,0.0,男,喪偶,1,0
108,,23,石門區,55~59歲,55,59,不相關,0.0,男,有偶,0,1274
108,,23,石門區,55~59歲,55,59,不相關,0.0,男,有偶,1,0
108,,23,石門區,55~59歲,55,59,不相關,0.0,男,未婚,0,184
108,,23,石門區,55~59歲,55,59,不相關,0.0,男,離婚,0,302
108,,23,石門區,55~59歲,55,59,不相關,0.0,男,離婚,1,0
108,,23,石門區,60~64歲,60,64,不相關,0.0,女,喪偶,0,193
108,,23,石門區,60~64歲,60,64,不相關,0.0,女,喪偶,1,0
108,,23,石門區,60~64歲,60,64,不相關,0.0,女,有偶,0,928
108,,23,石門區,60~64歲,60,64,不相關,0.0,女,有偶,1,0
108,,23,石門區,60~64歲,60,64,不相關,0.0,女,未婚,0,88
108,,23,石門區,60~64歲,60,64,不相關,0.0,女,離婚,0,231
108,,23,石門區,60~64歲,60,64,不相關,0.0,女,離婚,1,0
108,,23,石門區,60~64歲,60,64,不相關,0.0,男,喪偶,0,37
108,,23,石門區,60~64歲,60,64,不相關,0.0,男,喪偶,1,0
108,,23,石門區,60~64歲,60,64,不相關,0.0,男,有偶,0,1063
108,,23,石門區,60~64歲,60,64,不相關,0.0,男,有偶,1,0
108,,23,石門區,60~64歲,60,64,不相關,0.0,男,未婚,0,79
108,,23,石門區,60~64歲,60,64,不相關,0.0,男,離婚,0,218
108,,23,石門區,60~64歲,60,64,不相關,0.0,男,離婚,1,0
108,,23,石門區,65~69歲,65,69,不相關,0.0,女,喪偶,0,256
108,,23,石門區,65~69歲,65,69,不相關,0.0,女,喪偶,1,0
108,,23,石門區,65~69歲,65,69,不相關,0.0,女,有偶,0,640
108,,23,石門區,65~69歲,65,69,不相關,0.0,女,有偶,1,0
108,,23,石門區,65~69歲,65,69,不相關,0.0,女,未婚,0,57
108,,23,石門區,65~69歲,65,69,不相關,0.0,女,離婚,0,158
108,,23,石門區,65~69歲,65,69,不相關,0.0,女,離婚,1,0
108,,23,石門區,65~69歲,65,69,不相關,0.0,男,喪偶,0,40
108,,23,石門區,65~69歲,65,69,不相關,0.0,男,喪偶,1,0
108,,23,石門區,65~69歲,65,69,不相關,0.0,男,有偶,0,755
108,,23,石門區,65~69歲,65,69,不相關,0.0,男,有偶,1,0
108,,23,石門區,65~69歲,65,69,不相關,0.0,男,未婚,0,38
108,,23,石門區,65~69歲,65,69,不相關,0.0,男,離婚,0,165
108,,23,石門區,65~69歲,65,69,不相關,0.0,男,離婚,1,0
108,,23,石門區,70~74歲,70,74,不相關,0.0,女,喪偶,0,204
108,,23,石門區,70~74歲,70,74,不相關,0.0,女,喪偶,1,0
108,,23,石門區,70~74歲,70,74,不相關,0.0,女,有偶,0,263
108,,23,石門區,70~74歲,70,74,不相關,0.0,女,有偶,1,0
108,,23,石門區,70~74歲,70,74,不相關,0.0,女,未婚,0,26
