民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,未婚,0,1712
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,未婚,0,1793
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
109,,12,淡水區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,1
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,851
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,1
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,3
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,917
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
109,,12,淡水區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,1
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,有偶,0,53
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,未婚,0,1032
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,離婚,0,18
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,有偶,0,25
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,未婚,0,1153
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,離婚,0,7
109,,12,淡水區,20~24歲,20,24,完全落入,1.0,男,離婚,1,1
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,女,有偶,0,286
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,女,未婚,0,934
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,女,離婚,0,50
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,男,有偶,0,168
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,男,未婚,0,1254
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,男,離婚,0,48
109,,12,淡水區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
109,,12,淡水區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,2
109,,12,淡水區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
109,,12,淡水區,30~34歲,30,34,完全落入,1.0,女,有偶,0,457
109,,12,淡水區,30~34歲,30,34,完全落入,1.0,女,有偶,1,4
109,,12,淡水區,30~34歲,30,34,完全落入,1.0,女,未婚,0,607
109,,12,淡水區,30~34歲,30,34,完全落入,1.0,女,離婚,0,97
109,,12,淡水區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
