民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,未婚,0,291
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,未婚,0,364
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,225
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,1
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,206
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,有偶,0,16
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,未婚,0,274
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,離婚,0,4
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,有偶,0,8
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,未婚,0,331
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,離婚,0,2
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,有偶,0,62
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,未婚,0,222
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,離婚,0,7
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,有偶,0,42
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,有偶,1,1
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,未婚,0,291
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,離婚,0,7
109,,26,平溪區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,1
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,有偶,0,112
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,有偶,1,0
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,未婚,0,152
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,離婚,0,17
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,有偶,0,92
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,有偶,1,0
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,未婚,0,206
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,離婚,0,6
109,,26,平溪區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,8
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,231
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,0
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,106
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,35
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,0
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,146
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,0
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,189
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,32
109,,26,平溪區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
109,,26,平溪區,40~44歲,40,44,不相關,0.0,女,喪偶,0,12
109,,26,平溪區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,40~44歲,40,44,不相關,0.0,女,有偶,0,286
109,,26,平溪區,40~44歲,40,44,不相關,0.0,女,有偶,1,0
109,,26,平溪區,40~44歲,40,44,不相關,0.0,女,未婚,0,84
109,,26,平溪區,40~44歲,40,44,不相關,0.0,女,離婚,0,77
109,,26,平溪區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
109,,26,平溪區,40~44歲,40,44,不相關,0.0,男,喪偶,0,0
109,,26,平溪區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,40~44歲,40,44,不相關,0.0,男,有偶,0,216
109,,26,平溪區,40~44歲,40,44,不相關,0.0,男,有偶,1,0
109,,26,平溪區,40~44歲,40,44,不相關,0.0,男,未婚,0,166
109,,26,平溪區,40~44歲,40,44,不相關,0.0,男,離婚,0,69
109,,26,平溪區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
109,,26,平溪區,45~49歲,45,49,不相關,0.0,女,喪偶,0,25
109,,26,平溪區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,45~49歲,45,49,不相關,0.0,女,有偶,0,372
109,,26,平溪區,45~49歲,45,49,不相關,0.0,女,有偶,1,0
109,,26,平溪區,45~49歲,45,49,不相關,0.0,女,未婚,0,95
109,,26,平溪區,45~49歲,45,49,不相關,0.0,女,離婚,0,91
109,,26,平溪區,45~49歲,45,49,不相關,0.0,女,離婚,1,0
109,,26,平溪區,45~49歲,45,49,不相關,0.0,男,喪偶,0,1
109,,26,平溪區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,45~49歲,45,49,不相關,0.0,男,有偶,0,338
109,,26,平溪區,45~49歲,45,49,不相關,0.0,男,有偶,1,0
109,,26,平溪區,45~49歲,45,49,不相關,0.0,男,未婚,0,126
109,,26,平溪區,45~49歲,45,49,不相關,0.0,男,離婚,0,108
109,,26,平溪區,45~49歲,45,49,不相關,0.0,男,離婚,1,0
109,,26,平溪區,50~54歲,50,54,不相關,0.0,女,喪偶,0,20
109,,26,平溪區,50~54歲,50,54,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,50~54歲,50,54,不相關,0.0,女,有偶,0,359
109,,26,平溪區,50~54歲,50,54,不相關,0.0,女,有偶,1,0
109,,26,平溪區,50~54歲,50,54,不相關,0.0,女,未婚,0,82
109,,26,平溪區,50~54歲,50,54,不相關,0.0,女,離婚,0,86
109,,26,平溪區,50~54歲,50,54,不相關,0.0,女,離婚,1,0
109,,26,平溪區,50~54歲,50,54,不相關,0.0,男,喪偶,0,3
109,,26,平溪區,50~54歲,50,54,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,50~54歲,50,54,不相關,0.0,男,有偶,0,424
109,,26,平溪區,50~54歲,50,54,不相關,0.0,男,有偶,1,0
109,,26,平溪區,50~54歲,50,54,不相關,0.0,男,未婚,0,112
109,,26,平溪區,50~54歲,50,54,不相關,0.0,男,離婚,0,134
109,,26,平溪區,50~54歲,50,54,不相關,0.0,男,離婚,1,0
109,,26,平溪區,55~59歲,55,59,不相關,0.0,女,喪偶,0,57
109,,26,平溪區,55~59歲,55,59,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,55~59歲,55,59,不相關,0.0,女,有偶,0,314
109,,26,平溪區,55~59歲,55,59,不相關,0.0,女,有偶,1,0
109,,26,平溪區,55~59歲,55,59,不相關,0.0,女,未婚,0,53
109,,26,平溪區,55~59歲,55,59,不相關,0.0,女,離婚,0,76
109,,26,平溪區,55~59歲,55,59,不相關,0.0,女,離婚,1,0
109,,26,平溪區,55~59歲,55,59,不相關,0.0,男,喪偶,0,8
109,,26,平溪區,55~59歲,55,59,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,55~59歲,55,59,不相關,0.0,男,有偶,0,439
109,,26,平溪區,55~59歲,55,59,不相關,0.0,男,有偶,1,0
109,,26,平溪區,55~59歲,55,59,不相關,0.0,男,未婚,0,76
109,,26,平溪區,55~59歲,55,59,不相關,0.0,男,離婚,0,126
109,,26,平溪區,55~59歲,55,59,不相關,0.0,男,離婚,1,0
109,,26,平溪區,60~64歲,60,64,不相關,0.0,女,喪偶,0,65
109,,26,平溪區,60~64歲,60,64,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,60~64歲,60,64,不相關,0.0,女,有偶,0,275
109,,26,平溪區,60~64歲,60,64,不相關,0.0,女,有偶,1,0
109,,26,平溪區,60~64歲,60,64,不相關,0.0,女,未婚,0,31
109,,26,平溪區,60~64歲,60,64,不相關,0.0,女,離婚,0,51
109,,26,平溪區,60~64歲,60,64,不相關,0.0,女,離婚,1,0
109,,26,平溪區,60~64歲,60,64,不相關,0.0,男,喪偶,0,17
109,,26,平溪區,60~64歲,60,64,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,60~64歲,60,64,不相關,0.0,男,有偶,0,366
109,,26,平溪區,60~64歲,60,64,不相關,0.0,男,有偶,1,0
109,,26,平溪區,60~64歲,60,64,不相關,0.0,男,未婚,0,42
109,,26,平溪區,60~64歲,60,64,不相關,0.0,男,離婚,0,92
109,,26,平溪區,60~64歲,60,64,不相關,0.0,男,離婚,1,0
109,,26,平溪區,65~69歲,65,69,不相關,0.0,女,喪偶,0,98
109,,26,平溪區,65~69歲,65,69,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,65~69歲,65,69,不相關,0.0,女,有偶,0,237
109,,26,平溪區,65~69歲,65,69,不相關,0.0,女,有偶,1,0
109,,26,平溪區,65~69歲,65,69,不相關,0.0,女,未婚,0,20
109,,26,平溪區,65~69歲,65,69,不相關,0.0,女,離婚,0,39
109,,26,平溪區,65~69歲,65,69,不相關,0.0,女,離婚,1,0
109,,26,平溪區,65~69歲,65,69,不相關,0.0,男,喪偶,0,22
109,,26,平溪區,65~69歲,65,69,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,65~69歲,65,69,不相關,0.0,男,有偶,0,318
