民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
110,,6,新店區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,女,未婚,0,13534
110,,6,新店區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,男,未婚,0,14299
110,,6,新店區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
110,,6,新店區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,8
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,5684
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,2
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,5
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,6029
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
110,,6,新店區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
110,,6,新店區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
110,,6,新店區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
110,,6,新店區,20~24歲,20,24,完全落入,1.0,女,有偶,0,198
110,,6,新店區,20~24歲,20,24,完全落入,1.0,女,有偶,1,6
110,,6,新店區,20~24歲,20,24,完全落入,1.0,女,未婚,0,7970
110,,6,新店區,20~24歲,20,24,完全落入,1.0,女,離婚,0,44
110,,6,新店區,20~24歲,20,24,完全落入,1.0,女,離婚,1,1
110,,6,新店區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
110,,6,新店區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
110,,6,新店區,20~24歲,20,24,完全落入,1.0,男,有偶,0,91
110,,6,新店區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
110,,6,新店區,20~24歲,20,24,完全落入,1.0,男,未婚,0,8588
110,,6,新店區,20~24歲,20,24,完全落入,1.0,男,離婚,0,31
110,,6,新店區,20~24歲,20,24,完全落入,1.0,男,離婚,1,1
110,,6,新店區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,4
110,,6,新店區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
110,,6,新店區,25~29歲,25,29,完全落入,1.0,女,有偶,0,1318
110,,6,新店區,25~29歲,25,29,完全落入,1.0,女,有偶,1,18
110,,6,新店區,25~29歲,25,29,完全落入,1.0,女,未婚,0,8180
110,,6,新店區,25~29歲,25,29,完全落入,1.0,女,離婚,0,174
110,,6,新店區,25~29歲,25,29,完全落入,1.0,女,離婚,1,4
110,,6,新店區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,1
110,,6,新店區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
110,,6,新店區,25~29歲,25,29,完全落入,1.0,男,有偶,0,805
110,,6,新店區,25~29歲,25,29,完全落入,1.0,男,有偶,1,6
110,,6,新店區,25~29歲,25,29,完全落入,1.0,男,未婚,0,9379
110,,6,新店區,25~29歲,25,29,完全落入,1.0,男,離婚,0,117
110,,6,新店區,25~29歲,25,29,完全落入,1.0,男,離婚,1,2
110,,6,新店區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,10
110,,6,新店區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
110,,6,新店區,30~34歲,30,34,完全落入,1.0,女,有偶,0,3540
110,,6,新店區,30~34歲,30,34,完全落入,1.0,女,有偶,1,33
110,,6,新店區,30~34歲,30,34,完全落入,1.0,女,未婚,0,5602
110,,6,新店區,30~34歲,30,34,完全落入,1.0,女,離婚,0,379
110,,6,新店區,30~34歲,30,34,完全落入,1.0,女,離婚,1,4
110,,6,新店區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,3
110,,6,新店區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
110,,6,新店區,30~34歲,30,34,完全落入,1.0,男,有偶,0,2580
110,,6,新店區,30~34歲,30,34,完全落入,1.0,男,有偶,1,8
110,,6,新店區,30~34歲,30,34,完全落入,1.0,男,未婚,0,7050
110,,6,新店區,30~34歲,30,34,完全落入,1.0,男,離婚,0,269
110,,6,新店區,30~34歲,30,34,完全落入,1.0,男,離婚,1,1
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,37
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,5521
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,26
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,3964
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,807
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,2
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,5
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,4661
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,14
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,4979
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,566
110,,6,新店區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,1
110,,6,新店區,40~44歲,40,44,不相關,0.0,女,喪偶,0,102
110,,6,新店區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
110,,6,新店區,40~44歲,40,44,不相關,0.0,女,有偶,0,6877
110,,6,新店區,40~44歲,40,44,不相關,0.0,女,有偶,1,31
