民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
110,,15,五股區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,女,未婚,0,4990
110,,15,五股區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,男,未婚,0,5513
110,,15,五股區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
110,,15,五股區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,7
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,2039
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,1
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,2
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,2317
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
110,,15,五股區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
110,,15,五股區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
110,,15,五股區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
110,,15,五股區,20~24歲,20,24,完全落入,1.0,女,有偶,0,139
110,,15,五股區,20~24歲,20,24,完全落入,1.0,女,有偶,1,2
110,,15,五股區,20~24歲,20,24,完全落入,1.0,女,未婚,0,2798
110,,15,五股區,20~24歲,20,24,完全落入,1.0,女,離婚,0,32
110,,15,五股區,20~24歲,20,24,完全落入,1.0,女,離婚,1,1
110,,15,五股區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
110,,15,五股區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
110,,15,五股區,20~24歲,20,24,完全落入,1.0,男,有偶,0,57
110,,15,五股區,20~24歲,20,24,完全落入,1.0,男,有偶,1,2
110,,15,五股區,20~24歲,20,24,完全落入,1.0,男,未婚,0,3050
110,,15,五股區,20~24歲,20,24,完全落入,1.0,男,離婚,0,13
110,,15,五股區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
110,,15,五股區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
110,,15,五股區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
110,,15,五股區,25~29歲,25,29,完全落入,1.0,女,有偶,0,653
110,,15,五股區,25~29歲,25,29,完全落入,1.0,女,有偶,1,5
110,,15,五股區,25~29歲,25,29,完全落入,1.0,女,未婚,0,2709
110,,15,五股區,25~29歲,25,29,完全落入,1.0,女,離婚,0,103
110,,15,五股區,25~29歲,25,29,完全落入,1.0,女,離婚,1,3
110,,15,五股區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
110,,15,五股區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,1
110,,15,五股區,25~29歲,25,29,完全落入,1.0,男,有偶,0,443
110,,15,五股區,25~29歲,25,29,完全落入,1.0,男,有偶,1,2
110,,15,五股區,25~29歲,25,29,完全落入,1.0,男,未婚,0,3293
110,,15,五股區,25~29歲,25,29,完全落入,1.0,男,離婚,0,62
110,,15,五股區,25~29歲,25,29,完全落入,1.0,男,離婚,1,2
110,,15,五股區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,2
110,,15,五股區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
110,,15,五股區,30~34歲,30,34,完全落入,1.0,女,有偶,0,1449
110,,15,五股區,30~34歲,30,34,完全落入,1.0,女,有偶,1,10
110,,15,五股區,30~34歲,30,34,完全落入,1.0,女,未婚,0,1636
110,,15,五股區,30~34歲,30,34,完全落入,1.0,女,離婚,0,208
110,,15,五股區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
110,,15,五股區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
110,,15,五股區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
110,,15,五股區,30~34歲,30,34,完全落入,1.0,男,有偶,0,1192
110,,15,五股區,30~34歲,30,34,完全落入,1.0,男,有偶,1,4
110,,15,五股區,30~34歲,30,34,完全落入,1.0,男,未婚,0,2369
110,,15,五股區,30~34歲,30,34,完全落入,1.0,男,離婚,0,147
110,,15,五股區,30~34歲,30,34,完全落入,1.0,男,離婚,1,2
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,18
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,2121
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,8
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,1054
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,397
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,4
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,1896
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,0
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,1604
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,269
110,,15,五股區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
110,,15,五股區,40~44歲,40,44,不相關,0.0,女,喪偶,0,49
110,,15,五股區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
110,,15,五股區,40~44歲,40,44,不相關,0.0,女,有偶,0,2590
110,,15,五股區,40~44歲,40,44,不相關,0.0,女,有偶,1,6
110,,15,五股區,40~44歲,40,44,不相關,0.0,女,未婚,0,855
110,,15,五股區,40~44歲,40,44,不相關,0.0,女,離婚,0,632
110,,15,五股區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
110,,15,五股區,40~44歲,40,44,不相關,0.0,男,喪偶,0,10
110,,15,五股區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
110,,15,五股區,40~44歲,40,44,不相關,0.0,男,有偶,0,2381
110,,15,五股區,40~44歲,40,44,不相關,0.0,男,有偶,1,6
110,,15,五股區,40~44歲,40,44,不相關,0.0,男,未婚,0,1281
110,,15,五股區,40~44歲,40,44,不相關,0.0,男,離婚,0,478
110,,15,五股區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
110,,15,五股區,45~49歲,45,49,不相關,0.0,女,喪偶,0,81
110,,15,五股區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
110,,15,五股區,45~49歲,45,49,不相關,0.0,女,有偶,0,2300
110,,15,五股區,45~49歲,45,49,不相關,0.0,女,有偶,1,1
110,,15,五股區,45~49歲,45,49,不相關,0.0,女,未婚,0,555
110,,15,五股區,45~49歲,45,49,不相關,0.0,女,離婚,0,650
110,,15,五股區,45~49歲,45,49,不相關,0.0,女,離婚,1,1
110,,15,五股區,45~49歲,45,49,不相關,0.0,男,喪偶,0,15
110,,15,五股區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
110,,15,五股區,45~49歲,45,49,不相關,0.0,男,有偶,0,2221
110,,15,五股區,45~49歲,45,49,不相關,0.0,男,有偶,1,1
110,,15,五股區,45~49歲,45,49,不相關,0.0,男,未婚,0,736
110,,15,五股區,45~49歲,45,49,不相關,0.0,男,離婚,0,598
110,,15,五股區,45~49歲,45,49,不相關,0.0,男,離婚,1,0
110,,15,五股區,50~54歲,50,54,不相關,0.0,女,喪偶,0,165
110,,15,五股區,50~54歲,50,54,不相關,0.0,女,喪偶,1,0
110,,15,五股區,50~54歲,50,54,不相關,0.0,女,有偶,0,2410
110,,15,五股區,50~54歲,50,54,不相關,0.0,女,有偶,1,4
110,,15,五股區,50~54歲,50,54,不相關,0.0,女,未婚,0,393
110,,15,五股區,50~54歲,50,54,不相關,0.0,女,離婚,0,680
110,,15,五股區,50~54歲,50,54,不相關,0.0,女,離婚,1,0
110,,15,五股區,50~54歲,50,54,不相關,0.0,男,喪偶,0,31
110,,15,五股區,50~54歲,50,54,不相關,0.0,男,喪偶,1,0
110,,15,五股區,50~54歲,50,54,不相關,0.0,男,有偶,0,2340
110,,15,五股區,50~54歲,50,54,不相關,0.0,男,有偶,1,1
110,,15,五股區,50~54歲,50,54,不相關,0.0,男,未婚,0,477
110,,15,五股區,50~54歲,50,54,不相關,0.0,男,離婚,0,702
110,,15,五股區,50~54歲,50,54,不相關,0.0,男,離婚,1,0
110,,15,五股區,55~59歲,55,59,不相關,0.0,女,喪偶,0,318
110,,15,五股區,55~59歲,55,59,不相關,0.0,女,喪偶,1,0
110,,15,五股區,55~59歲,55,59,不相關,0.0,女,有偶,0,2605
110,,15,五股區,55~59歲,55,59,不相關,0.0,女,有偶,1,3
110,,15,五股區,55~59歲,55,59,不相關,0.0,女,未婚,0,292
110,,15,五股區,55~59歲,55,59,不相關,0.0,女,離婚,0,607
110,,15,五股區,55~59歲,55,59,不相關,0.0,女,離婚,1,0
110,,15,五股區,55~59歲,55,59,不相關,0.0,男,喪偶,0,69
110,,15,五股區,55~59歲,55,59,不相關,0.0,男,喪偶,1,0
110,,15,五股區,55~59歲,55,59,不相關,0.0,男,有偶,0,2534
110,,15,五股區,55~59歲,55,59,不相關,0.0,男,有偶,1,0
