民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,未婚,0,236
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,未婚,0,268
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
110,,19,深坑區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,2
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,172
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,181
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
110,,19,深坑區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,有偶,0,13
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,未婚,0,216
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,離婚,0,3
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,有偶,0,9
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,未婚,0,243
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,離婚,0,2
110,,19,深坑區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,有偶,0,29
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,未婚,0,169
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,離婚,0,5
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,有偶,0,21
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,未婚,0,210
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,離婚,0,4
110,,19,深坑區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,1
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,有偶,0,65
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,有偶,1,2
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,未婚,0,101
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,離婚,0,12
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,女,離婚,1,1
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,有偶,0,53
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,有偶,1,0
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,未婚,0,151
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,離婚,0,9
110,,19,深坑區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,3
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,103
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,1
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,74
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,16
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,1
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,78
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,0
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,123
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,14
110,,19,深坑區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
110,,19,深坑區,40~44歲,40,44,不相關,0.0,女,喪偶,0,3
110,,19,深坑區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
110,,19,深坑區,40~44歲,40,44,不相關,0.0,女,有偶,0,138
110,,19,深坑區,40~44歲,40,44,不相關,0.0,女,有偶,1,0
110,,19,深坑區,40~44歲,40,44,不相關,0.0,女,未婚,0,64
110,,19,深坑區,40~44歲,40,44,不相關,0.0,女,離婚,0,33
110,,19,深坑區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
110,,19,深坑區,40~44歲,40,44,不相關,0.0,男,喪偶,0,0
110,,19,深坑區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
110,,19,深坑區,40~44歲,40,44,不相關,0.0,男,有偶,0,114
110,,19,深坑區,40~44歲,40,44,不相關,0.0,男,有偶,1,0
110,,19,深坑區,40~44歲,40,44,不相關,0.0,男,未婚,0,87
110,,19,深坑區,40~44歲,40,44,不相關,0.0,男,離婚,0,30
110,,19,深坑區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
110,,19,深坑區,45~49歲,45,49,不相關,0.0,女,喪偶,0,10
110,,19,深坑區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
110,,19,深坑區,45~49歲,45,49,不相關,0.0,女,有偶,0,135
110,,19,深坑區,45~49歲,45,49,不相關,0.0,女,有偶,1,0
110,,19,深坑區,45~49歲,45,49,不相關,0.0,女,未婚,0,45
110,,19,深坑區,45~49歲,45,49,不相關,0.0,女,離婚,0,35
110,,19,深坑區,45~49歲,45,49,不相關,0.0,女,離婚,1,0
110,,19,深坑區,45~49歲,45,49,不相關,0.0,男,喪偶,0,0
110,,19,深坑區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
110,,19,深坑區,45~49歲,45,49,不相關,0.0,男,有偶,0,151
