民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,女,未婚,0,10031
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,男,未婚,0,10596
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
114,,10,鶯歌區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,4
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,3757
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,3
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,2
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,4030
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,1
114,,10,鶯歌區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,1
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,女,有偶,0,112
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,女,有偶,1,1
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,女,未婚,0,4389
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,女,離婚,0,40
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,女,離婚,1,2
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,男,有偶,0,66
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,男,未婚,0,4898
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,男,離婚,0,25
114,,10,鶯歌區,20~24歲,20,24,完全落入,1.0,男,離婚,1,1
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,1
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,女,有偶,0,826
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,女,有偶,1,22
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,女,未婚,0,5116
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,女,離婚,0,161
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,女,離婚,1,2
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,1
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,男,有偶,0,573
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,男,有偶,1,8
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,男,未婚,0,5824
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,男,離婚,0,92
114,,10,鶯歌區,25~29歲,25,29,完全落入,1.0,男,離婚,1,9
