民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,migrants,210
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,migrants,165
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,other,0
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,other,0
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,181
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,154
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,合計,451
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,合計,340
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,國外,39
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,國外,29
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,桃園市,21
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,桃園市,14
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,福建省,3
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,福建省,10
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,臺中市,13
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,臺中市,5
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,臺北市,124
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,臺北市,93
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,臺南市,4
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,臺南市,4
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,臺灣省,49
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,臺灣省,21
107,1,4,永和區,,,,無年齡維度,0.0,女,遷入,高雄市,7
107,1,4,永和區,,,,無年齡維度,0.0,男,遷入,高雄市,2
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,migrants,210
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,migrants,165
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,other,0
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,other,0
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,213
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,152
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,合計,485
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,合計,375
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,國外,37
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,國外,35
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,新北市內,0
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,新北市內,0
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,桃園市,39
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,桃園市,35
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,福建省,3
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,福建省,6
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,臺中市,20
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,臺中市,7
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,臺北市,120
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,臺北市,83
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,臺南市,5
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,臺南市,2
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,臺灣省,37
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,臺灣省,43
107,1,4,永和區,,,,無年齡維度,0.0,女,遷出,高雄市,11
107,1,4,永和區,,,,無年齡維度,0.0,男,遷出,高雄市,12
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,migrants,132
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,migrants,125
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,other,0
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,other,0
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,122
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,98
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,合計,322
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,合計,276
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,國外,27
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,國外,24
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,桃園市,11
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,桃園市,13
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,福建省,5
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,福建省,7
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,臺中市,7
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,臺中市,4
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,臺北市,81
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,臺北市,81
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,臺南市,5
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,臺南市,5
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,臺灣省,43
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,臺灣省,35
107,2,4,永和區,,,,無年齡維度,0.0,女,遷入,高雄市,12
107,2,4,永和區,,,,無年齡維度,0.0,男,遷入,高雄市,4
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,migrants,132
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,migrants,125
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,other,0
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,other,0
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,157
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,117
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,合計,353
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,合計,318
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,國外,42
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,國外,43
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,新北市內,0
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,新北市內,0
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,桃園市,30
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,桃園市,33
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,福建省,0
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,福建省,8
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,臺中市,13
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,臺中市,9
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,臺北市,74
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,臺北市,69
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,臺南市,1
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,臺南市,6
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,臺灣省,32
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,臺灣省,23
107,2,4,永和區,,,,無年齡維度,0.0,女,遷出,高雄市,4
107,2,4,永和區,,,,無年齡維度,0.0,男,遷出,高雄市,10
107,3,4,永和區,,,,無年齡維度,0.0,女,遷入,migrants,231
107,3,4,永和區,,,,無年齡維度,0.0,男,遷入,migrants,199
107,3,4,永和區,,,,無年齡維度,0.0,女,遷入,other,0
107,3,4,永和區,,,,無年齡維度,0.0,男,遷入,other,0
107,3,4,永和區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,3,4,永和區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,3,4,永和區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,269
107,3,4,永和區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,188
107,3,4,永和區,,,,無年齡維度,0.0,女,遷入,合計,604
107,3,4,永和區,,,,無年齡維度,0.0,男,遷入,合計,472
107,3,4,永和區,,,,無年齡維度,0.0,女,遷入,國外,38
107,3,4,永和區,,,,無年齡維度,0.0,男,遷入,國外,35
107,3,4,永和區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,3,4,永和區,,,,無年齡維度,0.0,男,遷入,新北市內,0
