民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,migrants,25
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,migrants,31
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,other,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,other,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,7
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,13
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,合計,50
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,合計,53
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,國外,1
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,國外,2
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,桃園市,4
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,桃園市,3
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,福建省,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,福建省,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺中市,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺中市,1
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺北市,4
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺北市,6
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺南市,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺南市,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺灣省,31
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺灣省,26
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷入,高雄市,3
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷入,高雄市,2
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,migrants,25
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,migrants,31
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,other,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,other,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,15
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,8
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,合計,64
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,合計,63
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,國外,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,國外,3
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,新北市內,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,新北市內,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,桃園市,9
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,桃園市,11
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,福建省,0
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,福建省,0
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,臺中市,3
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,臺中市,5
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,臺北市,8
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,臺北市,5
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,臺南市,2
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,臺南市,1
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,臺灣省,25
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,臺灣省,26
107,1,12,淡水區,,,,無年齡維度,0.0,女,遷出,高雄市,2
107,1,12,淡水區,,,,無年齡維度,0.0,男,遷出,高雄市,4
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,migrants,13
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,migrants,20
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,other,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,other,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,10
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,7
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,合計,46
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,合計,32
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,國外,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,國外,2
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,桃園市,1
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,桃園市,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,福建省,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,福建省,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺中市,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺中市,1
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺北市,5
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺北市,5
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺南市,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺南市,1
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,臺灣省,25
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,臺灣省,16
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷入,高雄市,2
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷入,高雄市,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷出,migrants,13
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷出,migrants,20
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷出,other,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷出,other,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,9
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,10
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷出,合計,52
107,2,12,淡水區,,,,無年齡維度,0.0,男,遷出,合計,47
107,2,12,淡水區,,,,無年齡維度,0.0,女,遷出,國外,1
