民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,migrants,592
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,migrants,525
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,other,0
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,other,0
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,262
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,199
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,合計,735
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,合計,589
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,國外,36
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,國外,23
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,桃園市,35
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,桃園市,28
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,福建省,1
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,福建省,4
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺中市,12
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺中市,9
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺北市,257
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺北市,242
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺南市,10
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺南市,9
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,臺灣省,80
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,臺灣省,60
108,1,2,三重區,,,,無年齡維度,0.0,女,遷入,高雄市,17
108,1,2,三重區,,,,無年齡維度,0.0,男,遷入,高雄市,7
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,migrants,592
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,migrants,525
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,other,0
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,other,0
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,271
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,230
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,合計,812
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,合計,632
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,國外,27
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,國外,11
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,新北市內,0
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,新北市內,0
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,桃園市,72
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,桃園市,58
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,福建省,4
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,福建省,2
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,臺中市,19
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,臺中市,19
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,臺北市,296
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,臺北市,224
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,臺南市,10
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,臺南市,11
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,臺灣省,97
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,臺灣省,62
108,1,2,三重區,,,,無年齡維度,0.0,女,遷出,高雄市,15
108,1,2,三重區,,,,無年齡維度,0.0,男,遷出,高雄市,15
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,migrants,393
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,migrants,354
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,other,0
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,other,0
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,168
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,136
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,合計,528
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,合計,477
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,國外,18
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,國外,15
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,桃園市,27
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,桃園市,37
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,福建省,1
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,福建省,5
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,臺中市,14
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,臺中市,9
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,臺北市,198
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,臺北市,201
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,臺南市,8
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,臺南市,10
108,2,2,三重區,,,,無年齡維度,0.0,女,遷入,臺灣省,66
108,2,2,三重區,,,,無年齡維度,0.0,男,遷入,臺灣省,49
