民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,migrants,308
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,migrants,297
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,other,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,other,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,137
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,112
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,合計,532
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,合計,427
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,國外,35
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,國外,22
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,桃園市,28
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,桃園市,15
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,福建省,2
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,福建省,1
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺中市,9
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺中市,9
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺北市,233
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺北市,203
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺南市,18
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺南市,9
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺灣省,43
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,臺灣省,38
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,高雄市,13
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,高雄市,11
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,migrants,308
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,migrants,297
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,other,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,other,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,71
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,54
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,合計,270
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,合計,220
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,國外,26
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,國外,23
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,新北市內,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,新北市內,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,桃園市,25
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,桃園市,20
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,福建省,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,福建省,0
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺中市,9
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺中市,13
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺北市,100
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺北市,77
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺南市,4
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺南市,6
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,臺灣省,32
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,臺灣省,20
108,1,10,鶯歌區,,,,無年齡維度,0.0,女,遷出,高雄市,3
108,1,10,鶯歌區,,,,無年齡維度,0.0,男,遷出,高雄市,7
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,migrants,215
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,migrants,182
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,other,0
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,other,0
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,122
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,112
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,合計,374
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,合計,320
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,國外,25
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,國外,8
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,桃園市,10
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,桃園市,16
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,福建省,0
108,2,10,鶯歌區,,,,無年齡維度,0.0,男,遷入,福建省,2
108,2,10,鶯歌區,,,,無年齡維度,0.0,女,遷入,臺中市,12
