民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,migrants,281
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,migrants,288
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,other,0
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,other,0
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,72
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,58
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,合計,518
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,合計,437
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,國外,27
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,國外,28
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,桃園市,21
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,桃園市,20
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,福建省,1
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,福建省,4
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺中市,11
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺中市,5
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺北市,285
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺北市,252
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺南市,6
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺南市,6
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,臺灣省,75
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,臺灣省,56
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷入,高雄市,11
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷入,高雄市,7
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,migrants,281
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,migrants,288
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,other,0
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,other,0
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,74
108,1,11,三峽區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,51
108,1,11,三峽區,,,,無年齡維度,0.0,女,遷出,合計,379
