民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,migrants,264
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,migrants,243
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,other,0
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,other,0
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,228
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,184
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,合計,427
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,合計,352
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,國外,15
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,國外,16
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,桃園市,17
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,桃園市,15
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,福建省,5
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,福建省,2
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺中市,6
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺中市,5
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺北市,71
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺北市,64
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺南市,11
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺南市,6
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,臺灣省,58
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,臺灣省,51
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷入,高雄市,8
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷入,高雄市,4
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,migrants,264
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,migrants,243
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,other,0
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,other,0
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,255
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,193
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,合計,469
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,合計,393
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,國外,12
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,國外,18
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,新北市內,0
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,新北市內,0
108,1,13,汐止區,,,,無年齡維度,0.0,女,遷出,桃園市,66
108,1,13,汐止區,,,,無年齡維度,0.0,男,遷出,桃園市,51
