民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,migrants,191
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,migrants,140
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,other,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,other,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,122
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,68
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,合計,436
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,合計,385
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,國外,186
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,國外,192
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,新北市內,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,新北市內,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,桃園市,18
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,桃園市,5
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,福建省,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,福建省,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺中市,3
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺中市,4
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺北市,71
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺北市,79
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺南市,2
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺南市,0
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,臺灣省,25
112,1,14,瑞芳區,,,,無年齡維度,0.0,男,遷入,臺灣省,32
112,1,14,瑞芳區,,,,無年齡維度,0.0,女,遷入,高雄市,2
