民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,migrants,133
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,migrants,124
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,other,0
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,other,0
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,145
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,104
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,合計,254
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,合計,213
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,國外,10
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,國外,10
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,桃園市,28
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,桃園市,22
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,福建省,3
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,福建省,3
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺中市,6
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺中市,8
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺北市,27
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺北市,23
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺南市,2
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺南市,0
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,臺灣省,22
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,臺灣省,27
114,1,7,土城區,,,,無年齡維度,0.0,女,遷入,高雄市,2
114,1,7,土城區,,,,無年齡維度,0.0,男,遷入,高雄市,5
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,migrants,133
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,migrants,124
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,other,0
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,other,0
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,169
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,125
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,合計,291
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,合計,248
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,國外,15
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,國外,7
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,新北市內,0
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,新北市內,0
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,桃園市,41
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,桃園市,44
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,福建省,0
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,福建省,1
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,臺中市,3
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,臺中市,6
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,臺北市,20
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,臺北市,15
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,臺南市,6
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,臺南市,5
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,臺灣省,32
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,臺灣省,36
114,1,7,土城區,,,,無年齡維度,0.0,女,遷出,高雄市,4
114,1,7,土城區,,,,無年齡維度,0.0,男,遷出,高雄市,9
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,migrants,332
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,migrants,321
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,other,0
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,other,0
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,239
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,217
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,合計,418
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,合計,409
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,國外,9
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,國外,17
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,桃園市,41
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,桃園市,39
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,福建省,9
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,福建省,5
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,臺中市,4
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,臺中市,8
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,臺北市,53
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,臺北市,63
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,臺南市,6
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,臺南市,6
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,臺灣省,44
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,臺灣省,47
114,2,7,土城區,,,,無年齡維度,0.0,女,遷入,高雄市,4
114,2,7,土城區,,,,無年齡維度,0.0,男,遷入,高雄市,3
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,migrants,332
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,migrants,321
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,other,0
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,other,0
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,263
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,252
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,合計,509
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,合計,468
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,國外,6
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,國外,9
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,新北市內,0
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,新北市內,0
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,桃園市,108
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,桃園市,81
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,福建省,2
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,福建省,1
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,臺中市,12
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,臺中市,13
114,2,7,土城區,,,,無年齡維度,0.0,女,遷出,臺北市,31
114,2,7,土城區,,,,無年齡維度,0.0,男,遷出,臺北市,19
