民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,埤塘里,1034.0,758994.0,14862.0,10602.0,593876.0,28266.0,20870.0,2304.0,694.0,78602.0,48.0,5144.0,29.0,3694.0,462182.0,627303.0,683.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,土城里,578.0,425498.0,3981.0,10214.0,343036.0,17717.0,10570.0,1206.0,501.0,33095.0,0.0,4108.0,165.0,904.0,274718.0,357180.0,1021.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,員林里,1763.0,1451213.0,16932.0,28209.0,1095860.0,53518.0,38043.0,5591.0,1278.0,181954.0,2153.0,19688.0,25.0,7962.0,872561.0,1228027.0,699.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,貨饒里,1251.0,892437.0,10209.0,12378.0,727474.0,39874.0,18607.0,1272.0,2936.0,68317.0,178.0,10332.0,206.0,653.0,574947.0,739910.0,714.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,柑林里,962.0,877991.0,6888.0,13624.0,732083.0,29581.0,11485.0,3278.0,1492.0,69523.0,554.0,6948.0,19.0,2516.0,603112.0,749001.0,511.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,埤林里,2732.0,2481284.0,27524.0,45919.0,2034955.0,92001.0,35971.0,8892.0,2649.0,192394.0,907.0,34434.0,192.0,5446.0,1676410.0,2122694.0,2523.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,峰廷里,2015.0,1349859.0,18275.0,16203.0,1137451.0,38181.0,15179.0,3874.0,1401.0,102438.0,890.0,12838.0,236.0,2890.0,878714.0,1091122.0,1890.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,廷寮里,1305.0,967227.0,25780.0,9560.0,773390.0,36761.0,19793.0,4092.0,943.0,86754.0,0.0,8257.0,0.0,1897.0,607910.0,801747.0,191.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,清水里,2299.0,1670915.0,22755.0,28584.0,1405449.0,53389.0,16057.0,3191.0,1559.0,120419.0,1882.0,13716.0,880.0,3033.0,1108261.0,1373731.0,3385.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,清化里,423.0,407550.0,6167.0,4909.0,230372.0,10632.0,19753.0,993.0,241.0,131186.0,456.0,1388.0,11.0,1441.0,180364.0,357542.0,388.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,大安里,1424.0,1108381.0,18331.0,6371.0,773657.0,42528.0,47702.0,4334.0,1346.0,199976.0,0.0,7937.0,830.0,5370.0,599568.0,934292.0,2292.0,,,,,,,,,,,
103,,7.0,土城區,,,,無年齡維度,0.0,,土城區,永寧里,2454.0,1865207.0,23316.0,19329.0,1543598.0,56783.0,22536.0,6363.0,2447.0,168737.0,792.0,16829.0,690.0,3788.0,1221151.0,1542709.0,2586.0,,,,,,,,,,,
