民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,德茂里,260.0,153895.0,6931.0,68.0,124234.0,5952.0,1978.0,794.0,223.0,12140.0,0.0,1220.0,0.0,354.0,94717.0,124378.0,21.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,富基里,370.0,226612.0,4311.0,5560.0,177509.0,6737.0,3797.0,407.0,156.0,25025.0,14.0,2888.0,61.0,149.0,133798.0,182902.0,514.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,老梅里,561.0,446945.0,6557.0,3067.0,309329.0,14027.0,4337.0,839.0,291.0,102250.0,0.0,6047.0,117.0,83.0,243245.0,380861.0,476.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,山溪里,210.0,135903.0,2699.0,684.0,111142.0,6582.0,1633.0,169.0,160.0,11781.0,0.0,668.0,0.0,386.0,83857.0,108619.0,0.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,石門里,448.0,309467.0,5901.0,5772.0,252991.0,9882.0,3459.0,1517.0,245.0,27476.0,0.0,2218.0,0.0,6.0,199045.0,255521.0,171.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,尖鹿里,428.0,270614.0,2491.0,1978.0,230901.0,10909.0,3181.0,588.0,258.0,18137.0,0.0,2000.0,0.0,171.0,176844.0,216588.0,78.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,乾華里,74.0,44657.0,410.0,425.0,35477.0,1779.0,598.0,64.0,24.0,5435.0,0.0,265.0,0.0,181.0,26455.0,36059.0,12.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,茂林里,214.0,165178.0,1903.0,704.0,149903.0,6339.0,1719.0,105.0,54.0,3083.0,0.0,1266.0,0.0,102.0,121199.0,136473.0,10.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,草里里,249.0,148831.0,6950.0,1162.0,124777.0,4219.0,2695.0,244.0,88.0,7908.0,114.0,673.0,0.0,0.0,93759.0,117813.0,207.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,其他,1.0,119.0,0.0,48.0,35.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,,,,,,,,,,,
103,,23.0,石門區,,,,無年齡維度,0.0,,石門區,合計,2815.0,1902222.0,38152.0,19470.0,1516299.0,66431.0,23397.0,4727.0,1498.0,213265.0,128.0,17246.0,177.0,1432.0,1172920.0,1559298.0,1489.0,,,,,,,,,,,
