民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,中原里,1776.0,1796836.0,28680.0,31195.0,1317723.0,70929.0,86807.0,10562.0,2007.0,214062.0,3273.0,25200.0,279.0,6119.0,1055072.0,1533957.0,2312.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,平河里,2967.0,2716047.0,25488.0,42142.0,2211225.0,100267.0,38684.0,9179.0,4173.0,242977.0,2065.0,29428.0,1256.0,9165.0,1763090.0,2267640.0,5197.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,力行里,2004.0,2022072.0,12745.0,36685.0,1647788.0,85021.0,26455.0,6588.0,2284.0,158397.0,14603.0,19653.0,0.0,11853.0,1343661.0,1717945.0,1718.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,枋寮里,1158.0,1013806.0,12183.0,17859.0,803227.0,52412.0,26198.0,4377.0,1109.0,81568.0,1099.0,10111.0,77.0,3585.0,646382.0,856960.0,1891.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,廟美里,1392.0,1128636.0,8232.0,16661.0,873719.0,52533.0,43995.0,10289.0,2354.0,100392.0,114.0,11050.0,535.0,8764.0,678792.0,933710.0,2035.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,瓦󼍕里,1616.0,1437824.0,13054.0,18893.0,1193790.0,59669.0,18543.0,3623.0,1907.0,99917.0,973.0,20041.0,399.0,7016.0,959416.0,1203450.0,2652.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,積穗里,2701.0,2520429.0,26664.0,40995.0,2028552.0,95039.0,77185.0,10313.0,2333.0,191966.0,953.0,40014.0,168.0,6248.0,1619260.0,2111137.0,2323.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,瑞穗里,748.0,609201.0,4578.0,7191.0,510580.0,27341.0,13843.0,1298.0,785.0,36600.0,0.0,4461.0,29.0,2494.0,404262.0,502882.0,721.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,灰󼍕里,181.0,145273.0,4270.0,2407.0,105104.0,6590.0,5155.0,480.0,324.0,14437.0,0.0,2301.0,0.0,4205.0,79835.0,120004.0,177.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,錦和里,1690.0,1631481.0,22049.0,29797.0,1251242.0,53938.0,32591.0,7945.0,2460.0,209572.0,5893.0,13582.0,184.0,2228.0,990544.0,1370783.0,2482.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,內南里,1465.0,1131390.0,14185.0,15341.0,908878.0,44074.0,14299.0,1414.0,941.0,114685.0,44.0,14914.0,0.0,2615.0,695202.0,917715.0,896.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,外南里,1384.0,1153052.0,13476.0,17358.0,964835.0,42797.0,13710.0,4184.0,1104.0,78576.0,88.0,12520.0,127.0,4278.0,764455.0,952672.0,1269.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,頂南里,963.0,810265.0,9239.0,10349.0,676969.0,38183.0,7193.0,1928.0,1496.0,56022.0,26.0,7149.0,0.0,1712.0,532148.0,665444.0,445.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,橫路里,91.0,55814.0,659.0,209.0,43128.0,2365.0,3740.0,351.0,14.0,4962.0,0.0,177.0,0.0,208.0,30643.0,43328.0,0.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,連和里,883.0,859668.0,7913.0,15731.0,679708.0,42214.0,24530.0,5193.0,1407.0,71085.0,75.0,9750.0,815.0,1248.0,557364.0,736862.0,2770.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,漳和里,1170.0,1163233.0,8595.0,30167.0,864605.0,65529.0,25498.0,3012.0,3038.0,134381.0,2371.0,21400.0,878.0,3759.0,700903.0,999051.0,2975.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,秀山里,1430.0,1158572.0,9655.0,12118.0,969380.0,53634.0,8646.0,1922.0,3126.0,84058.0,920.0,12259.0,503.0,2351.0,761590.0,950674.0,2455.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,員山里,2003.0,1872987.0,27604.0,18882.0,1524485.0,70923.0,36028.0,5397.0,3823.0,160565.0,293.0,16945.0,0.0,8042.0,1225723.0,1574225.0,1168.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,安樂里,1265.0,1425382.0,7833.0,28454.0,1074527.0,97979.0,27040.0,8934.0,1699.0,146389.0,1692.0,26352.0,723.0,3759.0,894632.0,1244626.0,2825.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,壽德里,1345.0,1207026.0,10509.0,10912.0,1015246.0,57304.0,11894.0,1454.0,926.0,86243.0,87.0,10053.0,128.0,2270.0,811026.0,1002691.0,1221.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,新南里,2788.0,3032763.0,21365.0,56628.0,2495554.0,143027.0,32362.0,9550.0,3280.0,211249.0,2368.0,40482.0,544.0,16354.0,2065241.0,2602347.0,4797.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,崇南里,1325.0,1206248.0,4312.0,18142.0,999218.0,59099.0,16219.0,5965.0,1078.0,83489.0,1735.0,11645.0,796.0,4550.0,799923.0,1006720.0,3227.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,東南里,1274.0,1042844.0,5136.0,33360.0,823622.0,77418.0,12663.0,4860.0,972.0,67877.0,527.0,13539.0,603.0,2267.0,654868.0,873935.0,2981.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,秀明里,1621.0,1621591.0,11941.0,29345.0,1219160.0,131762.0,28109.0,3426.0,2627.0,146225.0,632.0,39633.0,1417.0,7313.0,1003134.0,1405456.0,4989.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,安平里,2112.0,2511508.0,12977.0,64291.0,1895400.0,148283.0,64082.0,13132.0,3110.0,238639.0,11834.0,28498.0,599.0,30663.0,1600115.0,2216014.0,5438.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,景平里,1858.0,1773125.0,10771.0,36068.0,1435861.0,81808.0,21333.0,8085.0,2140.0,121440.0,1632.0,46791.0,681.0,6515.0,1177583.0,1514689.0,3334.0,,,,,,,,,,,
104,,3.0,中和區,,,,無年齡維度,0.0,,中和區,嘉穗里,855.0,613396.0,5193.0,7677.0,506309.0,27014.0,11269.0,1801.0,526.0,45898.0,1357.0,4022.0,125.0,2207.0,386464.0,493551.0,1458.0,,,,,,,,,,,
