民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,雙溪里,121.0,129521.0,1245.0,169.0,82002.0,4667.0,1137.0,53.0,104.0,39523.0,230.0,345.0,0.0,46.0,65490.0,113010.0,7.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,共和里,107.0,68534.0,259.0,474.0,58642.0,5200.0,78.0,0.0,75.0,3019.0,0.0,664.0,0.0,122.0,43468.0,53360.0,3.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,新基里,188.0,133973.0,1081.0,782.0,107738.0,7654.0,6574.0,272.0,118.0,8537.0,0.0,899.0,0.0,318.0,82953.0,109187.0,3.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,魚行里,185.0,131314.0,2061.0,741.0,113262.0,6209.0,1463.0,249.0,391.0,5950.0,94.0,852.0,0.0,42.0,85351.0,103402.0,12.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,三港里,110.0,84802.0,1473.0,89.0,68144.0,5310.0,4238.0,0.0,83.0,4451.0,0.0,962.0,0.0,51.0,51483.0,68141.0,2.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,牡丹里,403.0,272642.0,4528.0,5237.0,231092.0,11984.0,2942.0,571.0,87.0,13278.0,0.0,2643.0,0.0,279.0,173491.0,215041.0,15.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,三貂里,71.0,101298.0,843.0,40.0,86691.0,1236.0,108.0,12.0,100.0,11299.0,769.0,201.0,0.0,0.0,76123.0,90730.0,1.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,平林里,255.0,188269.0,6059.0,1763.0,156226.0,7594.0,1638.0,185.0,307.0,12235.0,186.0,2057.0,0.0,17.0,116844.0,148887.0,7.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,上林里,134.0,91064.0,3240.0,190.0,75094.0,4611.0,2271.0,340.0,40.0,5040.0,0.0,150.0,0.0,88.0,55567.0,71537.0,12.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,外柑里,93.0,58448.0,1850.0,70.0,48060.0,2310.0,581.0,332.0,64.0,3914.0,0.0,1163.0,0.0,105.0,34219.0,44606.0,137.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,長源里,69.0,50816.0,590.0,56.0,40497.0,1433.0,1326.0,0.0,19.0,6699.0,0.0,188.0,0.0,8.0,29750.0,40069.0,0.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,泰平里,245.0,177810.0,2553.0,1272.0,131771.0,7507.0,2973.0,2393.0,124.0,28713.0,0.0,474.0,0.0,30.0,94851.0,140891.0,148.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,其他,1.0,900.0,16.0,0.0,799.0,71.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,671.0,772.0,0.0,,,,,,,,,,,
104,,27.0,雙溪區,,,,無年齡維度,0.0,,雙溪區,合計,1982.0,1489390.0,25798.0,10884.0,1200019.0,65787.0,25330.0,4407.0,1516.0,142659.0,1279.0,10605.0,0.0,1106.0,910261.0,1199632.0,347.0,,,,,,,,,,,
