民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,和平里,124.0,82778.0,1280.0,395.0,70298.0,3297.0,2352.0,0.0,316.0,4234.0,0.0,561.0,0.0,45.0,54397.0,66877.0,36.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,大同里,176.0,127905.0,6608.0,1960.0,106269.0,4452.0,1215.0,108.0,111.0,6598.0,0.0,560.0,0.0,23.0,81756.0,103392.0,7.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,豐漁里,99.0,59621.0,687.0,74.0,46834.0,4710.0,2069.0,4.0,68.0,4596.0,0.0,578.0,0.0,3.0,34534.0,47738.0,0.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,磺港里,369.0,223129.0,2466.0,5007.0,189166.0,7715.0,4221.0,718.0,216.0,11125.0,0.0,2339.0,0.0,156.0,137500.0,171735.0,3.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,美田里,1169.0,794863.0,25211.0,7547.0,665326.0,27737.0,9849.0,650.0,882.0,49511.0,117.0,6841.0,0.0,1195.0,496993.0,627168.0,394.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,五湖里,502.0,339896.0,4219.0,5274.0,288556.0,12665.0,4456.0,200.0,228.0,21121.0,0.0,2308.0,0.0,869.0,217696.0,269037.0,147.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,重和里,370.0,311898.0,7714.0,8323.0,228654.0,18457.0,5458.0,1104.0,298.0,37941.0,0.0,2450.0,0.0,1499.0,181258.0,264502.0,287.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,兩湖里,91.0,59176.0,1585.0,276.0,51738.0,1530.0,271.0,43.0,32.0,3583.0,0.0,118.0,0.0,0.0,39502.0,46939.0,0.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,六股里,167.0,117691.0,2358.0,1149.0,93107.0,3778.0,3058.0,3531.0,70.0,10209.0,0.0,406.0,0.0,25.0,71602.0,96187.0,96.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,三界里,134.0,84511.0,600.0,1449.0,68438.0,2974.0,4070.0,53.0,46.0,6475.0,40.0,367.0,0.0,0.0,50218.0,66621.0,0.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,清泉里,194.0,125566.0,4366.0,1473.0,101613.0,4642.0,1286.0,152.0,107.0,10846.0,0.0,570.0,0.0,510.0,73411.0,98131.0,10.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,西湖里,54.0,43457.0,3379.0,102.0,32672.0,1592.0,1691.0,1237.0,10.0,2235.0,0.0,56.0,0.0,482.0,24878.0,35663.0,89.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,萬壽里,95.0,57328.0,271.0,678.0,51117.0,2596.0,804.0,2.0,150.0,1458.0,0.0,251.0,0.0,0.0,36405.0,43043.0,8.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,永興里,132.0,78655.0,389.0,614.0,68367.0,2478.0,943.0,43.0,186.0,5201.0,0.0,428.0,0.0,6.0,49244.0,59533.0,15.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,金美里,1421.0,902639.0,20715.0,11795.0,756250.0,36892.0,14616.0,818.0,1500.0,47741.0,1264.0,9086.0,58.0,1904.0,556172.0,706987.0,569.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,其他,1.0,295.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,167.0,0.0,,,,,,,,,,,
105,,24.0,金山區,,,,無年齡維度,0.0,,金山區,合計,5098.0,3409410.0,81849.0,46115.0,2818699.0,135516.0,56358.0,8663.0,4219.0,222875.0,1421.0,26917.0,58.0,6718.0,2105733.0,2703720.0,1661.0,,,,,,,,,,,
