民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,三峽里,69.0,46998.0,1299.0,2280.0,33675.0,3252.0,2645.0,0.0,30.0,2077.0,0.0,1451.0,0.0,290.0,25844.0,39167.0,0.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,秀川里,170.0,120007.0,2350.0,779.0,102220.0,3866.0,2280.0,58.0,198.0,6364.0,0.0,1537.0,0.0,356.0,78155.0,96334.0,1.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,八張里,1113.0,810009.0,10863.0,16285.0,686802.0,25491.0,8967.0,5692.0,905.0,41235.0,1458.0,11510.0,444.0,355.0,520214.0,644053.0,1174.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,中埔里,881.0,642611.0,14270.0,10398.0,564044.0,11309.0,2495.0,2777.0,885.0,25098.0,5.0,10940.0,91.0,299.0,424463.0,503872.0,518.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,礁溪里,1576.0,1180581.0,15882.0,25819.0,980769.0,35034.0,14582.0,1948.0,2568.0,87136.0,575.0,12617.0,0.0,3651.0,742849.0,943124.0,479.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,永館里,2105.0,1747907.0,19799.0,37860.0,1320153.0,63821.0,79034.0,2240.0,2872.0,192086.0,976.0,18996.0,1079.0,8990.0,1025868.0,1453606.0,3422.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,鳶山里,2829.0,2266351.0,36506.0,33005.0,1893705.0,67039.0,50965.0,5824.0,3263.0,143518.0,817.0,25738.0,165.0,5808.0,1475104.0,1847874.0,2601.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,龍埔里,2691.0,2143402.0,25771.0,39022.0,1802644.0,57485.0,45984.0,5657.0,3026.0,136464.0,1134.0,17806.0,133.0,8276.0,1401505.0,1743066.0,2135.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,弘道里,273.0,187013.0,3642.0,4932.0,156984.0,3503.0,3439.0,71.0,114.0,13043.0,0.0,808.0,0.0,478.0,115128.0,145157.0,21.0,,,,,,,,,,,
106,,11.0,三峽區,,,,無年齡維度,0.0,,三峽區,大埔里,1064.0,819183.0,16429.0,10209.0,699438.0,25720.0,14961.0,1228.0,1310.0,43809.0,243.0,5239.0,0.0,597.0,536910.0,657097.0,277.0,,,,,,,,,,,
