民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,仁德里,545.0,437462.0,1661.0,2508.0,361743.0,14159.0,4410.0,1141.0,607.0,43612.0,280.0,4040.0,0.0,3302.0,282290.0,358009.0,339.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,義民里,422.0,316523.0,3712.0,3795.0,237009.0,14722.0,14282.0,454.0,309.0,34031.0,0.0,2590.0,95.0,5524.0,183555.0,263067.0,615.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,禮門里,321.0,289778.0,3981.0,2165.0,220913.0,9839.0,7900.0,119.0,498.0,32811.0,854.0,9451.0,96.0,1152.0,174098.0,242960.0,694.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,智慧里,1651.0,1684627.0,14670.0,21183.0,1379940.0,47014.0,21636.0,5496.0,1979.0,162816.0,2423.0,13939.0,1915.0,11616.0,1130693.0,1435012.0,5266.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,信望里,103.0,112632.0,1326.0,1681.0,58460.0,4865.0,10545.0,126.0,407.0,32956.0,0.0,574.0,0.0,1692.0,45254.0,99425.0,203.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,橋東里,984.0,841269.0,6330.0,13337.0,693703.0,26132.0,12595.0,1296.0,927.0,71524.0,541.0,11062.0,63.0,3762.0,541098.0,688277.0,773.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,茄苳里,1360.0,1014643.0,9096.0,9437.0,903351.0,23438.0,10861.0,2432.0,1246.0,41804.0,954.0,8439.0,100.0,3483.0,687255.0,798482.0,972.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,保安里,504.0,345324.0,7472.0,7081.0,280213.0,8481.0,15563.0,180.0,342.0,24088.0,0.0,1762.0,0.0,142.0,207316.0,272426.0,120.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,保長里,1518.0,1224310.0,18419.0,10876.0,1099841.0,25200.0,13041.0,2332.0,1924.0,40144.0,1075.0,8684.0,0.0,2773.0,852999.0,977467.0,809.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,鄉長里,705.0,529683.0,6910.0,6278.0,443776.0,15353.0,6344.0,1059.0,531.0,38049.0,0.0,5335.0,0.0,6047.0,337176.0,423082.0,354.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,江北里,1930.0,1472073.0,18403.0,23815.0,1266250.0,32841.0,17743.0,1907.0,1830.0,81486.0,322.0,9724.0,268.0,17484.0,972626.0,1178295.0,1971.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,烘內里,488.0,418138.0,12549.0,8551.0,314678.0,17354.0,12780.0,1258.0,257.0,47279.0,0.0,2547.0,0.0,886.0,247580.0,351041.0,584.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,拱北里,1456.0,977616.0,9438.0,14153.0,869216.0,23030.0,9831.0,805.0,1250.0,40531.0,34.0,8423.0,32.0,874.0,656620.0,765020.0,1336.0,,,,,,,,,,,
106,,13.0,汐止區,,,,無年齡維度,0.0,,汐止區,樟樹里,686.0,464544.0,5883.0,5633.0,387572.0,13281.0,15947.0,576.0,524.0,31697.0,0.0,2848.0,0.0,584.0,291528.0,368500.0,227.0,,,,,,,,,,,
