民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,樓厝里,1906.0,1633908.0,27632.0,31872.0,1337534.0,45382.0,42581.0,2754.0,1700.0,118689.0,677.0,17685.0,1288.0,6114.0,918749.0,1214202.0,3192.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,保和里,700.0,536275.0,10935.0,8201.0,427145.0,21737.0,16464.0,2399.0,668.0,41810.0,0.0,3384.0,268.0,3265.0,279657.0,388787.0,1198.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,得勝里,907.0,720603.0,11701.0,16480.0,515255.0,27019.0,34068.0,1509.0,962.0,98030.0,0.0,5338.0,49.0,10192.0,328924.0,480288.0,626.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,仁復里,564.0,479841.0,7942.0,16937.0,362210.0,21910.0,17198.0,489.0,673.0,46640.0,0.0,4844.0,0.0,998.0,251231.0,368583.0,138.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,溪墘里,875.0,655701.0,11333.0,7121.0,535337.0,23351.0,16366.0,1020.0,1201.0,54644.0,130.0,3771.0,0.0,1427.0,345023.0,465387.0,722.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,中路里,1175.0,904809.0,19987.0,10768.0,760292.0,28454.0,17076.0,1254.0,2264.0,56983.0,288.0,5786.0,0.0,1657.0,491971.0,636488.0,428.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,正義里,4234.0,5208381.0,117334.0,97860.0,3908074.0,160879.0,160626.0,22041.0,6193.0,613918.0,8161.0,89684.0,968.0,22642.0,2874562.0,4113605.0,6415.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,水湳里,3121.0,2827112.0,63913.0,33090.0,2301828.0,96198.0,47303.0,4795.0,4341.0,235820.0,29.0,32256.0,637.0,6902.0,1575288.0,2083196.0,3053.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,保佑里,1076.0,818806.0,12735.0,15884.0,680935.0,21184.0,16630.0,2351.0,1478.0,51655.0,0.0,13909.0,215.0,1832.0,445164.0,582895.0,999.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,樹德里,971.0,801868.0,9856.0,10634.0,640936.0,23669.0,21034.0,1339.0,1285.0,78702.0,0.0,11786.0,57.0,2570.0,426800.0,564886.0,897.0,,,,,,,,,新北市,,
107,,8.0,蘆洲區,,,,無年齡維度,0.0,,蘆洲區,中原里,1666.0,1558687.0,32614.0,26706.0,1199699.0,49178.0,39766.0,6635.0,2006.0,181452.0,1032.0,11660.0,327.0,7611.0,830045.0,1126854.0,2302.0,,,,,,,,,新北市,,
