民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,黎明里,1068.0,600998.0,11722.0,9152.0,472488.0,21395.0,12934.0,1200.0,1379.0,59278.0,0.0,8367.0,219.0,2863.0,,,1026.0,,,,,,,,,新北市,714921.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,大科里,257.0,161677.0,8061.0,1034.0,122455.0,3584.0,7967.0,699.0,284.0,14917.0,0.0,2664.0,0.0,11.0,,,118.0,,,,,,,,,新北市,181571.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,山腳里,1968.0,1146147.0,27315.0,23546.0,860704.0,45878.0,30996.0,2060.0,2380.0,131581.0,407.0,17891.0,775.0,2613.0,,,2032.0,,,,,,,,,新北市,1304472.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,楓樹里,1335.0,918131.0,26301.0,16852.0,631403.0,38923.0,52258.0,2633.0,2215.0,111167.0,0.0,27540.0,204.0,8635.0,,,1038.0,,,,,,,,,新北市,928506.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,同榮里,1243.0,738640.0,11899.0,7633.0,573635.0,30868.0,17179.0,1038.0,1531.0,79757.0,1271.0,9761.0,3.0,4065.0,,,869.0,,,,,,,,,新北市,853770.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,義學里,1436.0,851538.0,14699.0,15119.0,686652.0,28210.0,16769.0,953.0,1910.0,75207.0,469.0,8536.0,69.0,2945.0,,,1364.0,,,,,,,,,新北市,1022634.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,明志里,1148.0,724678.0,10831.0,10108.0,557168.0,30754.0,13746.0,929.0,1313.0,86201.0,1027.0,11225.0,0.0,1375.0,,,540.0,,,,,,,,,新北市,812433.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,貴子里,1299.0,883638.0,12449.0,27142.0,668354.0,32759.0,24038.0,925.0,1365.0,99003.0,66.0,13308.0,182.0,4046.0,,,1536.0,,,,,,,,,新北市,956160.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,貴和里,1642.0,992465.0,25484.0,10974.0,718143.0,49546.0,42741.0,1603.0,1986.0,128319.0,213.0,10910.0,0.0,2546.0,,,617.0,,,,,,,,,新北市,1080778.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,福泰里,792.0,415907.0,10479.0,10220.0,292754.0,18319.0,28808.0,691.0,619.0,48513.0,0.0,3329.0,294.0,1880.0,,,999.0,,,,,,,,,新北市,459626.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,同興里,1160.0,846732.0,15219.0,17012.0,639026.0,39514.0,29405.0,1132.0,1421.0,90118.0,376.0,9210.0,142.0,4158.0,,,1230.0,,,,,,,,,新北市,908909.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,義仁里,2736.0,1998824.0,32819.0,37912.0,1532892.0,75416.0,64627.0,6725.0,4237.0,199103.0,861.0,33652.0,552.0,10027.0,,,2378.0,,,,,,,,,新北市,2188963.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,泰友里,639.0,365023.0,10230.0,6134.0,289603.0,14124.0,6388.0,239.0,610.0,30420.0,0.0,5678.0,493.0,1105.0,,,1373.0,,,,,,,,,新北市,431855.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,新明里,949.0,505685.0,8669.0,7662.0,404007.0,20270.0,10811.0,415.0,1644.0,43481.0,0.0,6499.0,467.0,1759.0,,,1374.0,,,,,,,,,新北市,616936.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,貴賢里,1280.0,956288.0,5666.0,21461.0,713748.0,42435.0,18860.0,1490.0,1884.0,136991.0,425.0,10432.0,63.0,2832.0,,,2060.0,,,,,,,,,新北市,997508.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,福興里,1140.0,840754.0,16955.0,15937.0,636289.0,51127.0,23015.0,2187.0,1403.0,79502.0,530.0,11542.0,310.0,1958.0,,,1128.0,,,,,,,,,新北市,903303.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,全興里,2978.0,2627903.0,36149.0,44888.0,2098693.0,80234.0,58905.0,13836.0,4739.0,231196.0,2946.0,47459.0,333.0,8527.0,,,2810.0,,,,,,,,,新北市,2861368.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
108,,16.0,泰山區,,,,無年齡維度,0.0,,泰山區,合計,23070.0,15575027.0,284945.0,282785.0,11898014.0,623358.0,459447.0,38757.0,30919.0,1644754.0,8590.0,238002.0,4106.0,61349.0,,,22493.0,,,,,,,,,新北市,17223712.0,
