民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,深坑里,1002.0,643222.0,11829.0,17642.0,500235.0,29581.0,15069.0,1288.0,1838.0,58135.0,0.0,5437.0,417.0,1751.0,,,1969.0,,,,,,,,,新北市,716071.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,萬順里,803.0,494685.0,7555.0,7617.0,374383.0,21184.0,14242.0,1706.0,813.0,59780.0,707.0,5811.0,259.0,629.0,,,2267.0,,,,,,,,,新北市,555378.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,阿柔里,161.0,78873.0,2179.0,803.0,61004.0,4488.0,4898.0,11.0,186.0,4140.0,0.0,511.0,0.0,652.0,,,33.0,,,,,,,,,新北市,94727.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,昇高里,585.0,376546.0,5246.0,12897.0,284961.0,14840.0,11668.0,619.0,1122.0,33084.0,3080.0,7710.0,0.0,1320.0,,,1007.0,,,,,,,,,新北市,415501.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,土庫里,886.0,542187.0,8734.0,11302.0,423697.0,15870.0,8118.0,859.0,874.0,67764.0,681.0,3490.0,58.0,740.0,,,942.0,,,,,,,,,新北市,634109.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,埔新里,1904.0,1301475.0,14644.0,25404.0,1022755.0,53611.0,20791.0,3717.0,2119.0,126028.0,241.0,25563.0,1699.0,4902.0,,,4488.0,,,,,,,,,新北市,1454118.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,萬福里,792.0,676451.0,7504.0,19724.0,419464.0,20955.0,19712.0,994.0,872.0,167351.0,120.0,10585.0,419.0,8751.0,,,1998.0,,,,,,,,,新北市,589394.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,賴仲里,711.0,499413.0,8637.0,17747.0,383617.0,21013.0,11176.0,349.0,959.0,46509.0,0.0,5556.0,478.0,3372.0,,,2246.0,,,,,,,,,新北市,538689.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,其他,1.0,206.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,,,0.0,,,,,,,,,新北市,0.0,
108,,19.0,深坑區,,,,無年齡維度,0.0,,深坑區,合計,6845.0,4613058.0,66329.0,113329.0,3470114.0,181542.0,105676.0,9542.0,8783.0,562792.0,4828.0,64664.0,3331.0,22129.0,,,14950.0,,,,,,,,,新北市,4997987.0,
