民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,八賢里,79.0,27061.0,340.0,799.0,20285.0,2137.0,218.0,0.0,32.0,3087.0,0.0,164.0,0.0,0.0,,,5.0,,,,,,,,,新北市,38195.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,埔頭里,1515.0,651246.0,21458.0,14058.0,523355.0,26116.0,11349.0,984.0,1624.0,42599.0,0.0,8556.0,589.0,558.0,,,1482.0,,,,,,,,,新北市,857037.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,古庄里,300.0,139511.0,4993.0,3239.0,100000.0,10944.0,2992.0,197.0,248.0,14307.0,0.0,2560.0,0.0,31.0,,,50.0,,,,,,,,,新北市,160277.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,新庄里,187.0,78837.0,3168.0,1016.0,54423.0,4789.0,3923.0,1137.0,349.0,9087.0,0.0,584.0,0.0,360.0,,,0.0,,,,,,,,,新北市,91424.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,埔坪里,1722.0,755980.0,26739.0,16247.0,575313.0,27481.0,15474.0,1082.0,1209.0,77796.0,4870.0,7496.0,411.0,1862.0,,,1242.0,,,,,,,,,新北市,940646.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,茂長里,174.0,78611.0,2436.0,4631.0,54688.0,4644.0,1763.0,7.0,95.0,8921.0,0.0,1357.0,0.0,68.0,,,537.0,,,,,,,,,新北市,87321.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,橫山里,108.0,50961.0,2440.0,284.0,39753.0,2381.0,1359.0,69.0,148.0,4285.0,0.0,243.0,0.0,0.0,,,12.0,,,,,,,,,新北市,61156.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,錫板里,181.0,88699.0,2670.0,1245.0,63099.0,5438.0,2128.0,13.0,107.0,12051.0,0.0,1931.0,0.0,18.0,,,228.0,,,,,,,,,新北市,102647.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,後厝里,681.0,407155.0,5568.0,29807.0,250949.0,27256.0,14905.0,2373.0,1370.0,68226.0,154.0,3590.0,629.0,2327.0,,,2602.0,,,,,,,,,新北市,370964.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,福德里,228.0,137354.0,4436.0,1670.0,99207.0,9157.0,4886.0,1128.0,145.0,13809.0,444.0,2042.0,172.0,257.0,,,773.0,,,,,,,,,新北市,143620.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,圓山里,132.0,68283.0,4525.0,1107.0,41471.0,5943.0,5814.0,100.0,85.0,8893.0,0.0,342.0,0.0,4.0,,,5.0,,,,,,,,,新北市,68129.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,店子里,142.0,69511.0,1668.0,1315.0,49908.0,3969.0,1289.0,140.0,132.0,10656.0,0.0,434.0,0.0,0.0,,,4.0,,,,,,,,,新北市,79702.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,興華里,341.0,204628.0,4715.0,6145.0,124383.0,10086.0,8106.0,225.0,237.0,43658.0,3180.0,3148.0,133.0,610.0,,,1005.0,,,,,,,,,新北市,191925.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
108,,22.0,三芝區,,,,無年齡維度,0.0,,三芝區,合計,5790.0,2757837.0,85154.0,81563.0,1996835.0,140342.0,74207.0,7455.0,5780.0,317376.0,8649.0,32447.0,1934.0,6096.0,,,7945.0,,,,,,,,,新北市,3193042.0,
