民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,縣市,薪資收入,縣市別
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,貢寮里,186.0,91308.0,2429.0,1686.0,71475.0,3325.0,1353.0,327.0,133.0,9744.0,0.0,383.0,67.0,387.0,,,282.0,,,,,,,,,新北市,113948.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,雙玉里,137.0,90548.0,214.0,313.0,71150.0,2428.0,1149.0,91.0,171.0,13485.0,0.0,705.0,0.0,842.0,,,25.0,,,,,,,,,新北市,105040.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,龍崗里,88.0,39700.0,1116.0,832.0,31070.0,1264.0,1012.0,211.0,18.0,2978.0,0.0,958.0,0.0,239.0,,,36.0,,,,,,,,,新北市,49228.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,吉林里,104.0,54005.0,1650.0,309.0,34636.0,1708.0,2242.0,188.0,192.0,12301.0,0.0,3083.0,0.0,0.0,,,0.0,,,,,,,,,新北市,55024.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,龍門里,124.0,58010.0,1393.0,669.0,46311.0,1474.0,1395.0,0.0,172.0,6063.0,0.0,427.0,0.0,104.0,,,6.0,,,,,,,,,新北市,74288.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,福隆里,335.0,169132.0,3892.0,5399.0,125627.0,9062.0,5327.0,934.0,207.0,13992.0,973.0,3390.0,0.0,329.0,,,9.0,,,,,,,,,新北市,193381.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,福連里,164.0,82443.0,4024.0,1866.0,62132.0,3319.0,1991.0,394.0,120.0,7659.0,0.0,679.0,75.0,184.0,,,291.0,,,,,,,,,新北市,95307.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,仁里里,437.0,213893.0,6788.0,8238.0,159478.0,6856.0,2008.0,407.0,276.0,23735.0,0.0,4920.0,0.0,1187.0,,,213.0,,,,,,,,,新北市,254560.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,真理里,418.0,188859.0,6645.0,6918.0,137563.0,5806.0,5451.0,248.0,352.0,22990.0,0.0,2525.0,188.0,174.0,,,656.0,,,,,,,,,新北市,222189.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,美豐里,152.0,62712.0,1718.0,3120.0,43680.0,1385.0,732.0,0.0,64.0,10380.0,0.0,1528.0,0.0,106.0,,,13.0,,,,,,,,,新北市,75145.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,和美里,207.0,102751.0,1481.0,1099.0,73025.0,3778.0,4408.0,166.0,154.0,17235.0,0.0,1114.0,155.0,136.0,,,432.0,,,,,,,,,新北市,114783.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,新北市,0.0,
109,,28.0,貢寮區,,,,無年齡維度,0.0,,貢寮區,合計,2352.0,1153362.0,31349.0,30448.0,856149.0,40405.0,27069.0,2967.0,1859.0,140561.0,973.0,19713.0,484.0,1385.0,,,1963.0,,,,,,,,,新北市,1352895.0,
