"year","roc_year","district_code","district","level","people"
"2017","106","0","New Taipei City","不識字","26953"
"2017","106","0","New Taipei City","二專","251053"
"2017","106","0","New Taipei City","五專前三年","18994"
"2017","106","0","New Taipei City","五專後二年","170392"
"2017","106","0","New Taipei City","博士","19017"
"2017","106","0","New Taipei City","國中","459772"
"2017","106","0","New Taipei City","國中(職業)","6596"
"2017","106","0","New Taipei City","國小","331566"
"2017","106","0","New Taipei City","大學","942022"
"2017","106","0","New Taipei City","碩士","208796"
"2017","106","0","New Taipei City","自學","6810"
"2017","106","0","New Taipei City","高中","330976"
"2017","106","0","New Taipei City","高職","715587"
"2017","106","1","板橋區","不識字","3282"
"2017","106","1","板橋區","二專","34200"
"2017","106","1","板橋區","五專前三年","2946"
"2017","106","1","板橋區","五專後二年","24600"
"2017","106","1","板橋區","博士","2533"
"2017","106","1","板橋區","國中","58252"
"2017","106","1","板橋區","國中(職業)","1056"
"2017","106","1","板橋區","國小","49700"
"2017","106","1","板橋區","大學","129960"
"2017","106","1","板橋區","碩士","31773"
"2017","106","1","板橋區","自學","1142"
"2017","106","1","板橋區","高中","44589"
"2017","106","1","板橋區","高職","93431"
"2017","106","2","三重區","不識字","2736"
"2017","106","2","三重區","二專","23958"
"2017","106","2","三重區","五專前三年","1258"
"2017","106","2","三重區","五專後二年","14009"
"2017","106","2","三重區","博士","1156"
"2017","106","2","三重區","國中","55070"
"2017","106","2","三重區","國中(職業)","796"
"2017","106","2","三重區","國小","38295"
"2017","106","2","三重區","大學","85507"
"2017","106","2","三重區","碩士","17042"
"2017","106","2","三重區","自學","714"
"2017","106","2","三重區","高中","30271"
"2017","106","2","三重區","高職","71033"
"2017","106","3","中和區","不識字","2296"
"2017","106","3","中和區","二專","28708"
"2017","106","3","中和區","五專前三年","1910"
"2017","106","3","中和區","五專後二年","19930"
"2017","106","3","中和區","博士","2132"
"2017","106","3","中和區","國中","41448"
"2017","106","3","中和區","國中(職業)","1187"
"2017","106","3","中和區","國小","32716"
"2017","106","3","中和區","大學","104181"
"2017","106","3","中和區","碩士","24455"
"2017","106","3","中和區","自學","615"
"2017","106","3","中和區","高中","37090"
"2017","106","3","中和區","高職","71248"
"2017","106","4","永和區","不識字","892"
"2017","106","4","永和區","二專","15160"
"2017","106","4","永和區","五專前三年","711"
"2017","106","4","永和區","五專後二年","12123"
"2017","106","4","永和區","博士","1851"
"2017","106","4","永和區","國中","14914"
"2017","106","4","永和區","國中(職業)","811"
"2017","106","4","永和區","國小","13005"
"2017","106","4","永和區","大學","64163"
"2017","106","4","永和區","碩士","17957"
"2017","106","4","永和區","自學","364"
"2017","106","4","永和區","高中","20769"
"2017","106","4","永和區","高職","32821"
"2017","106","5","新莊區","不識字","1976"
"2017","106","5","新莊區","二專","26789"
"2017","106","5","新莊區","五專前三年","1855"
"2017","106","5","新莊區","五專後二年","15586"
"2017","106","5","新莊區","博士","1342"
"2017","106","5","新莊區","國中","50637"
"2017","106","5","新莊區","國中(職業)","529"
"2017","106","5","新莊區","國小","31101"
"2017","106","5","新莊區","大學","95777"
"2017","106","5","新莊區","碩士","19421"
"2017","106","5","新莊區","自學","446"
"2017","106","5","新莊區","高中","32648"
"2017","106","5","新莊區","高職","79418"
"2017","106","6","新店區","不識字","1391"
"2017","106","6","新店區","二專","19293"
"2017","106","6","新店區","五專前三年","988"
"2017","106","6","新店區","五專後二年","17521"
"2017","106","6","新店區","博士","2876"
"2017","106","6","新店區","國中","25754"
"2017","106","6","新店區","國中(職業)","305"
"2017","106","6","新店區","國小","18634"
"2017","106","6","新店區","大學","85505"
"2017","106","6","新店區","碩士","22675"
"2017","106","6","新店區","自學","521"
"2017","106","6","新店區","高中","28400"
"2017","106","6","新店區","高職","48301"
"2017","106","7","土城區","不識字","863"
"2017","106","7","土城區","二專","11394"
"2017","106","7","土城區","五專前三年","831"
"2017","106","7","土城區","五專後二年","6273"
"2017","106","7","土城區","博士","664"
"2017","106","7","土城區","國中","21978"
"2017","106","7","土城區","國中(職業)","346"
"2017","106","7","土城區","國小","15780"
"2017","106","7","土城區","大學","40316"
"2017","106","7","土城區","碩士","7720"
"2017","106","7","土城區","自學","300"
"2017","106","7","土城區","高中","15044"
"2017","106","7","土城區","高職","36694"
"2017","106","8","蘆洲區","不識字","702"
"2017","106","8","蘆洲區","二專","4293"
"2017","106","8","蘆洲區","五專前三年","381"
"2017","106","8","蘆洲區","五專後二年","2792"
"2017","106","8","蘆洲區","博士","193"
"2017","106","8","蘆洲區","國中","12510"
"2017","106","8","蘆洲區","國中(職業)","73"
"2017","106","8","蘆洲區","國小","8488"
"2017","106","8","蘆洲區","大學","17411"
"2017","106","8","蘆洲區","碩士","2945"
"2017","106","8","蘆洲區","自學","144"
"2017","106","8","蘆洲區","高中","6461"
"2017","106","8","蘆洲區","高職","18340"
"2017","106","9","樹林區","不識字","903"
"2017","106","9","樹林區","二專","6238"
"2017","106","9","樹林區","五專前三年","608"
"2017","106","9","樹林區","五專後二年","4068"
"2017","106","9","樹林區","博士","528"
"2017","106","9","樹林區","國中","15721"
"2017","106","9","樹林區","國中(職業)","126"
