"district_code","district","year","month","period","series","people","lower","upper"
"0","New Taipei City","2023","1","2023-01","actual","3891","",""
"0","New Taipei City","2023","2","2023-02","actual","5871","",""
"0","New Taipei City","2023","3","2023-03","actual","6255","",""
"0","New Taipei City","2023","4","2023-04","actual","4382","",""
"0","New Taipei City","2023","5","2023-05","actual","6332","",""
"0","New Taipei City","2023","6","2023-06","actual","5795","",""
"0","New Taipei City","2023","7","2023-07","actual","5598","",""
"0","New Taipei City","2023","8","2023-08","actual","6162","",""
"0","New Taipei City","2023","9","2023-09","actual","6649","",""
"0","New Taipei City","2023","10","2023-10","actual","4707","",""
"0","New Taipei City","2023","11","2023-11","actual","4966","",""
"0","New Taipei City","2023","12","2023-12","actual","4422","",""
"0","New Taipei City","2024","1","2024-01","actual","5546","",""
"0","New Taipei City","2024","2","2024-02","actual","5049","",""
"0","New Taipei City","2024","3","2024-03","actual","5955","",""
"0","New Taipei City","2024","4","2024-04","actual","5230","",""
"0","New Taipei City","2024","5","2024-05","actual","7084","",""
"0","New Taipei City","2024","6","2024-06","actual","5947","",""
"0","New Taipei City","2024","7","2024-07","actual","6278","",""
"0","New Taipei City","2024","9","2024-09","actual","7423","",""
"0","New Taipei City","2024","10","2024-10","actual","6089","",""
"0","New Taipei City","2024","11","2024-11","actual","5391","",""
"0","New Taipei City","2024","12","2024-12","actual","5723","",""
"0","New Taipei City","2025","1","2025-01","actual","4466","",""
"0","New Taipei City","2025","2","2025-02","actual","8359","",""
"0","New Taipei City","2025","3","2025-03","actual","11451","",""
"0","New Taipei City","2025","4","2025-04","actual","4833","",""
"0","New Taipei City","2025","5","2025-05","actual","8515","",""
"0","New Taipei City","2025","6","2025-06","actual","5438","",""
"0","New Taipei City","2025","7","2025-07","actual","5050","",""
"0","New Taipei City","2025","8","2025-08","actual","5495","",""
"0","New Taipei City","2025","9","2025-09","actual","5451","",""
"0","New Taipei City","2025","10","2025-10","actual","4218","",""
"0","New Taipei City","2025","11","2025-11","actual","4097","",""
"0","New Taipei City","2025","12","2025-12","actual","5377","",""
"0","New Taipei City","2026","1","2026-01","forecast","4873","2401","7345"
"0","New Taipei City","2026","2","2026-02","forecast","6764","4292","9236"
"0","New Taipei City","2026","3","2026-03","forecast","8262","5790","10734"
"0","New Taipei City","2026","4","2026-04","forecast","5074","2602","7546"
"0","New Taipei City","2026","5","2026-05","forecast","7687","5215","10159"
"0","New Taipei City","2026","6","2026-06","forecast","6057","3585","8529"
"0","New Taipei City","2026","7","2026-07","forecast","5965","3493","8437"
"0","New Taipei City","2026","8","2026-08","forecast","6268","3796","8740"
"0","New Taipei City","2026","9","2026-09","forecast","6889","4417","9361"
"0","New Taipei City","2026","10","2026-10","forecast","5283","2811","7755"
"0","New Taipei City","2026","11","2026-11","forecast","5101","2629","7573"
"0","New Taipei City","2026","12","2026-12","forecast","5442","2970","7914"
"1","板橋區","2023","1","2023-01","actual","508","",""
"1","板橋區","2023","2","2023-02","actual","717","",""
"1","板橋區","2023","3","2023-03","actual","864","",""
"1","板橋區","2023","4","2023-04","actual","580","",""
"1","板橋區","2023","5","2023-05","actual","856","",""
"1","板橋區","2023","6","2023-06","actual","855","",""
"1","板橋區","2023","7","2023-07","actual","789","",""
"1","板橋區","2023","8","2023-08","actual","893","",""
"1","板橋區","2023","9","2023-09","actual","891","",""
"1","板橋區","2023","10","2023-10","actual","599","",""
"1","板橋區","2023","11","2023-11","actual","699","",""
"1","板橋區","2023","12","2023-12","actual","591","",""
"1","板橋區","2024","1","2024-01","actual","745","",""
"1","板橋區","2024","2","2024-02","actual","676","",""
"1","板橋區","2024","3","2024-03","actual","763","",""
"1","板橋區","2024","4","2024-04","actual","694","",""
"1","板橋區","2024","5","2024-05","actual","952","",""
"1","板橋區","2024","6","2024-06","actual","830","",""
"1","板橋區","2024","7","2024-07","actual","811","",""
"1","板橋區","2024","9","2024-09","actual","1056","",""
"1","板橋區","2024","10","2024-10","actual","826","",""
"1","板橋區","2024","11","2024-11","actual","719","",""
"1","板橋區","2024","12","2024-12","actual","855","",""
"1","板橋區","2025","1","2025-01","actual","647","",""
"1","板橋區","2025","2","2025-02","actual","1127","",""
"1","板橋區","2025","3","2025-03","actual","1573","",""
"1","板橋區","2025","4","2025-04","actual","573","",""
"1","板橋區","2025","5","2025-05","actual","1257","",""
"1","板橋區","2025","6","2025-06","actual","782","",""
"1","板橋區","2025","7","2025-07","actual","678","",""
"1","板橋區","2025","8","2025-08","actual","796","",""
"1","板橋區","2025","9","2025-09","actual","883","",""
"1","板橋區","2025","10","2025-10","actual","608","",""
"1","板橋區","2025","11","2025-11","actual","570","",""
"1","板橋區","2025","12","2025-12","actual","671","",""
"1","板橋區","2026","1","2026-01","forecast","669","305","1033"
"1","板橋區","2026","2","2026-02","forecast","885","521","1249"
"1","板橋區","2026","3","2026-03","forecast","1120","756","1484"
"1","板橋區","2026","4","2026-04","forecast","654","290","1018"
"1","板橋區","2026","5","2026-05","forecast","1077","713","1441"
"1","板橋區","2026","6","2026-06","forecast","876","512","1240"
"1","板橋區","2026","7","2026-07","forecast","810","446","1174"
"1","板橋區","2026","8","2026-08","forecast","911","547","1275"
"1","板橋區","2026","9","2026-09","forecast","1002","638","1366"
"1","板橋區","2026","10","2026-10","forecast","719","355","1083"
"1","板橋區","2026","11","2026-11","forecast","707","343","1071"
"1","板橋區","2026","12","2026-12","forecast","747","383","1111"
"2","三重區","2023","1","2023-01","actual","361","",""
"2","三重區","2023","2","2023-02","actual","478","",""
"2","三重區","2023","3","2023-03","actual","543","",""
"2","三重區","2023","4","2023-04","actual","398","",""
"2","三重區","2023","5","2023-05","actual","616","",""
"2","三重區","2023","6","2023-06","actual","507","",""
"2","三重區","2023","7","2023-07","actual","496","",""
"2","三重區","2023","8","2023-08","actual","574","",""
"2","三重區","2023","9","2023-09","actual","539","",""
"2","三重區","2023","10","2023-10","actual","399","",""
"2","三重區","2023","11","2023-11","actual","453","",""
"2","三重區","2023","12","2023-12","actual","383","",""
"2","三重區","2024","1","2024-01","actual","542","",""
"2","三重區","2024","2","2024-02","actual","403","",""
"2","三重區","2024","3","2024-03","actual","472","",""
"2","三重區","2024","4","2024-04","actual","441","",""
"2","三重區","2024","5","2024-05","actual","611","",""
"2","三重區","2024","6","2024-06","actual","522","",""
"2","三重區","2024","7","2024-07","actual","578","",""
"2","三重區","2024","9","2024-09","actual","622","",""
"2","三重區","2024","10","2024-10","actual","555","",""
"2","三重區","2024","11","2024-11","actual","501","",""
"2","三重區","2024","12","2024-12","actual","470","",""
"2","三重區","2025","1","2025-01","actual","361","",""
"2","三重區","2025","2","2025-02","actual","694","",""
"2","三重區","2025","3","2025-03","actual","1038","",""
"2","三重區","2025","4","2025-04","actual","430","",""
"2","三重區","2025","5","2025-05","actual","710","",""
"2","三重區","2025","6","2025-06","actual","441","",""
"2","三重區","2025","7","2025-07","actual","428","",""
"2","三重區","2025","8","2025-08","actual","430","",""
"2","三重區","2025","9","2025-09","actual","481","",""
"2","三重區","2025","10","2025-10","actual","361","",""
"2","三重區","2025","11","2025-11","actual","375","",""
"2","三重區","2025","12","2025-12","actual","451","",""
"2","三重區","2026","1","2026-01","forecast","431","190","672"
"2","三重區","2026","2","2026-02","forecast","539","298","780"
"2","三重區","2026","3","2026-03","forecast","700","459","941"
"2","三重區","2026","4","2026-04","forecast","434","193","675"
"2","三重區","2026","5","2026-05","forecast","663","422","904"
"2","三重區","2026","6","2026-06","forecast","504","263","745"
"2","三重區","2026","7","2026-07","forecast","515","274","756"
"2","三重區","2026","8","2026-08","forecast","527","286","768"
"2","三重區","2026","9","2026-09","forecast","562","321","803"
"2","三重區","2026","10","2026-10","forecast","449","208","690"
"2","三重區","2026","11","2026-11","forecast","456","215","697"
"2","三重區","2026","12","2026-12","forecast","446","205","687"
"3","中和區","2023","1","2023-01","actual","498","",""
"3","中和區","2023","2","2023-02","actual","834","",""
"3","中和區","2023","3","2023-03","actual","822","",""
"3","中和區","2023","4","2023-04","actual","558","",""
"3","中和區","2023","5","2023-05","actual","861","",""
"3","中和區","2023","6","2023-06","actual","757","",""
"3","中和區","2023","7","2023-07","actual","690","",""
"3","中和區","2023","8","2023-08","actual","736","",""
"3","中和區","2023","9","2023-09","actual","938","",""
"3","中和區","2023","10","2023-10","actual","673","",""
"3","中和區","2023","11","2023-11","actual","641","",""
"3","中和區","2023","12","2023-12","actual","605","",""
"3","中和區","2024","1","2024-01","actual","714","",""
"3","中和區","2024","2","2024-02","actual","682","",""
"3","中和區","2024","3","2024-03","actual","807","",""
"3","中和區","2024","4","2024-04","actual","620","",""
"3","中和區","2024","5","2024-05","actual","940","",""
"3","中和區","2024","6","2024-06","actual","778","",""
"3","中和區","2024","7","2024-07","actual","815","",""
"3","中和區","2024","9","2024-09","actual","898","",""
"3","中和區","2024","10","2024-10","actual","766","",""
"3","中和區","2024","11","2024-11","actual","740","",""
"3","中和區","2024","12","2024-12","actual","773","",""
"3","中和區","2025","1","2025-01","actual","582","",""
"3","中和區","2025","2","2025-02","actual","1062","",""
"3","中和區","2025","3","2025-03","actual","1438","",""
"3","中和區","2025","4","2025-04","actual","588","",""
"3","中和區","2025","5","2025-05","actual","1049","",""
"3","中和區","2025","6","2025-06","actual","830","",""
"3","中和區","2025","7","2025-07","actual","623","",""
"3","中和區","2025","8","2025-08","actual","728","",""
"3","中和區","2025","9","2025-09","actual","759","",""
"3","中和區","2025","10","2025-10","actual","636","",""
"3","中和區","2025","11","2025-11","actual","524","",""
"3","中和區","2025","12","2025-12","actual","817","",""
"3","中和區","2026","1","2026-01","forecast","631","354","908"
"3","中和區","2026","2","2026-02","forecast","907","630","1184"
"3","中和區","2026","3","2026-03","forecast","1073","796","1350"
"3","中和區","2026","4","2026-04","forecast","623","346","900"
"3","中和區","2026","5","2026-05","forecast","1003","726","1280"
"3","中和區","2026","6","2026-06","forecast","834","557","1111"
"3","中和區","2026","7","2026-07","forecast","752","475","1029"
"3","中和區","2026","8","2026-08","forecast","782","505","1059"
"3","中和區","2026","9","2026-09","forecast","920","643","1197"
"3","中和區","2026","10","2026-10","forecast","733","456","1010"
"3","中和區","2026","11","2026-11","forecast","674","397","951"
"3","中和區","2026","12","2026-12","forecast","771","494","1048"
"4","永和區","2023","1","2023-01","actual","263","",""
"4","永和區","2023","2","2023-02","actual","405","",""
