"district_code","district","training_start","training_end","forecast_year","latest_actual_total","forecast_total","forecast_lower","forecast_upper","forecast_change_pct","backtest_mae","backtest_wape_pct","backtest_accuracy_pct","model"
"0","New Taipei City","2018","2025","2026","72750","73665","65101","82229","1.26","1425.1","23.5","76.5","Seasonal trend baseline"
"1","板橋區","2018","2025","2026","10165","10177","8914","11440","0.12","198.4","23.4","76.6","Seasonal trend baseline"
"2","三重區","2018","2025","2026","6200","6226","5390","7062","0.42","141.9","27.5","72.5","Seasonal trend baseline"
"3","中和區","2018","2025","2026","9636","9703","8742","10664","0.7","156.5","19.5","80.5","Seasonal trend baseline"
"4","永和區","2018","2025","2026","5910","6000","5244","6756","1.52","121.4","24.7","75.3","Seasonal trend baseline"
"5","新莊區","2018","2025","2026","6967","6879","5985","7773","-1.26","148.2","25.5","74.5","Seasonal trend baseline"
"6","新店區","2018","2025","2026","4088","4090","3517","4663","0.05","86","25.2","74.8","Seasonal trend baseline"
"7","土城區","2018","2025","2026","4025","4087","3554","4620","1.54","91","27.1","72.9","Seasonal trend baseline"
"8","蘆洲區","2018","2025","2026","1055","1053","950","1156","-0.19","19","21.6","78.4","Seasonal trend baseline"
"9","樹林區","2018","2025","2026","2164","2128","1896","2360","-1.66","42.2","23.4","76.6","Seasonal trend baseline"
"10","鶯歌區","2018","2025","2026","2067","2157","1896","2418","4.35","50.9","29.6","70.4","Seasonal trend baseline"
"11","三峽區","2018","2025","2026","1659","1695","1531","1859","2.17","25.9","18.7","81.3","Seasonal trend baseline"
"12","淡水區","2018","2025","2026","332","340","290","390","2.41","9.8","35.5","64.5","Seasonal trend baseline"
"13","汐止區","2018","2025","2026","4313","4487","3935","5039","4.03","99.8","27.8","72.2","Seasonal trend baseline"
"14","瑞芳區","2018","2025","2026","4539","4827","4215","5439","6.35","120.8","31.9","68.1","Seasonal trend baseline"
"15","五股區","2018","2025","2026","2472","2645","2389","2901","7","45.9","22.3","77.7","Seasonal trend baseline"
"16","泰山區","2018","2025","2026","1940","1862","1682","2042","-4.02","29.5","18.2","81.8","Seasonal trend baseline"
"17","林口區","2018","2025","2026","1429","1528","1328","1728","6.93","34.4","28.9","71.1","Seasonal trend baseline"
"18","八里區","2018","2025","2026","316","307","240","374","-2.85","11.7","44.3","55.7","Seasonal trend baseline"
"19","深坑區","2018","2025","2026","183","173","134","212","-5.46","6.7","43.7","56.3","Seasonal trend baseline"
"20","石碇區","2018","2025","2026","139","125","85","165","-10.07","7","60.4","39.6","Seasonal trend baseline"
"21","坪林區","2018","2025","2026","642","668","586","750","4.05","14.1","26.3","73.7","Seasonal trend baseline"
"22","三芝區","2018","2025","2026","466","435","290","580","-6.65","22.2","57.1","42.9","Seasonal trend baseline"
"23","石門區","2018","2025","2026","856","934","867","1001","9.11","14.2","19.9","80.1","Seasonal trend baseline"
"24","金山區","2018","2025","2026","94","88","62","114","-6.38","4.4","56.4","43.6","Seasonal trend baseline"
"25","萬里區","2018","2025","2026","161","146","112","180","-9.32","6","44.7","55.3","Seasonal trend baseline"
"26","平溪區","2018","2025","2026","134","132","102","162","-1.49","4.9","44","56","Seasonal trend baseline"
"27","雙溪區","2018","2025","2026","309","308","225","391","-0.32","14.7","57","43","Seasonal trend baseline"
"28","貢寮區","2018","2025","2026","234","224","196","252","-4.27","4.1","20.9","79.1","Seasonal trend baseline"
"29","烏來區","2018","2025","2026","255","233","162","304","-8.63","10.7","50.2","49.8","Seasonal trend baseline"
